month,newly_adopted_addresses
2019-11-01,892
2019-12-01,2043
2020-01-01,8069
2020-02-01,5122
2020-03-01,3948
2020-04-01,3946
2020-05-01,3184
2020-06-01,6054
2020-07-01,9421
2020-08-01,6610
2020-09-01,6507
2020-10-01,5469
2020-11-01,4632
2020-12-01,7063
2021-01-01,5758
2021-02-01,3647
2021-03-01,3988
2021-04-01,3969
2021-05-01,4519
2021-06-01,5468
2021-07-01,5575
2021-08-01,3565
2021-09-01,3482
2021-10-01,3627
2021-11-01,3206
2021-12-01,2947
2022-01-01,2012
2022-02-01,1782
2022-03-01,1985
2022-04-01,1514
2022-05-01,1868
2022-06-01,1760
2022-07-01,1602
2022-08-01,1776
2022-09-01,2006
2022-10-01,1720
2022-11-01,2352
2022-12-01,1812
2023-01-01,1589
2023-02-01,1050
2023-03-01,1773
2023-04-01,1020
2023-05-01,1046
2023-06-01,893
2023-07-01,1056
2023-08-01,1134
2023-09-01,887
2023-10-01,873
2023-11-01,742
2023-12-01,793
2024-01-01,985
2024-02-01,804
2024-03-01,823
2024-04-01,1004
2024-05-01,966
2024-06-01,869
2024-07-01,776
2024-08-01,877
2024-09-01,747
2024-10-01,653
2024-11-01,715
2024-12-01,688
2025-01-01,612
2025-02-01,845
2025-03-01,844
2025-04-01,931
2025-05-01,827
2025-06-01,1017
2025-07-01,955
2025-08-01,1292
2025-09-01,1562
2025-10-01,1426
2025-11-01,1478
2025-12-01,1233
2026-01-01,2312
2026-02-01,2854
2026-03-01,12279
2026-04-01,14567
2026-05-01,11203
2026-06-01,12065
