month,size_bucket,transfer_count,bucket_volume
2019-11-01,<0.01,214,0.334207305589179733000000000000000000
2019-11-01,0.01-0.1,169,7.28836069696486506800
2019-11-01,0.1-1,395,160.27425775988499943000
2019-11-01,1-10,832,2963.27036640599848261500
2019-11-01,10-100,1925,96321.6620118264944374
2019-11-01,100-1000,4416,1915595.8558594622074947
2019-11-01,1000-10000,7533,27105096.9955342697261006
2019-11-01,10000-100000,1732,43958358.7548303343221047
2019-11-01,100000-1000000,24,4624836.740000000000
2019-11-01,1000000-10000000,1,1327380.798100000000
2019-12-01,<0.01,398,0.805897280240576580000000000000000000
2019-12-01,0.01-0.1,612,28.89666936852315618300
2019-12-01,0.1-1,3063,1476.21555180889481781300
2019-12-01,1-10,6229,23606.31824260000109772000
2019-12-01,10-100,5896,242954.6258215456005998
2019-12-01,100-1000,11660,4441876.8866464384490492
2019-12-01,1000-10000,18457,90994284.7836821940486983
2019-12-01,10000-100000,1724,33683396.9459302408305129
2019-12-01,100000-1000000,94,15085669.044720964450
2020-01-01,<0.01,997,1.641028770872969772000000000000000000
2020-01-01,0.01-0.1,2047,92.94141962131463608100
2020-01-01,0.1-1,6300,2926.00483679817377168300
2020-01-01,1-10,14963,47673.92725208903570108200
2020-01-01,10-100,14828,614753.5331609135411430
2020-01-01,100-1000,24537,9468408.7559705547631502
2020-01-01,1000-10000,36472,192097382.4427803252994942
2020-01-01,10000-100000,4502,105408639.5836956614677395
2020-01-01,100000-1000000,343,99428851.624233052852
2020-02-01,<0.01,1537,1.771845063080918887000000000000000000
2020-02-01,0.01-0.1,3036,140.23762020006424213800
2020-02-01,0.1-1,7995,4015.67461432248529756500
2020-02-01,1-10,22505,83966.96467768198041560800
2020-02-01,10-100,24569,948406.7875439822422244
2020-02-01,100-1000,38234,15875931.4698544033799790
2020-02-01,1000-10000,62207,296925624.4441546313811431
2020-02-01,10000-100000,20479,666859133.4681251309086059
2020-02-01,100000-1000000,3714,607678063.433600610511
2020-02-01,1000000-10000000,39,44229984.449214200334
2020-03-01,<0.01,2237,2.257369446466693609000000000000000000
2020-03-01,0.01-0.1,2655,112.32353530724615253900
2020-03-01,0.1-1,4926,2143.18117528932116481100
2020-03-01,1-10,14132,55881.58001301364749437400
2020-03-01,10-100,26684,1121195.4359493614877727
2020-03-01,100-1000,54541,22374734.4335427808987972
2020-03-01,1000-10000,86727,379486235.1758252274408741
2020-03-01,10000-100000,20119,510725223.0646742672001806
2020-03-01,100000-1000000,1017,207972189.251360621770
2020-03-01,1000000-10000000,4,5000000.000000000000
2020-04-01,<0.01,1668,2.370138109182333703000000000000000000
