month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2017-11-01,11,11,15010381898947621182,15.0103818989476212,11,9,20
2017-12-01,18325647,18325647,366073563935905417516285925,366073563.93590542,4630435,5979631,6296296
2018-01-01,24620587,24620587,373326941565701129060997545,373326941.56570113,6764343,8167070,8808768
2018-02-01,13476832,13476832,138056590265806740218704744,138056590.26580674,3288402,4225587,4630787
2018-03-01,11198428,11198428,55042395400594819458416821,55042395.400594819458,2776578,3356722,3973209
2018-04-01,10699408,10699408,50926972843985949997653843,50926972.843985949998,2232730,3290336,3643065
2018-05-01,12977177,12977177,62097010845459736981896238,62097010.845459736982,2835794,3925525,4584223
2018-06-01,11080224,11080224,62706347432669280036404247,62706347.432669280036,2439683,3389966,4023280
2018-07-01,9605136,9605136,45207513114182238502312709,45207513.114182238502,1888163,2870350,3226553
2018-08-01,9897936,9897936,47399409239960934679168122,47399409.239960934679,2046818,2696686,3235065
2018-09-01,8568261,8568261,59721313014723483021350743,59721313.014723483021,1690043,2199668,2620389
2018-10-01,8496235,8496235,52219623357585243231478340,52219623.357585243231,1703494,2206395,2640156
2018-11-01,8325027,8325027,89988328929271471372295592,89988328.929271471372,1658219,2179342,2509444
2018-12-01,8336240,8336240,101443351588900170576674727,101443351.58890017,1831250,2138246,2669252
2019-01-01,7798949,7798949,73702157127108391131416168,73702157.127108391131,1637198,2001078,2466777
2019-02-01,6112618,6112618,53184157678346792673354134,53184157.678346792673,1270617,1594991,1898799
2019-03-01,8166014,8166014,68697269007284969007621726,68697269.007284969008,1779491,2180686,2640334
2019-04-01,9473840,9473840,81674340834160970971291834,81674340.834160970971,2293177,2554497,3274372
2019-05-01,10704589,10704589,96914027715287394035559492,96914027.715287394036,2522452,3365315,3841749
2019-06-01,10734685,10734685,76022968264365228162992876,76022968.264365228163,2840973,3413788,4145383
2019-07-01,8851288,8851288,61467918851374866954536458,61467918.851374866955,2141182,2655041,3293390
2019-08-01,8576306,8576306,56881416901696909712310647,56881416.901696909712,1895190,2754894,3194419
