month,newly_adopted_addresses
2017-11-01,20
2017-12-01,6296279
2018-01-01,7201791
2018-02-01,3049401
2018-03-01,2354298
2018-04-01,2195262
2018-05-01,2709450
2018-06-01,2245562
2018-07-01,1798308
2018-08-01,1789673
2018-09-01,1262965
2018-10-01,1324774
2018-11-01,1343781
2018-12-01,1409557
2019-01-01,1259500
2019-02-01,962243
2019-03-01,1451287
2019-04-01,1798627
2019-05-01,2556488
2019-06-01,2494324
2019-07-01,1835173
2019-08-01,1913180
2019-09-01,1564751
2019-10-01,1695451
2019-11-01,1509038
2019-12-01,1371552
2020-01-01,1279545
2020-02-01,1545343
2020-03-01,1963470
2020-04-01,2302523
2020-05-01,2857955
2020-06-01,2880700
2020-07-01,3131135
2020-08-01,3149425
2020-09-01,2311195
2020-10-01,2819504
2020-11-01,3235710
2020-12-01,3383775
2021-01-01,4099884
2021-02-01,4200969
2021-03-01,4367051
2021-04-01,5282033
2021-05-01,4775733
2021-06-01,3000864
2021-07-01,2531860
2021-08-01,2724732
2021-09-01,2696611
2021-10-01,3563381
2021-11-01,3739327
2021-12-01,3440744
2022-01-01,2930601
2022-02-01,2374174
2022-03-01,2666159
2022-04-01,2370895
2022-05-01,2473216
2022-06-01,1959819
2022-07-01,2227599
2022-08-01,2272263
2022-09-01,2057279
2022-10-01,2670994
2022-11-01,2616161
2022-12-01,2155569
2023-01-01,1896768
2023-02-01,1961470
2023-03-01,2286120
2023-04-01,2191354
2023-05-01,2244457
2023-06-01,2494508
2023-07-01,2412427
2023-08-01,2195635
2023-09-01,2330562
2023-10-01,2226489
2023-11-01,2187053
2023-12-01,2635702
2024-01-01,2813555
2024-02-01,2645455
2024-03-01,3738642
2024-04-01,3213079
2024-05-01,3361003
2024-06-01,3125503
2024-07-01,2697345
2024-08-01,3050842
2024-09-01,2477959
2024-10-01,2765941
2024-11-01,3102171
2024-12-01,3459301
2025-01-01,3579972
2025-02-01,3141383
2025-03-01,3153119
2025-04-01,3307872
2025-05-01,3422128
2025-06-01,3769665
2025-07-01,3755987
2025-08-01,3964117
2025-09-01,4053837
2025-10-01,4156974
2025-11-01,3685409
2025-12-01,4094017
2026-01-01,8618418
2026-02-01,7554704
2026-03-01,6451509
2026-04-01,4879607
2026-05-01,4728421
2026-06-01,4496128
