month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2017-11-01,1,23024,f42b29720fe6d7741d494151368ee216e4e8c514,1,10224000000000000000,10.2240000000000000
2017-11-01,2,74502,835d89e14a14c1ad3c8fa6910a4ebf5bd808259a,1,2986580000000000000,2.9865800000000000
2017-11-01,3,30658,981c10eb5ad5d6650d0512a9869db4f8461c1f5b,1,1003032624853981947,1.00303262485398194700
2017-11-01,4,781,3a127a652e07aec481a222212afbf82df55eb4da,1,164410500000000000,0.16441050000000000000
2017-11-01,5,39695,99cff40435295f68555421119f83062309f3c62f,1,108984625000000000,0.10898462500000000000
2017-11-01,6,49437,973a4a9db01e5376407252eed2d84cf9ac32af2f,1,101988500000000000,0.10198850000000000000
2017-11-01,7,43577,d7246d11c31349e9561348121bc8e819d9349988,1,10000000000000000,0.01000000000000000000
2017-11-01,8,97634,398abcf2cc3b0f3e74239e703b66a752e1851e1c,1,5244940000000000,0.00524494000000000000
2017-11-01,9,69004,24c044983f859d1261ba7eee3e397561dcdc3ac4,1,5000000000000000,0.00500000000000000000
2017-12-01,1,114041,ea674fdde714fd979de3edf0f56aa9716b898ec8,174040,33043766837126558400851,33043.766837126558
2017-12-01,2,111530,fbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,171911,657724365550370000000000,657724.365550370000
2017-12-01,3,20850,3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,149381,620011587819560000000000,620011.587819560000
2017-12-01,4,108003,7ae17a0f6f8f02b5b6e76b327db15f91306194e6,66402,59455610109400000000000,59455.610109400000
2017-12-01,5,45237,52bc44d5378309ee2abf1539bf71de1b7d7be3b5,65902,11014985118463919235412,11014.985118463919
2017-12-01,6,78676,267be1c1d684f78cb4f6a176c4911b741e4ffdc0,64610,399105250363471500000000,399105.250363471500
2017-12-01,7,128871,32be343b94f860124dc4fee278fdcbd38c102d88,52670,227380114156080000000000,227380.114156080000
2017-12-01,8,2012389,876eabf441b2ee5b5b0554fd502a8e0600950cfa,37363,419377212476793633794054,419377.212476793634
2017-12-01,9,61320,829bd824b016326a401d083b33d092293333a830,32818,12712767746013028914989,12712.767746013029
2017-12-01,10,22629,75e7f640bf6968b6f32c47a3cd82c3c2c9dcae68,30653,46836635136322000000000,46836.635136322000
2017-12-01,11,120055,d24400ae8bfebb18ca49be86258a3c749cf46853,30126,321184969641053955949322,321184.969641053956
2017-12-01,12,109871,4b01721f0244e7c5b5f63c20942850e447f5a5ee,28969,10331230238022366000000,10331.230238022366
2017-12-01,13,84169,416299aade6443e6f6e8ab67126e65a7f606eef5,26846,16539810778430000000000,16539.810778430000
2017-12-01,14,114566,390de26d772d2e2005c6d1d24afc902bae37a4bb,26474,124966138074814693978685,124966.138074814694
2017-12-01,15,2035,05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,25698,69015949343190000000000,69015.949343190000
2017-12-01,16,2864,3e65303043928403f8a1a2ca4954386e6f39008c,25417,13602003194620000000000,13602.003194620000
2017-12-01,17,134597,3b0bc51ab9de1e5b7b6e34e5b960285805c41736,25180,22237232795170000008192,22237.232795170000
2017-12-01,18,61495,d3273eba07248020bf98a8b560ec1576a612102f,25128,23225572289442000006144,23225.572289442000
2017-12-01,19,1490,563b377a956c80d77a7c613a9343699ad6123911,25065,22210852730490000001024,22210.852730490000
2017-12-01,20,39325,eed16856d551569d134530ee3967ec79995e2051,25040,22518198669720000004096,22518.198669720000
2017-12-01,21,107947,7ed1e469fcb3ee19c0366d829e291451be638e59,24068,35427386390038510104965,35427.386390038510
2017-12-01,22,135586,7071f121c038a98f8a7d485648a27fcd48891ba8,23460,23295219264652120887469,23295.219264652121
2017-12-01,23,54183,fe92a3cf1843b5ec7ccf27b2ae753fac1289fa9d,22255,1827656953908020123299,1827.6569539080201233
