month,user_rank,address_id,address,outgoing_transfer_count,outgoing_transaction_count,raw_outgoing_volume,outgoing_volume
2017-11-01,1,23024,f42b29720fe6d7741d494151368ee216e4e8c514,1,1,10224000000000000000,10.2240000000000000
2017-11-01,2,74502,835d89e14a14c1ad3c8fa6910a4ebf5bd808259a,1,1,2986580000000000000,2.9865800000000000
2017-11-01,3,30658,981c10eb5ad5d6650d0512a9869db4f8461c1f5b,1,1,1003032624853981947,1.00303262485398194700
2017-11-01,4,131583,cc0a3311417bc9381cfb3f28cc72cfb9b7b007a0,1,1,201458516404328259,0.20145851640432825900
2017-11-01,5,36639,83b24db1fa9ca8c1fc0a75a9c02f03d04c3c28f4,1,1,199682192689310976,0.19968219268931097600
2017-11-01,6,781,3a127a652e07aec481a222212afbf82df55eb4da,1,1,164410500000000000,0.16441050000000000000
2017-11-01,7,39695,99cff40435295f68555421119f83062309f3c62f,1,1,108984625000000000,0.10898462500000000000
2017-11-01,8,49437,973a4a9db01e5376407252eed2d84cf9ac32af2f,1,1,101988500000000000,0.10198850000000000000
2017-11-01,9,43577,d7246d11c31349e9561348121bc8e819d9349988,1,1,10000000000000000,0.01000000000000000000
2017-11-01,10,97634,398abcf2cc3b0f3e74239e703b66a752e1851e1c,1,1,5244940000000000,0.00524494000000000000
2017-11-01,11,69004,24c044983f859d1261ba7eee3e397561dcdc3ac4,1,1,5000000000000000,0.00500000000000000000
2017-12-01,1,2012389,876eabf441b2ee5b5b0554fd502a8e0600950cfa,74966,74966,4069399734027781021778536,4069399.734027781022
2017-12-01,2,20850,3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,353851,353851,3679191921430020254889179,3679191.921430020255
2017-12-01,3,111530,fbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,338187,338187,2999870335083720000000000,2999870.335083720000
2017-12-01,4,120055,d24400ae8bfebb18ca49be86258a3c749cf46853,71784,71784,1692552236682012250226835,1692552.236682012250
2017-12-01,5,128871,32be343b94f860124dc4fee278fdcbd38c102d88,104873,104873,1508273715868320000000000,1508273.715868320000
2017-12-01,6,78676,267be1c1d684f78cb4f6a176c4911b741e4ffdc0,124425,124425,1440730958268861300000000,1440730.958268861300
2017-12-01,7,79920,22b84d5ffea8b801c0422afe752377a64aa738c2,47671,47671,1370287782310338202625874,1370287.782310338203
2017-12-01,8,13541,f4b51b14b9ee30dc37ec970b50a486f37686e2a8,41,41,1141999990000000000000000,1141999.990000000000
2017-12-01,9,916,c257274276a4e539741ca11b590b9447b26a8051,378,378,1130998966000000000000000,1130998.966000000000
2017-12-01,10,114566,390de26d772d2e2005c6d1d24afc902bae37a4bb,54529,54529,791059078258562546953167,791059.078258562547
2017-12-01,11,29939,1151314c646ce4e0efd76d1af4760ae66a9fe30f,10597,10597,696976647854957522923684,696976.647854957523
2017-12-01,12,1473474,e853c56864a2ebe4576a807d26fdc4a0ada51919,5,5,650200000000000000000000,650200.000000000000
2017-12-01,13,91138,167a9333bf582556f35bd4d16a7e80e191aa6476,19055,19055,538339089602080000000000,538339.089602080000
2017-12-01,14,362824,8759b0b1d9cba80e3836228dfb982abaa2c48b97,3,3,500000000000000000000000,500000.000000000000
2017-12-01,15,125683,8bbb73bcb5d553b5a556358d27625323fd781d37,294,294,496052931854979711613085,496052.931854979712
2017-12-01,16,190493,7ff05442651fc3daa6d6a06f64cba30cad7b68b9,297,297,483259942676410000000000,483259.942676410000
2017-12-01,17,131344,dba370a2803f0826e5a4efccbd8d5c86517ac960,116,116,478224000000000000000000,478224.000000000000
2017-12-01,18,121205,236f9f97e0e62388479bf9e5ba4889e46b0273c3,44327,44327,416468333972440000000000,416468.333972440000
2017-12-01,19,62224,b8c7c038ee5e208ebee8b92e87df545cd4d826d1,325,325,413485369290000099148720,413485.369290000099
2017-12-01,20,6035,70faa28a6b8d6829a4b1e649d26ec9a2a39ba413,1466,1466,380924661649999999721472,380924.661650000000
2017-12-01,21,131086,296e781bbb0179b032cbcc31e4b6cdab724b2773,57043,57043,371530326046910000000000,371530.326046910000
2017-12-01,22,2035,05ee546c1a62f90d7acbffd6d846c9c54c7cf94c,119937,119937,357078932835680000000000,357078.932835680000
2017-12-01,23,99249,b3aaaae47070264f3595c5032ee94b620a583a39,13132,13132,344521907995195769475921,344521.907995195769
2017-12-01,24,108250,4c34ae54dc716808e94af3d1d638b8ea3a23fa9b,39774,39774,344039728424887801971793,344039.728424887802
2017-12-01,25,2513479,c613d65747bc36981e9654223369cb3c091b6811,1,1,319999991876381280110000,319999.991876381280
2017-12-01,26,113745,b96fbc8c9a25a62718a16f1cd323ab20c502fde4,200,200,307277542576532021995000,307277.542576532022
2017-12-01,27,3744188,8eb3fa7907ad2ef4c7e3ba4b1d2f2aac6f4b5ae6,18,18,300090910000000000000000,300090.910000000000
2017-12-01,28,1372246,b794f5ea0ba39494ce839613fffba74279579268,3,3,300000000000000000000000,300000.000000000000
2017-12-01,29,101816,10f0c9112b255507701df1b1be5d8dcd9a82bb5e,24,24,295874000000000000000000,295874.000000000000
2017-12-01,30,203641,59b4d9ab3a17e789bcb0385c1abfd96b8c94477f,26,26,288330096568800000000000,288330.096568800000
2017-12-01,31,9009248,f045126f604a13337925003933101d316cc87451,11,11,280500000000000000000000,280500.000000000000
2017-12-01,32,677001,7580ba923c01783115d79975d6a41b3d38eff8d5,15,15,270000000000000000000000,270000.000000000000
2017-12-01,33,107940,976fd26bc177542c3ade3aa28b374f866e7dde4b,36,36,247743784049988675818369,247743.784049988676
2017-12-01,34,9662569,d6fb5c2779eafe6366725b01cdc7066be58f3953,1,1,236699999580000000000000,236699.999580000000
2017-12-01,35,15841019,33d1c2691e171bcdc2276efb3b72bdb755b3bdc8,120,120,236699949180000000000000,236699.949180000000
2017-12-01,36,80513,b7a378a2a783be42a60a362774cf2cf1694e7489,58,58,230201321041764785053733,230201.321041764785
2017-12-01,37,8826,9ae63ee2e8ed29f4a4edb982f918a33c2caf3f98,1474,1474,216621165299753904733000,216621.165299753905
2017-12-01,38,280721,ca3ac4f946b997db24515a7ae7779f2e587d5a26,1747,1747,207198918987200000000000,207198.918987200000
2017-12-01,39,684225,fe9e8709d3215310075d67e3ed32a380ccf451c8,9,9,202808296705348235088963,202808.296705348235
2017-12-01,40,114041,ea674fdde714fd979de3edf0f56aa9716b898ec8,827867,827867,199809449685812204277672,199809.449685812204
2017-12-01,41,74297,303e33b483b5df3148cb2eaa1c17c486531ddf31,29679,29679,189704482131008568375357,189704.482131008568
2017-12-01,42,25787,f6230e7e98d2bbebf96d14888020e9c3e8c27d69,7226,7226,179364908912280000000000,179364.908912280000
2017-12-01,43,104329,3b6969198aa794aac16feeea051a345bd806a16e,2132,2132,177779083424541384621000,177779.083424541385
2017-12-01,44,63514,df95de30cdff4381b69f9e4fa8dddce31a0128df,11035,11035,175336100417100000000000,175336.100417100000
2017-12-01,45,36079,df114d41c1c09297e80fdcdcb249d69f8aacabea,1376,1376,174108549785208000030168,174108.549785208000
2017-12-01,46,70653,33de12b5cf336692c6b7cfd3aaf779425067f21c,7195,7195,171375571137080000000000,171375.571137080000
2017-12-01,47,61320,829bd824b016326a401d083b33d092293333a830,427673,427673,157642522292450883827642,157642.522292450884
2017-12-01,48,108003,7ae17a0f6f8f02b5b6e76b327db15f91306194e6,120872,120872,156718675332640000000000,156718.675332640000
2017-12-01,49,2426904,80e29acb842498fe6591f020bd82766dce619d43,28770,28770,153138668648000000000000,153138.668648000000
2017-12-01,50,2206324,860d46df983c4132837e07710083469484fb3673,5,5,149999991473191280000000,149999.991473191280
2017-12-01,51,2431126,60dfe511ef939e25843471e34e856e5b2e07c92a,29,29,147581100000000000000000,147581.100000000000
