month,size_bucket,transfer_count,bucket_volume
2017-11-01,<0.01,2,0.01024494000000000000
2017-11-01,0.01-0.1,1,0.01000000000000000000
2017-11-01,0.1-1,5,0.77652433409363923500
2017-11-01,1-10,2,3.98961262485398194700
2017-11-01,10-100,1,10.2240000000000000
2017-12-01,<0.01,1689889,6477.895003738868637852000000000000000000
2017-12-01,0.01-0.1,3258139,154838.31856143769412247600
2017-12-01,0.1-1,5486888,1945718.17416507333742465800
2017-12-01,1-10,3603683,12194547.37756335106662472700
2017-12-01,10-100,3739452,175607992.6285010693674452
2017-12-01,100-1000,537308,144279575.3971657226673792
2017-12-01,1000-10000,9841,20369453.9168629319352949
2017-12-01,10000-100000,433,8898915.8446957112982400
2017-12-01,100000-1000000,14,2616044.383386381281
2018-01-01,<0.01,1702422,6270.924373806853932464000000000000000000
2018-01-01,0.01-0.1,4394049,218087.95907419373829167600
2018-01-01,0.1-1,7563646,2859510.58791876863327537400
2018-01-01,1-10,5149915,16621126.58307834165673138300
2018-01-01,10-100,5527084,262400678.0262164437781182
2018-01-01,100-1000,272657,56059632.0289419122400989
2018-01-01,1000-10000,10332,22688522.1359986362821901
2018-01-01,10000-100000,470,10836508.0408020458780000
2018-01-01,100000-1000000,12,1636605.279296980004
2018-02-01,<0.01,1462424,4360.285236440425865034000000000000000000
2018-02-01,0.01-0.1,3131562,153232.38367518342149291700
2018-02-01,0.1-1,4475493,1525461.10257268665459688600
2018-02-01,1-10,2468836,7470717.11714937433952116000
2018-02-01,10-100,1832193,87716262.0342190302903107
2018-02-01,100-1000,100893,21154030.1661672145107548
2018-02-01,1000-10000,5126,11089380.0650956136895041
2018-02-01,10000-100000,298,7583489.1067197985040000
2018-02-01,100000-1000000,7,1359658.004971398384
2018-03-01,<0.01,1440668,4115.989095318800967908000000000000000000
2018-03-01,0.01-0.1,3200701,159186.85793265921888667000
2018-03-01,0.1-1,4076531,1364359.82404247271823989700
2018-03-01,1-10,2019103,5661901.19582163831492684800
2018-03-01,10-100,396706,10704136.3487100842909871
2018-03-01,100-1000,58698,16092268.5962762277794872
2018-03-01,1000-10000,5730,13051160.4156165568641447
2018-03-01,10000-100000,284,5703710.9384462915100000
2018-03-01,100000-1000000,7,2301555.234653569959
2018-04-01,<0.01,1746813,3933.149574425461089373000000000000000000
2018-04-01,0.01-0.1,3117543,150580.22311636433228901400
2018-04-01,0.1-1,3578347,1149298.40084273533353744300
2018-04-01,1-10,1799943,5339110.42630119600752313500
2018-04-01,10-100,393987,10685340.1714065957096545
2018-04-01,100-1000,57217,15631433.2619328640923272
2018-04-01,1000-10000,5215,11638706.4449290791595300
2018-04-01,10000-100000,337,4775312.7658826899030000
2018-04-01,100000-1000000,6,1553258.000000000000
2018-05-01,<0.01,2456888,7070.865744906788640625000000000000000000
2018-05-01,0.01-0.1,3558476,167559.80882779160412446600
2018-05-01,0.1-1,4340200,1377519.54807615366688262500
2018-05-01,1-10,2066213,6220832.23251990127959405100
2018-05-01,10-100,475394,12887573.4074667587825636
2018-05-01,100-1000,73581,19664145.7747757924278600
2018-05-01,1000-10000,5980,13273828.9879025590828360
2018-05-01,10000-100000,439,7475179.0565947697463847
2018-05-01,100000-1000000,6,1023301.163551103604
2018-06-01,<0.01,2195135,4692.167301777247616061000000000000000000
2018-06-01,0.01-0.1,2858080,129503.03844527570273944400
2018-06-01,0.1-1,3584551,1107989.81356676443153883600
2018-06-01,1-10,1885043,5752913.22143384451731390500
2018-06-01,10-100,474466,13076037.1907773526194865
2018-06-01,100-1000,77345,23646517.6712950518714872
2018-06-01,1000-10000,5266,11774323.9645869462012021
2018-06-01,10000-100000,330,5907904.0900832606460000
2018-06-01,100000-1000000,8,1306466.275179006798
2018-07-01,<0.01,1719037,3869.046668872427147195000000000000000000
2018-07-01,0.01-0.1,2555874,119091.79094192666321815800
2018-07-01,0.1-1,3297112,988751.60925036659635085600
2018-07-01,1-10,1564634,4818821.17096966195187179600
2018-07-01,10-100,407274,10943144.5269102151439324
2018-07-01,100-1000,56282,13492192.9298726182701633
2018-07-01,1000-10000,4667,9230917.7495358967331954
2018-07-01,10000-100000,254,4416270.4855526807180000
2018-07-01,100000-1000000,2,1194453.804480000000
2018-08-01,<0.01,1814486,4166.466816723483010271000000000000000000
2018-08-01,0.01-0.1,2588437,117524.29005890118139588500
2018-08-01,0.1-1,3464060,1071669.23578397087308454700
2018-08-01,1-10,1580976,4721315.01068538418774516500
2018-08-01,10-100,387080,10628652.1967258637822698
2018-08-01,100-1000,56718,14421261.5461253847602976
2018-08-01,1000-10000,5955,12309324.3984250226593635
2018-08-01,10000-100000,224,4125496.0953396837504227
2018-09-01,<0.01,1341432,3700.056842465642057984000000000000000000
2018-09-01,0.01-0.1,2292435,106132.67298615339218381800
2018-09-01,0.1-1,2992720,917073.20911403713331213800
2018-09-01,1-10,1447759,4498445.51797834508528895400
2018-09-01,10-100,421046,12228790.0749625494845789
2018-09-01,100-1000,64725,17037695.9745163604618390
2018-09-01,1000-10000,7796,16783369.5877138240591854
2018-09-01,10000-100000,341,6708473.5884248401150000
2018-09-01,100000-1000000,7,1437632.332184907648
2018-10-01,<0.01,1275267,3637.302433671281824304000000000000000000
2018-10-01,0.01-0.1,2241408,103474.04130006269213199000
2018-10-01,0.1-1,2933955,891666.17701030746033148400
2018-10-01,1-10,1512208,4861333.94617391335854291200
2018-10-01,10-100,460300,13075593.7288416906508127
2018-10-01,100-1000,67369,15211346.6192685465031826
2018-10-01,1000-10000,5453,11253496.3008848350881392
2018-10-01,10000-100000,271,5422698.9125266194682308
2018-10-01,100000-1000000,4,1396376.329145596731
2018-11-01,<0.01,1112765,3562.777524796797816184000000000000000000
2018-11-01,0.01-0.1,2041818,95198.21439993962842329200
2018-11-01,0.1-1,2856966,895917.08486159055059462200
2018-11-01,1-10,1644016,5438934.60440924347963993700
2018-11-01,10-100,560979,16524889.6717331129410712
2018-11-01,100-1000,97367,22960662.4636681138831977
2018-11-01,1000-10000,10559,26086273.7358544283420309
2018-11-01,10000-100000,539,11536852.5928290449552306
2018-11-01,100000-1000000,18,6446037.783991200797
2018-12-01,<0.01,1290733,3972.161477964392529139000000000000000000
2018-12-01,0.01-0.1,2035652,92785.27010418995579949800
2018-12-01,0.1-1,2673767,837871.30385624235477596300
2018-12-01,1-10,1637310,5486163.73988941734253688000
2018-12-01,10-100,574714,17017876.9090191125042976
2018-12-01,100-1000,113080,28121075.2650295939416823
2018-12-01,1000-10000,10216,23402591.9647101415194678
2018-12-01,10000-100000,754,20124253.6494719270010622
2018-12-01,100000-1000000,11,1800462.139147731008
2018-12-01,1000000-10000000,3,4556299.186193850559
2019-01-01,<0.01,1177966,3052.261342730829581876000000000000000000
2019-01-01,0.01-0.1,1867116,88290.31948702735524601900
2019-01-01,0.1-1,2566564,832017.46397954280329455800
2019-01-01,1-10,1544106,5332042.59092671611873861700
2019-01-01,10-100,544624,15951313.9847283285178756
2019-01-01,100-1000,90895,21876759.4420939574691228
2019-01-01,1000-10000,7251,15581565.5495891853722838
2019-01-01,10000-100000,412,9112755.4563274922240000
2019-01-01,100000-1000000,15,4924360.058633410445
2019-02-01,<0.01,950157,2767.346416015755070390000000000000000000
2019-02-01,0.01-0.1,1490786,69543.35886068183163053400
2019-02-01,0.1-1,1966992,628002.74768091855935678300
2019-02-01,1-10,1235152,4197232.95895517642549277200
2019-02-01,10-100,404787,11580945.8237041359836628
2019-02-01,100-1000,58534,15320179.6106256806262761
2019-02-01,1000-10000,5794,12661044.2341877922522103
2019-02-01,10000-100000,412,7497766.2697185812440895
2019-02-01,100000-1000000,4,1226675.328197810000
2019-03-01,<0.01,1569648,4220.779472649973405746000000000000000000
2019-03-01,0.01-0.1,1767842,81572.40431100976460104300
2019-03-01,0.1-1,2391804,783087.98327535533516831800
2019-03-01,1-10,1758221,6157300.76386332223132364000
2019-03-01,10-100,596922,16388375.1350654021113554
2019-03-01,100-1000,73812,18186983.4686313489619289
2019-03-01,1000-10000,7155,15397904.6839686542292404
2019-03-01,10000-100000,595,9328233.1835484490026023
2019-03-01,100000-1000000,15,2369590.605148777397
2019-04-01,<0.01,1951533,4343.218312714067749927000000000000000000
2019-04-01,0.01-0.1,1933454,83783.72156748098043580500
2019-04-01,0.1-1,2657332,935321.47348065713448780400
2019-04-01,1-10,2159168,7663123.15021210181711019600
2019-04-01,10-100,677136,19010425.2401260785049118
2019-04-01,100-1000,85922,21232414.6260596593361974
2019-04-01,1000-10000,8594,20178289.5258055458959912
2019-04-01,10000-100000,696,11394204.1673247332342677
2019-04-01,100000-1000000,5,1172435.711272000000
2019-05-01,<0.01,2403332,6164.567190669218704243000000000000000000
2019-05-01,0.01-0.1,2020494,88060.36699054700588244400
2019-05-01,0.1-1,2877202,1059611.99066908662922196900
2019-05-01,1-10,2546876,8827883.23370598513151021600
2019-05-01,10-100,753847,20870242.9944734737470765
2019-05-01,100-1000,91411,22955276.4575610317242360
2019-05-01,1000-10000,10766,26814755.6333445723798121
2019-05-01,10000-100000,644,12431562.0614702125345172
2019-05-01,100000-1000000,17,3860470.409881815666
2019-06-01,<0.01,2837672,6287.215615353533559997000000000000000000
2019-06-01,0.01-0.1,1912483,85186.43092842705797676900
2019-06-01,0.1-1,2771388,998608.55975532055077588900
2019-06-01,1-10,2490936,8303791.83627176617304515800
2019-06-01,10-100,639649,17386095.0710347324485376
2019-06-01,100-1000,73817,18458671.1485851286375104
2019-06-01,1000-10000,8395,21462430.6558566630729983
2019-06-01,10000-100000,335,6975549.0696851854941474
2019-06-01,100000-1000000,10,2346348.276632651196
2019-07-01,<0.01,2051353,5220.983105157983165376000000000000000000
2019-07-01,0.01-0.1,1950648,85823.80231708608056272900
2019-07-01,0.1-1,2542753,879273.09065033603416844100
2019-07-01,1-10,1772236,5516320.67586527445721741000
2019-07-01,10-100,466104,13393694.3637561701175563
2019-07-01,100-1000,61127,15130357.2385117481962349
2019-07-01,1000-10000,6830,18014473.9124442255761835
2019-07-01,10000-100000,231,4851961.9755185551689177
2019-07-01,100000-1000000,5,1646947.432563024392
2019-07-01,1000000-10000000,1,1943845.376643288948
2019-08-01,<0.01,2167211,4995.168019994852062710000000000000000000
2019-08-01,0.01-0.1,1963956,85154.42322285561160621600
2019-08-01,0.1-1,2385659,809677.05823791442480328500
2019-08-01,1-10,1560486,5107613.97204660396765781400
2019-08-01,10-100,435945,12117412.0535869870659947
2019-08-01,100-1000,55670,14286500.0237346924069132
2019-08-01,1000-10000,7066,16233510.2894395106973722
2019-08-01,10000-100000,301,5435291.7314239488885893
2019-08-01,100000-1000000,12,2801262.181984401798
2019-09-01,<0.01,1786434,5108.064843546299717205000000000000000000
2019-09-01,0.01-0.1,1657400,72248.04763921299489837800
2019-09-01,0.1-1,2088565,716620.52668581042386511800
2019-09-01,1-10,1380441,4448117.98562702683660385700
2019-09-01,10-100,453876,12162049.0137235784978558
2019-09-01,100-1000,55440,13887386.8919359657780968
2019-09-01,1000-10000,6663,16230494.1024136802611303
2019-09-01,10000-100000,390,7241030.1307243662080000
2019-09-01,100000-1000000,11,2455639.631578616000
2019-10-01,<0.01,2027168,5472.547147237582404240000000000000000000
2019-10-01,0.01-0.1,1619521,69443.17822769741464379600
2019-10-01,0.1-1,1940305,645773.67759685927895700900
2019-10-01,1-10,1091360,3376366.10691313473921346400
2019-10-01,10-100,321217,9081554.3257844443132026
2019-10-01,100-1000,49761,12986712.5973222072488880
2019-10-01,1000-10000,5714,13286654.3690974753609297
