month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2022-05-01,8,8,2,30050000,30.0500000000000000,5,5,2,50000,0.05000000000000000000,30.00000000000000000000,30.00000000000000000000
2022-06-01,14,14,2,2158770000,2158.7700000000000000,11,11,2,2450000,2.4500000000000000,2156.3200000000000000,2186.32000000000000000000
2022-07-01,20,20,2,2518077840000,2518077.840000000000,19,19,2,1500072080000,1500072.080000000000,1018005.760000000000,1020192.08000000000000000000
2022-08-01,42,42,2,76667404060000,76667404.060000000000,18,18,2,1198305210000,1198305.210000000000,75469098.850000000000,76489290.93000000000000000000
2022-09-01,18,18,2,1838118480000,1838118.480000000000,13,13,1,1784868830000,1784868.830000000000,53249.650000000000,76542540.58000000000000000000
2022-10-01,30,30,1,3404383540000,3404383.540000000000,30,30,1,2020635490000,2020635.490000000000,1383748.050000000000,77926288.63000000000000000000
2022-11-01,29,29,2,14020930880000,14020930.880000000000,40,40,2,66493319250000,66493319.250000000000,-52472388.370000000000,25453900.26000000000000000000
2022-12-01,16,16,1,751702730000,751702.730000000000,31,31,1,1299940940000,1299940.940000000000,-548238.210000000000,24905662.05000000000000000000
2023-01-01,12,12,1,6579873900000,6579873.900000000000,9,9,1,408215100000,408215.100000000000,6171658.800000000000,31077320.85000000000000000000
2023-02-01,26,26,1,3854244520000,3854244.520000000000,15,15,1,5106448060000,5106448.060000000000,-1252203.540000000000,29825117.31000000000000000000
2023-03-01,18,18,2,4122811740000,4122811.740000000000,33,33,2,2879902390000,2879902.390000000000,1242909.350000000000,31068026.66000000000000000000
2023-04-01,12,12,2,17275862200000,17275862.200000000000,14,14,1,172968620000,172968.620000000000,17102893.580000000000,48170920.24000000000000000000
2023-05-01,6,6,2,239665110000,239665.110000000000,14,14,2,1813088280000,1813088.280000000000,-1573423.170000000000,46597497.07000000000000000000
2023-06-01,4,4,2,872860360000,872860.360000000000,15,15,2,1133252360000,1133252.360000000000,-260392.000000000000,46337105.07000000000000000000
2023-07-01,18,18,2,709189030000,709189.030000000000,41,41,2,2139844800000,2139844.800000000000,-1430655.770000000000,44906449.30000000000000000000
2023-08-01,6,6,3,2774175290000,2774175.290000000000,18,18,2,1164259100000,1164259.100000000000,1609916.190000000000,46516365.49000000000000000000
