month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2022-05-01,77.3000000000000000,5,5,8,8
2022-06-01,5936.8229300000000000,71,69,110,118
2022-07-01,4664741.512390000000,323,304,845,1073
2022-08-01,101568648.0044190000,1453,1375,3474,4107
2022-09-01,147886206.0259630000,559,415,2731,3917
2022-10-01,196651805.8243600000,656,447,3674,4885
2022-11-01,234841624.1631140000,656,408,2414,3296
2022-12-01,36074156.835573000000,420,225,1008,1317
2023-01-01,36139539.577901000000,391,204,1036,1440
2023-02-01,50239434.685380000000,411,213,954,1454
2023-03-01,198668540.2420330000,1244,891,4309,5984
2023-04-01,119664556.4968740000,688,397,1863,2317
2023-05-01,117389130.9887560000,558,280,1405,1733
2023-06-01,69547772.717977000000,587,282,1453,1861
2023-07-01,91420733.857743000000,648,305,1425,1862
2023-08-01,98176130.429645000000,589,299,1416,1892
2023-09-01,39359554.456503000000,633,330,1285,1618
2023-10-01,81616576.682002000000,682,361,1743,2495
2023-11-01,114171276.5028640000,750,338,1730,2320
2023-12-01,102103849.3208980000,674,359,2089,3168
2024-01-01,58621104.692020000000,719,394,1907,2771
2024-02-01,38122512.430993000000,591,336,1524,2023
2024-03-01,71365724.973965000000,706,406,1900,2531
2024-04-01,79645779.166712000000,784,398,1646,2080
2024-05-01,43601603.594530000000,766,446,2101,2794
2024-06-01,38411360.062987000000,906,432,2116,2776
2024-07-01,93038140.548380000000,775,451,2491,3626
2024-08-01,159300597.3644990000,832,450,2886,4126
2024-09-01,209511713.2121330000,865,494,2666,3811
2024-10-01,262237853.1666210000,975,600,2836,3793
2024-11-01,390887992.1938790000,1238,758,3542,4903
2024-12-01,385421176.8796910000,1374,853,3636,4948
2025-01-01,326324927.7805470000,1632,1068,4524,6247
2025-02-01,489909948.9066570000,1545,902,4784,7053
2025-03-01,391273776.2719640000,1953,1165,7672,12579
2025-04-01,914522366.3679800000,2592,1702,13394,22307
2025-05-01,886803830.3642770000,2661,1474,11613,17608
2025-06-01,563553562.0247840000,2616,1396,10397,16426
2025-07-01,872172577.5313500000,3786,2124,16457,26953
2025-08-01,943125095.0614090000,4194,2515,20437,34744
2025-09-01,1020004147.4590410000,4270,2348,19136,32772
2025-10-01,1380743728.8514880000,5401,3043,24819,42445
2025-11-01,1111151189.4130930000,5205,2747,20898,34940
2025-12-01,1806697997.8932990000,6048,3462,26924,46545
2026-01-01,1640337630.4505270000,8807,5656,38306,65636
2026-02-01,1815213247.4227660000,11261,7199,50131,82892
2026-03-01,2110084279.4262840000,9115,5050,49449,81725
2026-04-01,1908111547.2844350000,8230,4052,34084,57129
2026-05-01,1599968589.2391220000,7974,4317,35524,52269
2026-06-01,1474125419.9292570000,9391,4843,44633,69695
