month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2022-05-01,1,137186470,895f07957b863f4ab6086035a6990d8366bc3266,2,600000,0.60000000000000000000
2022-06-01,1,179516035,55fe002aeff02f77364de339a1292923a15844b8,11,265170000,265.1700000000000000
2022-06-01,2,137186470,895f07957b863f4ab6086035a6990d8366bc3266,7,8410000,8.4100000000000000
2022-06-01,3,87541327,94f4d3a5791f71ffdd83ac5d0d7f16846b835bb0,3,5000000,5.0000000000000000
2022-06-01,4,216700061,493a9869e3b5f846f72267ab19b76e9bf99d51b1,2,1100000,1.1000000000000000
2022-06-01,5,1218225648,1526fb407c526c487191b2bc32c40f0aee7eb9f0,1,26000000,26.0000000000000000
2022-06-01,6,1223943853,4c960984dfcf149125fc06c8dbd9bd66ce83e633,1,20000000,20.0000000000000000
2022-06-01,7,911221315,deda9d73378248ee7f8418cd678a501a7d6387b1,1,10000000,10.0000000000000000
2022-06-01,8,1078637427,eabf6debf0cff915ef1b5eaacc8b0c6cfae71d32,1,10000000,10.0000000000000000
2022-06-01,9,709002108,f60c2ea62edbfe808163751dd0d8693dcb30019c,1,2000000,2.0000000000000000
2022-06-01,10,786362838,aeaf919162aae3bff8247dc14f68c1a6a8691924,1,1000000,1.00000000000000000000
2022-06-01,11,1098014955,4f2f4eb25138f1256cf54ea2f22bbd0aed4f78a9,1,1000000,1.00000000000000000000
2022-06-01,12,549003919,74dec05e5b894b0efec69cdf6316971802a2f9a1,1,1000000,1.00000000000000000000
2022-07-01,1,999085390,3ab28ecedea6cdb6feed398e93ae8c7b316b1182,17,2172000000,2172.0000000000000000
2022-07-01,2,549003919,74dec05e5b894b0efec69cdf6316971802a2f9a1,14,149727511962,149727.511962000000
2022-07-01,3,274071186,2faf487a4414fe77e2327f0bf4ae2a264a776ad2,10,244560561250,244560.561250000000
2022-07-01,4,797238042,a7b956df5b77f554b72cc62f86dc7548e8a7b887,8,704000000,704.0000000000000000
2022-07-01,5,990708960,231887a438073623f58176ee91a086438209b98e,5,504000000,504.0000000000000000
2022-07-01,6,1099638668,f5683a32f8a795416081919ccabb200a9b5af137,4,538162306,538.1623060000000000
2022-07-01,7,948758792,9ee3f286e4b3ca837e4acb5294da10ff5219429a,4,406218898,406.2188980000000000
2022-07-01,8,179516035,55fe002aeff02f77364de339a1292923a15844b8,4,50050000,50.0500000000000000
2022-07-01,9,671456460,1b69c4a788ad8f940e624341ab45c731d01190de,2,220000000,220.0000000000000000
2022-07-01,10,1216149078,75bff95e3598bfd65d9150405eb201b52c0aaace,2,208206477,208.2064770000000000
2022-07-01,11,1176550169,7bf97c7a86508cdb54cccbd3e853042b14778ee9,2,205000000,205.0000000000000000
2022-07-01,12,751419712,d71d197e7e2bd838174f441362260d235e190514,2,201192504,201.1925040000000000
2022-07-01,13,856368554,468b1cbaf27c2f7f6b2dc94b61766ae157cd2ef9,1,15212039356,15212.039356000000
2022-07-01,14,1026851159,23297f19f273c83245cc419c861ec6c63307becf,1,6531064415,6531.0644150000000000
2022-07-01,15,1162627967,1e4fa3bd29b784b55c568122d495c32021acb7b7,1,3000110000,3000.1100000000000000
2022-07-01,16,1248170443,826674a216f759d5af15fb8a26fc138d6a690bd8,1,3000110000,3000.1100000000000000
2022-07-01,17,616645637,3644c8b140b4c24515b432b37d05012a2e81b63c,1,1432792344,1432.7923440000000000
2022-07-01,18,1261850225,ecf983933f8707f68621db475d31b3e92ff81b58,1,1104699231,1104.6992310000000000
2022-07-01,19,927861548,d85169b96f1b8089c6bd6d4b4538f7a86c08cf0e,1,986207935,986.2079350000000000
2022-07-01,20,1011032496,69c6b16ecccbf7f06091ce835d86e3f932173553,1,984155628,984.1556280000000000
2022-07-01,21,1097845072,2cdd544a2bea21c4c26954b25081b6870968cafa,1,480614049,480.6140490000000000
2022-07-01,22,555504326,62c66180c21723d2ebe5c9be61307dd2061c6f2d,1,285663663,285.6636630000000000
2022-07-01,23,1235089452,27f579a5831952fc888e63bb1aaaf56a970adb6f,1,265226282,265.2262820000000000
2022-07-01,24,1267741331,64ddb692e1f0a56d48fc5b3917aed3ea9cf7d5a4,1,229362530,229.3625300000000000
2022-07-01,25,798303438,d073fa1e4626f900412c152e55d18df65d2ad3a0,1,168440356,168.4403560000000000
2022-07-01,26,619826217,496222654d12c7df88ef90fecdf8747d4636bef0,1,152283280,152.2832800000000000
2022-07-01,27,1172679890,7c2c22bc602e4614e0a7bc40fca5215b98f89a5f,1,145188016,145.1880160000000000
2022-07-01,28,1185614175,6339b858192dca2dad8d048ab6228fed77833721,1,123054317,123.0543170000000000
2022-07-01,29,1139116537,438fc17c6e35b090ad01e38cab9b458d333dd751,1,117141884,117.1418840000000000
2022-07-01,30,1158921678,1d3509dbc56c2c293b98504652d0bd5d519cf999,1,115156810,115.1568100000000000
2022-07-01,31,372948692,7acee696e2165e33c578d8956cbcf575e5d631d1,1,114258481,114.2584810000000000
2022-07-01,32,813524828,243bd5b7d39d3a83e6f4758a141f8babec961d45,1,113094171,113.0941710000000000
2022-07-01,33,384055131,da493af6293c44601ef96d135bc37a66809dee57,1,110000000,110.0000000000000000
2022-07-01,34,892363780,0e2ae905b17dc5f090270bbc8d1c4e3281a0f33c,1,109428153,109.4281530000000000
2022-07-01,35,1015058187,091c22b75c478726f6752fcca80d56e612c11d53,1,108607631,108.6076310000000000
2022-07-01,36,1266747225,84fd46987389f470a27f1e97f724416481b4e1c1,1,106257350,106.2573500000000000
2022-07-01,37,747523018,6b28fb12ee41baa9d1df16971de53adde6d1be5b,1,105296470,105.2964700000000000
2022-07-01,38,1181755476,028954b8890996cb25020dce4c3f3704af5808cf,1,105188663,105.1886630000000000
2022-07-01,39,1190788387,4a0e481cacb7dfda33f5fe4fd715d73a754ef53a,1,104027049,104.0270490000000000
2022-07-01,40,1267795560,94afe8a45e07da0fb515838721718ddfcab4a7aa,1,103472671,103.4726710000000000
2022-07-01,41,1231919111,1b3ddce95049db4fa168ba9fbc9c5a149e276cc0,1,103000000,103.0000000000000000
2022-07-01,42,594666577,faa252d9b1c7a068f79512b444182ba7a8150322,1,103000000,103.0000000000000000
