month,size_bucket,transfer_count,bucket_volume
2022-05-01,0.1-1,2,0.60000000000000000000
2022-05-01,10-100,1,26.0000000000000000
2022-06-01,0.01-0.1,4,0.13000000000000000000
2022-06-01,0.1-1,7,1.52000000000000000000
2022-06-01,1-10,24,59.16000000000000000000
2022-06-01,10-100,15,357.0000000000000000
2022-06-01,100-1000,2,300.0000000000000000
2022-07-01,0.01-0.1,3,0.13000000000000000000
2022-07-01,0.1-1,1,0.12000000000000000000
2022-07-01,1-10,7,35.7582320000000000
2022-07-01,10-100,34,1333.0013580000000000
2022-07-01,100-1000,203,31688.0036430000000000
2022-07-01,1000-10000,62,246296.7883390000000000
2022-07-01,10000-100000,10,230534.5480530000000000
2022-07-01,100000-1000000,4,1273337.771824000000
2022-08-01,<0.01,1,0.00270700000000000000
2022-08-01,0.1-1,9,4.47393800000000000000
2022-08-01,1-10,29,111.76110100000000000000
2022-08-01,10-100,45,2472.5874600000000000
2022-08-01,100-1000,1795,214328.9290480000000000
2022-08-01,1000-10000,137,520060.2001570000000000
2022-08-01,10000-100000,174,5421774.8475140000000000
2022-08-01,100000-1000000,25,8211958.509192000000
2022-08-01,1000000-10000000,5,16000000.000000000000
2022-08-01,>=10000000,2,45000000.000000000000
2022-09-01,0.01-0.1,1,0.02068600000000000000
2022-09-01,0.1-1,4,1.85029300000000000000
2022-09-01,1-10,145,713.81133100000000000000
2022-09-01,10-100,45,1744.3112550000000000
2022-09-01,100-1000,51,22181.7168610000000000
2022-09-01,1000-10000,144,710399.6557470000000000
2022-09-01,10000-100000,428,14547947.5610580000000000
2022-09-01,100000-1000000,91,25508686.021289000000
2022-09-01,1000000-10000000,7,11928000.000000000000
2022-09-01,>=10000000,2,29999998.000000000000
2022-10-01,<0.01,1,0.00100000000000000000
2022-10-01,0.1-1,5,2.75898800000000000000
2022-10-01,1-10,41,200.04819100000000000000
2022-10-01,10-100,53,2512.5451560000000000
2022-10-01,100-1000,65,22033.6376910000000000
2022-10-01,1000-10000,128,576497.5458140000000000
2022-10-01,10000-100000,623,27536280.4159350000000000
2022-10-01,100000-1000000,206,41763407.967532000000
2022-10-01,1000000-10000000,1,1000000.000000000000
2022-11-01,<0.01,1,0.00985700000000000000
2022-11-01,0.01-0.1,9,0.25000000000000000000
2022-11-01,0.1-1,10,5.40187000000000000000
2022-11-01,1-10,19,87.42886900000000000000
2022-11-01,10-100,47,2060.8618390000000000
2022-11-01,100-1000,86,40673.2365900000000000
2022-11-01,1000-10000,132,547789.8998050000000000
2022-11-01,10000-100000,211,8978127.4758460000000000
2022-11-01,100000-1000000,69,16502935.954683000000
2022-11-01,1000000-10000000,6,10377040.268720000000
2022-11-01,>=10000000,4,109000010.000000000000
2022-12-01,<0.01,1,0.00100000000000000000
2022-12-01,0.1-1,3,0.55000000000000000000
2022-12-01,1-10,14,60.45987300000000000000
2022-12-01,10-100,29,1120.0642550000000000
2022-12-01,100-1000,36,12241.2763640000000000
2022-12-01,1000-10000,20,97955.7344160000000000
2022-12-01,10000-100000,54,1945122.6055070000000000
2022-12-01,100000-1000000,19,4135370.890050000000
2023-01-01,0.1-1,4,2.92827700000000000000
2023-01-01,1-10,18,95.7111610000000000
2023-01-01,10-100,27,1169.3532250000000000
2023-01-01,100-1000,54,26574.4018790000000000
2023-01-01,1000-10000,23,73932.0973200000000000
2023-01-01,10000-100000,41,1283222.0620980000000000
2023-01-01,100000-1000000,19,2743574.636013000000
2023-02-01,0.1-1,1,0.46631900000000000000
2023-02-01,1-10,9,48.65354300000000000000
2023-02-01,10-100,41,1922.2677130000000000
2023-02-01,100-1000,33,15851.0656460000000000
2023-02-01,1000-10000,48,251612.1298430000000000
2023-02-01,10000-100000,28,1129370.228588000000
2023-02-01,100000-1000000,8,2859595.853567000000
2023-02-01,1000000-10000000,1,1000000.000000000000
2023-03-01,0.1-1,7,3.15203000000000000000
2023-03-01,1-10,20,86.27584700000000000000
2023-03-01,10-100,45,2049.0365870000000000
2023-03-01,100-1000,56,20636.8998570000000000
2023-03-01,1000-10000,84,434318.1950200000000000
2023-03-01,10000-100000,86,2426180.9284150000000000
2023-03-01,100000-1000000,70,28203656.421246000000
2023-03-01,1000000-10000000,2,4072689.616308000000
2023-04-01,<0.01,1,0.00100000000000000000
2023-04-01,0.01-0.1,2,0.02704200000000000000
2023-04-01,0.1-1,4,2.90531900000000000000
2023-04-01,1-10,14,69.05474500000000000000
2023-04-01,10-100,40,1649.8264260000000000
2023-04-01,100-1000,46,19422.7878760000000000
2023-04-01,1000-10000,77,256935.6305510000000000
2023-04-01,10000-100000,42,1419102.5054220000000000
2023-04-01,100000-1000000,31,9453151.468680000000
2023-04-01,1000000-10000000,8,14153217.620000000000
2023-05-01,0.1-1,3,0.30000000000000000000
2023-05-01,1-10,14,54.28193600000000000000
2023-05-01,10-100,32,1788.2788500000000000
2023-05-01,100-1000,70,34861.9184190000000000
2023-05-01,1000-10000,84,303683.3684020000000000
2023-05-01,10000-100000,85,2855199.7476180000000000
2023-05-01,100000-1000000,38,12242938.261767000000
2023-05-01,1000000-10000000,5,30505347.000000000000
2023-06-01,<0.01,3,0.00300000000000000000
2023-06-01,0.01-0.1,3,0.04897800000000000000
2023-06-01,0.1-1,4,1.65100000000000000000
2023-06-01,1-10,29,125.63873600000000000000
2023-06-01,10-100,74,2254.1248640000000000
2023-06-01,100-1000,52,21250.3510200000000000
2023-06-01,1000-10000,88,323017.3432330000000000
2023-06-01,10000-100000,94,3209458.6492470000000000
2023-06-01,100000-1000000,34,8292090.939585000000
2023-06-01,1000000-10000000,3,6000000.000000000000
2023-07-01,1-10,11,59.15176800000000000000
2023-07-01,10-100,30,1339.8893720000000000
2023-07-01,100-1000,83,29899.7231730000000000
2023-07-01,1000-10000,60,246914.7241680000000000
2023-07-01,10000-100000,99,3273508.9076830000000000
2023-07-01,100000-1000000,39,13135612.523110000000
2023-07-01,1000000-10000000,6,11899995.000000000000
2023-08-01,0.01-0.1,2,0.04000000000000000000
2023-08-01,0.1-1,2,0.92500000000000000000
2023-08-01,1-10,18,97.00447200000000000000
2023-08-01,10-100,27,1287.2886850000000000
2023-08-01,100-1000,39,15159.2407660000000000
2023-08-01,1000-10000,63,233047.5862870000000000
2023-08-01,10000-100000,75,2660477.0695930000000000
2023-08-01,100000-1000000,21,7573024.808950000000
2023-08-01,1000000-10000000,3,8875011.650000000000
2023-09-01,0.01-0.1,2,0.02000000000000000000
2023-09-01,1-10,15,83.36695800000000000000
2023-09-01,10-100,54,2082.0905750000000000
2023-09-01,100-1000,71,33437.2454350000000000
2023-09-01,1000-10000,51,179756.2832750000000000
2023-09-01,10000-100000,70,2142614.7711980000000000
2023-09-01,100000-1000000,28,9654291.323128000000
2023-10-01,<0.01,1,0.00955400000000000000
2023-10-01,0.01-0.1,1,0.01905400000000000000
2023-10-01,0.1-1,17,6.09753800000000000000
2023-10-01,1-10,21,58.99709900000000000000
2023-10-01,10-100,60,2909.9662800000000000
2023-10-01,100-1000,73,27272.0210600000000000
2023-10-01,1000-10000,122,521747.5996260000000000
2023-10-01,10000-100000,115,4029939.0221650000000000
2023-10-01,100000-1000000,44,16170436.431643000000
2023-10-01,1000000-10000000,1,1545466.800000000000
2023-11-01,0.01-0.1,1,0.01000000000000000000
2023-11-01,0.1-1,4,3.17856500000000000000
2023-11-01,1-10,11,55.22624700000000000000
2023-11-01,10-100,61,2588.2013830000000000
2023-11-01,100-1000,113,42890.6124320000000000
2023-11-01,1000-10000,135,508375.5634390000000000
2023-11-01,10000-100000,74,2635980.3902770000000000
2023-11-01,100000-1000000,69,27485440.764928000000
2023-11-01,1000000-10000000,3,5577260.819400000000
2023-12-01,1-10,21,98.63558300000000000000
2023-12-01,10-100,79,3356.2320870000000000
2023-12-01,100-1000,81,36077.0088000000000000
2023-12-01,1000-10000,116,490644.0528590000000000
2023-12-01,10000-100000,79,2443568.2213580000000000
2023-12-01,100000-1000000,57,18467179.995001000000
2023-12-01,1000000-10000000,1,1822440.360000000000
2024-01-01,0.01-0.1,3,0.12239000000000000000
2024-01-01,0.1-1,12,4.81400300000000000000
2024-01-01,1-10,23,109.05872800000000000000
2024-01-01,10-100,111,4901.8027820000000000
2024-01-01,100-1000,79,30383.8148840000000000
2024-01-01,1000-10000,113,501495.0779740000000000
2024-01-01,10000-100000,89,2400622.6438680000000000
2024-01-01,100000-1000000,10,3885099.841399000000
2024-02-01,0.1-1,2,0.71871000000000000000
2024-02-01,1-10,12,67.51787700000000000000
2024-02-01,10-100,67,2964.5852020000000000
2024-02-01,100-1000,73,34373.4467040000000000
2024-02-01,1000-10000,108,460745.7866630000000000
2024-02-01,10000-100000,70,2161805.3921720000000000
2024-02-01,100000-1000000,15,4363204.655414000000
2024-03-01,0.1-1,1,0.91361100000000000000
2024-03-01,1-10,9,30.78670000000000000000
2024-03-01,10-100,66,3464.6441610000000000
2024-03-01,100-1000,80,33053.3302900000000000
2024-03-01,1000-10000,116,497428.2337550000000000
2024-03-01,10000-100000,98,3848212.2982260000000000
2024-03-01,100000-1000000,31,8380696.694350000000
2024-04-01,0.01-0.1,4,0.07000000000000000000
2024-04-01,0.1-1,8,2.71300300000000000000
2024-04-01,1-10,21,92.4964850000000000
2024-04-01,10-100,67,2817.5692870000000000
2024-04-01,100-1000,82,29852.6600460000000000
2024-04-01,1000-10000,87,369884.5473880000000000
2024-04-01,10000-100000,55,1773992.258227000000
2024-04-01,100000-1000000,39,20073662.911543000000
2024-04-01,1000000-10000000,1,3000000.000000000000
2024-05-01,0.01-0.1,8,0.24000000000000000000
2024-05-01,0.1-1,1,0.54000000000000000000
2024-05-01,1-10,42,215.70535500000000000000
2024-05-01,10-100,96,3797.9629040000000000
2024-05-01,100-1000,99,39569.9991820000000000
2024-05-01,1000-10000,217,1180993.4107200000000000
2024-05-01,10000-100000,84,3005392.9342390000000000
2024-05-01,100000-1000000,28,8389243.517639000000
2024-06-01,0.01-0.1,1,0.01000000000000000000
2024-06-01,0.1-1,7,3.58992300000000000000
2024-06-01,1-10,54,209.52667500000000000000
2024-06-01,10-100,156,6362.5655790000000000
2024-06-01,100-1000,66,21750.2921090000000000
2024-06-01,1000-10000,292,1657979.9504620000000000
2024-06-01,10000-100000,47,1449828.3759690000000000
