month,newly_adopted_addresses
2022-05-01,4
2022-06-01,25
2022-07-01,64
2022-08-01,119
2022-09-01,119
2022-10-01,235
2022-11-01,187
2022-12-01,95
2023-01-01,90
2023-02-01,117
2023-03-01,557
2023-04-01,164
2023-05-01,124
2023-06-01,118
2023-07-01,197
2023-08-01,135
2023-09-01,111
2023-10-01,111
2023-11-01,174
2023-12-01,122
2024-01-01,123
2024-02-01,90
2024-03-01,148
2024-04-01,211
2024-05-01,141
2024-06-01,337
2024-07-01,164
2024-08-01,173
2024-09-01,202
2024-10-01,236
2024-11-01,327
2024-12-01,324
2025-01-01,383
2025-02-01,366
2025-03-01,516
2025-04-01,676
2025-05-01,740
2025-06-01,604
2025-07-01,1270
2025-08-01,1218
2025-09-01,1024
2025-10-01,1158
2025-11-01,938
2025-12-01,1082
2026-01-01,1861
2026-02-01,2301
2026-03-01,1617
2026-04-01,1375
2026-05-01,1837
2026-06-01,1426
