month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2022-05-01,25.5000000000000000,4,4,4,4
2022-06-01,2700.6261780000000000,26,25,26,26
2022-07-01,1451287.992600000000,74,64,197,197
2022-08-01,7676672.588096000000,145,119,423,423
2022-09-01,12141905.169900000000,170,119,506,511
2022-10-01,29566969.256413000000,314,235,841,849
2022-11-01,19720099.464963000000,263,187,536,548
2022-12-01,6576624.336098000000,150,95,251,253
2023-01-01,7967141.709079000000,143,90,263,263
2023-02-01,14093415.707930000000,184,117,278,279
2023-03-01,47197795.276305000000,669,557,1183,1191
2023-04-01,31846338.864019000000,273,164,541,543
2023-05-01,26464124.066463000000,217,124,398,398
2023-06-01,15154400.920041000000,231,118,384,387
2023-07-01,21074171.405077000000,291,197,426,435
2023-08-01,23475344.945844000000,249,135,360,362
2023-09-01,10287877.724733000000,209,111,283,284
2023-10-01,16786475.344545000000,223,111,406,407
2023-11-01,25708871.379657000000,286,174,414,414
2023-12-01,24476987.809400000000,222,122,411,413
2024-01-01,17381385.531515000000,224,123,423,425
2024-02-01,8889541.279122000000,175,90,322,324
2024-03-01,18890476.762223000000,237,148,441,441
2024-04-01,10976487.768020000000,289,211,419,420
2024-05-01,8498783.056599000000,231,141,381,384
2024-06-01,7531152.400512000000,425,337,550,552
2024-07-01,15948402.774256000000,251,164,539,540
2024-08-01,36214206.729581000000,280,173,575,577
2024-09-01,52815809.601944000000,308,202,592,595
2024-10-01,58800178.205637000000,342,236,583,583
2024-11-01,108566666.5826930000,439,327,781,787
2024-12-01,75601282.360602000000,463,324,770,773
2025-01-01,82837935.390095000000,523,383,887,894
2025-02-01,123533297.7909630000,533,366,1062,1076
2025-03-01,71176500.305477000000,704,516,1437,1447
2025-04-01,157783535.8039210000,909,676,2666,2679
2025-05-01,229009326.8721640000,1037,740,2730,2743
2025-06-01,133307719.4541240000,909,604,2252,2261
2025-07-01,184335531.7270970000,1657,1270,4013,4032
2025-08-01,185522066.0016000000,1766,1218,4299,4318
2025-09-01,195032498.2655470000,1698,1024,3985,4007
2025-10-01,254316656.6774430000,2022,1158,4861,4878
2025-11-01,169523499.2007030000,1741,938,3516,3541
2025-12-01,158180763.4209840000,1857,1082,4105,4170
2026-01-01,253356207.6178070000,2865,1861,6935,7114
2026-02-01,292598792.8468560000,3671,2301,8833,9126
2026-03-01,343332400.6744880000,3067,1617,9608,9983
2026-04-01,278993849.6143500000,2764,1375,6949,7193
2026-05-01,283096705.1888280000,2977,1837,7625,7806
2026-06-01,224723812.3714470000,3112,1426,8002,8245
