month,user_rank,address_id,address,outgoing_transfer_count,outgoing_transaction_count,raw_outgoing_volume,outgoing_volume
2022-05-01,1,216700061,493a9869e3b5f846f72267ab19b76e9bf99d51b1,3,3,25300000,25.3000000000000000
2022-05-01,2,137186470,895f07957b863f4ab6086035a6990d8366bc3266,1,1,200000,0.20000000000000000000
2022-06-01,1,179516035,55fe002aeff02f77364de339a1292923a15844b8,8,8,1315000000,1315.0000000000000000
2022-06-01,2,634648087,de0223237ae9776a0654fda6816cdac50edd72b5,1,1,1010000000,1010.0000000000000000
2022-06-01,3,805504827,1e70794397cf98e5ee453a52a983ce0be7061b8f,3,3,116626532,116.6265320000000000
2022-06-01,4,1230890315,48b516f12d44fd0f8ce6f634813f078514ee8b6a,1,1,100000000,100.0000000000000000
2022-06-01,5,1231023643,e25a4a19b2cf9b228350450d5482b48a72b93fd6,8,8,100000000,100.0000000000000000
2022-06-01,6,1213202641,61bdfe77ccede9a4cc900644b9e3e908b52345ad,1,1,36999646,36.9996460000000000
2022-06-01,7,882940793,f89d7b9c864f589bbf53a82105107622b35eaa40,1,1,10000000,10.0000000000000000
2022-06-01,8,531928237,babe61887f1de2713c6f97e567623453d3c79f67,1,1,10000000,10.0000000000000000
2022-06-01,9,137186470,895f07957b863f4ab6086035a6990d8366bc3266,1,1,1000000,1.00000000000000000000
2022-06-01,10,87541327,94f4d3a5791f71ffdd83ac5d0d7f16846b835bb0,1,1,1000000,1.00000000000000000000
2022-07-01,1,179516035,55fe002aeff02f77364de339a1292923a15844b8,8,8,503002520000,503002.520000000000
2022-07-01,2,1195525550,391473f3e818e4b81ab0d1c58b7f5e827b780a86,2,2,160008444883,160008.444883000000
2022-07-01,3,1261501307,b090e78709787025196d35584fe5695ac00e76aa,1,1,113336712275,113336.712275000000
2022-07-01,4,1246652898,d4278b2c55dfc366eb7c592a7ce1b85ee9abdb66,31,31,91747654328,91747.654328000000
2022-07-01,5,3245078,279d1194c9766fe2101de5a832c865936912302b,3,3,53747691933,53747.691933000000
2022-07-01,6,119893253,eec2d3701acaf2689c229fab93a80e42e83e2088,2,2,52753457572,52753.457572000000
2022-07-01,7,1256939758,ff77fc9d7996a7248e135726b4c2dfaf6c06a96c,11,11,51699516851,51699.516851000000
2022-07-01,8,1190596263,9ecf82bf1fe738fe5e41ab46f38e37781cbfb349,8,8,51457098620,51457.098620000000
2022-07-01,9,1035778035,11d67fa925877813b744abc0917900c2b1d6eb81,2,2,41997375962,41997.375962000000
2022-07-01,10,470358284,f5dcb2a47f738d8ba39f9fa2ddc7592f268a262a,1,1,40000010345,40000.010345000000
2022-07-01,11,5088157,1f427a6fcdb95a7393c58552093e10a932890fa8,5,5,36382300271,36382.300271000000
2022-07-01,12,735336987,ecab5ee7a56db4479ad34c3b1edcdaca19526209,4,4,31601840468,31601.840468000000
2022-07-01,13,57279884,05b0e0b39309bd0ffe8700cd91dee76ebb1394ee,10,10,27158441798,27158.441798000000
