month,size_bucket,transfer_count,bucket_volume
2022-05-01,0.1-1,3,0.40000000000000000000
2022-05-01,10-100,1,25.1000000000000000
2022-06-01,1-10,11,39.65550300000000000000
2022-06-01,10-100,10,350.9706750000000000
2022-06-01,100-1000,3,300.0000000000000000
2022-06-01,1000-10000,2,2010.0000000000000000
2022-07-01,0.1-1,4,1.80679200000000000000
2022-07-01,1-10,3,11.09991500000000000000
2022-07-01,10-100,16,726.4704690000000000
2022-07-01,100-1000,48,25082.7323160000000000
2022-07-01,1000-10000,109,380212.3239800000000000
2022-07-01,10000-100000,13,282408.4019700000000000
2022-07-01,100000-1000000,4,762845.157158000000
2022-08-01,0.1-1,2,1.26759800000000000000
2022-08-01,1-10,3,8.07173700000000000000
2022-08-01,10-100,12,564.4191200000000000
2022-08-01,100-1000,33,16974.4073660000000000
2022-08-01,1000-10000,172,886002.3592670000000000
2022-08-01,10000-100000,193,4477480.6040130000000000
2022-08-01,100000-1000000,8,2295641.458995000000
2022-09-01,0.1-1,2,1.48200000000000000000
2022-09-01,1-10,10,40.7101450000000000
2022-09-01,10-100,15,762.4321330000000000
2022-09-01,100-1000,32,13604.6147050000000000
2022-09-01,1000-10000,105,595405.6843960000000000
2022-09-01,10000-100000,334,8721100.9137960000000000
2022-09-01,100000-1000000,13,2810989.332725000000
2022-10-01,0.01-0.1,1,0.01000000000000000000
2022-10-01,0.1-1,1,0.99104000000000000000
2022-10-01,1-10,7,26.74640800000000000000
2022-10-01,10-100,145,6829.0234150000000000
2022-10-01,100-1000,146,41642.8057250000000000
2022-10-01,1000-10000,105,498056.1186600000000000
2022-10-01,10000-100000,368,12571685.8576030000000000
2022-10-01,100000-1000000,75,15448727.703562000000
2022-10-01,1000000-10000000,1,1000000.000000000000
2022-11-01,0.1-1,2,1.41148400000000000000
2022-11-01,1-10,7,31.24885300000000000000
2022-11-01,10-100,30,1374.4932950000000000
2022-11-01,100-1000,65,24908.5330540000000000
2022-11-01,1000-10000,120,485525.4930960000000000
2022-11-01,10000-100000,267,9672233.6238450000000000
2022-11-01,100000-1000000,57,9536024.661336000000
2022-12-01,0.1-1,2,0.58212500000000000000
2022-12-01,1-10,4,14.52614800000000000000
2022-12-01,10-100,29,1186.6440260000000000
2022-12-01,100-1000,53,19805.1001230000000000
2022-12-01,1000-10000,57,201150.7507420000000000
2022-12-01,10000-100000,91,2792612.0519570000000000
2022-12-01,100000-1000000,17,3561854.680977000000
2023-01-01,<0.01,1,0.00923400000000000000
2023-01-01,0.1-1,3,2.47827400000000000000
