month,newly_adopted_addresses
2022-05-01,2
2022-06-01,26
2022-07-01,168
2022-08-01,430
2022-09-01,180
2022-10-01,282
2022-11-01,202
2022-12-01,136
2023-01-01,111
2023-02-01,136
2023-03-01,391
2023-04-01,215
2023-05-01,148
2023-06-01,149
2023-07-01,179
2023-08-01,155
2023-09-01,185
2023-10-01,219
2023-11-01,200
2023-12-01,218
2024-01-01,226
2024-02-01,196
2024-03-01,241
2024-04-01,259
2024-05-01,259
2024-06-01,244
2024-07-01,269
2024-08-01,263
2024-09-01,270
2024-10-01,295
2024-11-01,413
2024-12-01,513
2025-01-01,536
2025-02-01,469
2025-03-01,623
2025-04-01,981
2025-05-01,781
2025-06-01,756
2025-07-01,1182
2025-08-01,1484
2025-09-01,1321
2025-10-01,1594
2025-11-01,1380
2025-12-01,1929
2026-01-01,3790
2026-02-01,4560
2026-03-01,2911
2026-04-01,2854
2026-05-01,2238
2026-06-01,2773
