month,user_rank,address_id,address,outgoing_transfer_count,outgoing_transaction_count,raw_outgoing_volume,outgoing_volume
2022-05-01,1,616820295,ddc96717cc9c14c5a3a9f9d5d765798779ec0dcb,1,1,25200000,25.2000000000000000
2022-06-01,1,810468425,26f539a0fe189a7f228d7982bf10bc294fa9070c,1,1,1010000000,1010.0000000000000000
2022-06-01,2,1231002896,95dbb3c7546f22bce375900abfdd64a4e5bd73d6,9,9,152198876,152.1988760000000000
2022-06-01,3,1230417398,6776f457da19e33584e5d5911ff89d8c89684867,1,1,100000000,100.0000000000000000
2022-06-01,4,1212920563,41684b361557e9282e0373ca51260d9331e518c9,1,1,58099656,58.0996560000000000
2022-06-01,5,812381039,9d0950c595786aba7c26dfddf270d66a8b18b4fa,2,2,57316104,57.3161040000000000
2022-06-01,6,893377318,396d0bea9cd284281b676383d6d2a6f57f976fd5,1,1,50000000,50.0000000000000000
2022-06-01,7,1231704080,d5959cbf93891cdd7bba1600814bd806fdf3631c,2,2,25000000,25.0000000000000000
2022-06-01,8,984640500,d8d925e07766cd8ace6b538e7f87706edd567f58,1,1,15000000,15.0000000000000000
2022-06-01,9,961174525,93a7f890ebaf5b41760487fc7b2042dc770a2d39,1,1,10000000,10.0000000000000000
2022-06-01,10,947268742,96cd3429c9a8eefa63cdd3bb9657c7a8eeeb490d,1,1,5000000,5.0000000000000000
2022-06-01,11,1231843184,97cd501bfc0cb0de9439c2d84197a02b6fc4fe95,1,1,5000000,5.0000000000000000
2022-07-01,1,747538651,f535493e491fb93fea44028553995b07497acf3f,2,2,500000000000,500000.000000000000
2022-07-01,2,812381039,9d0950c595786aba7c26dfddf270d66a8b18b4fa,40,40,154167057725,154167.057725000000
2022-07-01,3,1231002896,95dbb3c7546f22bce375900abfdd64a4e5bd73d6,122,122,123721871769,123721.871769000000
2022-07-01,4,1232959070,66310ec13f36caf5532c32b4359760592db835ab,12,12,52756473997,52756.473997000000
2022-07-01,5,616036061,74de5d4fcbf63e00296fd95d33236b9794016631,15,15,14373767470,14373.767470000000
2022-07-01,6,563469585,98a230bfcd27088bb250810692fdc5ad74b71f89,4,4,8481861958,8481.8619580000000000
2022-07-01,7,1225454328,ccbd4103c0a5f8772dc39c8b6de87b57d8e5308e,6,6,6582700606,6582.7006060000000000
2022-07-01,8,649695960,caae530cd0b828f0917a378249d8dcc9c47b7613,3,3,6006020000,6006.0200000000000000
2022-07-01,9,968003125,1111111254fb6c44bac0bed2854e76f90643097d,3,3,3289874843,3289.8748430000000000
2022-07-01,10,1248176827,8ec94fe6690209736c6cdf49855669700bfb47a9,1,1,3000120000,3000.1200000000000000
2022-07-01,11,840272948,e66b31678d6c16e9ebf358268a790b763c133750,4,4,1009394169,1009.3941690000000000
2022-07-01,12,1249416626,f6501281b769a3094688e8105f0498537d892833,1,1,593380000,593.3800000000000000
2022-07-01,13,893398926,def171fe48cf0115b1d80b88dc8eab59176fee57,4,4,414796294,414.7962940000000000
2022-07-01,14,832375455,64d65e3d70ba0f8812a9d1d7b8b5c51dab78cd15,39,39,326012365,326.0123650000000000
2022-07-01,15,753689906,ab69562f582fbb458828558df66f0d99bdcedaa7,1,1,123000000,123.0000000000000000
2022-07-01,16,734547546,121dd42384db6ad04851f7ac1e81bcd8bbb1876e,1,1,122991144,122.9911440000000000
2022-07-01,17,5916855,2bfe66759f0331066f3e7d57b3dc9a96bfc17927,1,1,111203288,111.2032880000000000
2022-07-01,18,1107980245,e1909b69159b0306c860e3dad0b19d71a7c2db1c,1,1,106366226,106.3662260000000000
