month,size_bucket,transfer_count,bucket_volume
2022-05-01,10-100,1,25.2000000000000000
2022-06-01,0.1-1,2,1.09979200000000000000
2022-06-01,1-10,8,34.25582100000000000000
2022-06-01,10-100,9,342.2590230000000000
2022-06-01,100-1000,1,100.0000000000000000
2022-06-01,1000-10000,1,1010.0000000000000000
2022-07-01,0.01-0.1,6,0.19265000000000000000
2022-07-01,0.1-1,13,4.95802200000000000000
2022-07-01,1-10,24,121.48635800000000000000
2022-07-01,10-100,47,1605.5669260000000000
2022-07-01,100-1000,109,34341.6787510000000000
2022-07-01,1000-10000,63,221195.3842500000000000
2022-07-01,10000-100000,7,118250.934227000000
2022-07-01,100000-1000000,2,500000.000000000000
2022-08-01,0.1-1,3,2.02207600000000000000
2022-08-01,1-10,17,72.7792740000000000
2022-08-01,10-100,34,1505.7884210000000000
2022-08-01,100-1000,319,66174.0536260000000000
2022-08-01,1000-10000,94,514078.3302350000000000
2022-08-01,10000-100000,78,2258590.8328200000000000
2022-08-01,100000-1000000,6,1485433.483535000000
2022-09-01,<0.01,1,0.00064500000000000000
2022-09-01,0.1-1,12,3.94558000000000000000
2022-09-01,1-10,11,34.44098400000000000000
2022-09-01,10-100,40,1677.1597420000000000
2022-09-01,100-1000,52,22702.0843540000000000
2022-09-01,1000-10000,151,676901.4850720000000000
2022-09-01,10000-100000,260,7391513.5478080000000000
2022-09-01,100000-1000000,12,2561784.147710000000
2022-10-01,<0.01,2,0.00112600000000000000
2022-10-01,0.1-1,16,6.37985100000000000000
2022-10-01,1-10,46,235.5408110000000000
2022-10-01,10-100,168,6912.7215190000000000
2022-10-01,100-1000,187,53923.5612950000000000
2022-10-01,1000-10000,176,955562.4655520000000000
2022-10-01,10000-100000,391,12985175.6121060000000000
2022-10-01,100000-1000000,77,14679139.779293000000
2022-11-01,0.01-0.1,1,0.05570700000000000000
2022-11-01,0.1-1,2,1.70248700000000000000
2022-11-01,1-10,25,137.5296020000000000
2022-11-01,10-100,40,2153.3033880000000000
2022-11-01,100-1000,78,34599.3241120000000000
2022-11-01,1000-10000,158,793982.9109900000000000
2022-11-01,10000-100000,245,8690958.2410490000000000
2022-11-01,100000-1000000,42,8989375.441652000000
2022-11-01,1000000-10000000,1,1001076.463719000000
2022-12-01,<0.01,1,0.00722800000000000000
2022-12-01,0.01-0.1,2,0.12891100000000000000
2022-12-01,0.1-1,5,3.65424800000000000000
2022-12-01,1-10,23,118.0310210000000000
2022-12-01,10-100,40,1867.5790650000000000
2022-12-01,100-1000,62,25542.7085910000000000
2022-12-01,1000-10000,88,371125.3558710000000000
2022-12-01,10000-100000,111,3793124.3975080000000000
2022-12-01,100000-1000000,16,4156701.817935000000
2023-01-01,<0.01,6,0.019617000000000000000000
2023-01-01,0.01-0.1,3,0.03243400000000000000
2023-01-01,0.1-1,6,4.17149900000000000000
2023-01-01,1-10,28,144.50190800000000000000
2023-01-01,10-100,28,1021.6652320000000000
2023-01-01,100-1000,74,34974.0963750000000000
2023-01-01,1000-10000,79,359617.6686960000000000
2023-01-01,10000-100000,113,3796869.932865000000
2023-01-01,100000-1000000,14,3051914.431791000000
2023-02-01,0.1-1,1,0.18723900000000000000
2023-02-01,1-10,9,44.0368540000000000
2023-02-01,10-100,30,1457.4185790000000000
2023-02-01,100-1000,45,19169.1731010000000000
2023-02-01,1000-10000,86,478166.9026570000000000
2023-02-01,10000-100000,89,2626311.8674360000000000
2023-02-01,100000-1000000,20,4538383.451436000000
2023-02-01,1000000-10000000,1,6000015.000000000000
2023-03-01,<0.01,1,0.00099700000000000000
2023-03-01,0.01-0.1,3,0.29910000000000000000
2023-03-01,0.1-1,10,8.61311100000000000000
2023-03-01,1-10,42,203.62352400000000000000
2023-03-01,10-100,75,3271.4414750000000000
2023-03-01,100-1000,107,51712.8025430000000000
2023-03-01,1000-10000,301,1538820.8969270000000000
2023-03-01,10000-100000,435,15460763.8879990000000000
2023-03-01,100000-1000000,110,25682989.486565000000
2023-03-01,1000000-10000000,1,2036344.808154000000
2023-04-01,<0.01,3,0.02296700000000000000
2023-04-01,0.01-0.1,2,0.05993600000000000000
2023-04-01,0.1-1,1,0.30689600000000000000
2023-04-01,1-10,43,235.8677600000000000
2023-04-01,10-100,64,2829.9827950000000000
2023-04-01,100-1000,85,38697.6822480000000000
2023-04-01,1000-10000,143,591945.4273070000000000
2023-04-01,10000-100000,235,7170931.7233440000000000
2023-04-01,100000-1000000,38,8323228.448559000000
2023-04-01,1000000-10000000,5,14864573.530000000000
2023-04-01,>=10000000,1,10000000.000000000000
2023-05-01,0.01-0.1,3,0.13695600000000000000
2023-05-01,0.1-1,3,1.86166600000000000000
2023-05-01,1-10,11,64.91172000000000000000
2023-05-01,10-100,41,1990.0509750000000000
2023-05-01,100-1000,69,30432.3236240000000000
2023-05-01,1000-10000,96,337397.5931620000000000
2023-05-01,10000-100000,151,5844190.5622810000000000
2023-05-01,100000-1000000,33,8946849.774499000000
2023-05-01,1000000-10000000,3,9009790.000000000000
2023-06-01,<0.01,1,0.00149800000000000000
2023-06-01,0.01-0.1,1,0.01332600000000000000
2023-06-01,0.1-1,5,1.37671600000000000000
2023-06-01,1-10,32,178.9744110000000000
2023-06-01,10-100,59,2479.8888750000000000
2023-06-01,100-1000,49,17848.2104900000000000
2023-06-01,1000-10000,64,311950.7196880000000000
2023-06-01,10000-100000,141,4985705.7413480000000000
2023-06-01,100000-1000000,23,5716821.862175000000
2023-06-01,1000000-10000000,3,3499995.000000000000
2023-07-01,<0.01,1,0.000067000000000000000000
2023-07-01,0.01-0.1,3,0.26585400000000000000
2023-07-01,0.1-1,6,3.31653000000000000000
2023-07-01,1-10,34,168.44160100000000000000
2023-07-01,10-100,42,1739.8084500000000000
2023-07-01,100-1000,56,22237.0395360000000000
2023-07-01,1000-10000,73,304099.4743090000000000
2023-07-01,10000-100000,169,6965375.3775510000000000
2023-07-01,100000-1000000,58,12181501.455585000000
2023-07-01,1000000-10000000,2,5296879.086419000000
2023-08-01,<0.01,3,0.01618000000000000000
2023-08-01,0.01-0.1,6,0.22443100000000000000
2023-08-01,0.1-1,6,4.44165300000000000000
2023-08-01,1-10,54,271.86074700000000000000
2023-08-01,10-100,49,2121.5954420000000000
2023-08-01,100-1000,67,29581.4922870000000000
2023-08-01,1000-10000,76,350246.6668910000000000
2023-08-01,10000-100000,173,6563169.7440910000000000
2023-08-01,100000-1000000,31,6251092.249485000000
2023-08-01,1000000-10000000,2,4960634.110000000000
2023-09-01,0.01-0.1,12,0.54375100000000000000
2023-09-01,0.1-1,11,3.39863900000000000000
2023-09-01,1-10,38,189.74555600000000000000
2023-09-01,10-100,72,3006.9039770000000000
2023-09-01,100-1000,57,21983.8465240000000000
2023-09-01,1000-10000,84,325219.5224970000000000
2023-09-01,10000-100000,133,4466851.5200810000000000
2023-09-01,100000-1000000,19,4244655.827516000000
2023-10-01,<0.01,2,0.00636200000000000000
2023-10-01,0.01-0.1,5,0.23915900000000000000
2023-10-01,0.1-1,14,5.95470900000000000000
2023-10-01,1-10,48,174.58482100000000000000
2023-10-01,10-100,85,3160.6977290000000000
2023-10-01,100-1000,58,31439.5820410000000000
