month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2022-06-01,1030.7721160000000000,14,14,15,19
2022-07-01,554707.197157000000,33,25,216,281
2022-08-01,14195406.815219000000,65,44,645,909
2022-09-01,42370011.095648000000,84,45,1296,1948
2022-10-01,67502945.586087000000,90,31,1335,1850
2022-11-01,50160508.937366000000,80,26,1017,1562
2022-12-01,14957177.237632000000,70,26,380,540
2023-01-01,16799280.158432000000,64,21,416,639
2023-02-01,17224070.274929000000,76,30,444,723
2023-03-01,71537008.580023000000,429,352,2275,3336
2023-04-01,21522222.753982000000,190,93,634,889
2023-05-01,20810416.550418000000,131,50,424,594
2023-06-01,22010191.259746000000,133,54,480,712
2023-07-01,16987228.267490000000,107,35,438,654
2023-08-01,37185557.468841000000,124,44,568,813
2023-09-01,7997500.322660000000,126,49,459,616
2023-10-01,26126663.351045000000,110,32,680,1082
2023-11-01,24245583.815705000000,122,35,559,931
2023-12-01,28725007.196747000000,105,28,857,1727
2024-01-01,22585094.021994000000,104,22,739,1344
2024-02-01,11737305.057626000000,92,24,537,857
2024-03-01,19163648.313183000000,96,19,602,1060
2024-04-01,21147813.647812000000,106,24,482,725
2024-05-01,12421153.502413000000,120,39,881,1197
2024-06-01,14144427.627803000000,129,49,711,1003
2024-07-01,24760531.481203000000,119,23,1071,1585
2024-08-01,22495725.613892000000,121,35,1155,1788
2024-09-01,46214300.414665000000,129,31,959,1565
2024-10-01,58351566.951729000000,147,68,895,1403
2024-11-01,75844229.812465000000,156,56,1122,1767
2024-12-01,91714525.167186000000,160,57,1137,1763
2025-01-01,85856676.303643000000,199,69,1664,2565
2025-02-01,75256073.830534000000,201,57,2033,3223
2025-03-01,124357097.5281460000,309,124,4253,7536
2025-04-01,221384921.2851970000,392,189,7417,12931
2025-05-01,147208905.4912490000,418,172,5080,8347
2025-06-01,113975760.1799420000,386,136,4583,7747
2025-07-01,231635894.6144990000,561,280,7612,13808
2025-08-01,276335989.3441170000,819,463,10892,20457
2025-09-01,290153153.5267130000,920,453,10020,19128
2025-10-01,425612275.3158920000,906,394,12577,24574
2025-11-01,375514808.6723900000,932,379,10330,20252
2025-12-01,1140724988.0462960000,1171,610,13248,28036
2026-01-01,701095189.3470740000,1880,1202,18565,37717
2026-02-01,731543318.3761790000,1820,1021,21375,44348
2026-03-01,631339581.5050890000,1742,858,23314,46929
2026-04-01,547964392.4935170000,2315,1350,15827,31944
2026-05-01,260449214.2669970000,2918,1944,15905,26881
2026-06-01,304746952.6528100000,3394,1810,21851,40205
