month,newly_adopted_addresses
2020-12-01,1473
2021-01-01,1584
2021-02-01,369
2021-03-01,325
2021-04-01,400
2021-05-01,306
2021-06-01,407
2021-07-01,613
2021-08-01,576
2021-09-01,505
2021-10-01,1350
2021-11-01,8741
2021-12-01,1595
2022-01-01,1709
2022-02-01,1002
2022-03-01,742
2022-04-01,1191
2022-05-01,930
2022-06-01,712
2022-07-01,701
2022-08-01,913
2022-09-01,941
2022-10-01,1035
2022-11-01,935
2022-12-01,636
2023-01-01,771
2023-02-01,599
2023-03-01,638
2023-04-01,385
2023-05-01,245
2023-06-01,420
2023-07-01,448
2023-08-01,444
2023-09-01,383
2023-10-01,572
2023-11-01,376
2023-12-01,367
2024-01-01,416
2024-02-01,658
2024-03-01,346
2024-04-01,520
2024-05-01,350
2024-06-01,293
2024-07-01,290
2024-08-01,477
2024-09-01,269
2024-10-01,177
2024-11-01,219
2024-12-01,260
2025-01-01,343
2025-02-01,273
2025-03-01,487
2025-04-01,297
2025-05-01,236
2025-06-01,160
2025-07-01,204
2025-08-01,208
2025-09-01,184
2025-10-01,185
2025-11-01,164
2025-12-01,249
2026-01-01,344
2026-02-01,233
2026-03-01,238
2026-04-01,162
2026-05-01,251
2026-06-01,200
