month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2020-12-01,1068,1067,630,72655767709596147855917544,72655767.709596147856,224,224,133,15067048925100214218767152,15067048.925100214219,57588718.784495933637,57588718.784495933637
2021-01-01,644,644,139,94180523393693327666577186,94180523.393693327667,408,408,82,66794913594342109511591023,66794913.594342109512,27385609.799351218155,84974328.583847151792
2021-02-01,141,141,23,68692708786267072441945254,68692708.786267072442,96,96,16,72001752899679369315552676,72001752.899679369316,-3309044.113412296874,81665284.470434854918
2021-03-01,232,232,38,71641066791652773177516551,71641066.791652773178,71,71,20,40642655388157767583527481,40642655.388157767584,30998411.403495005594,112663695.873929860512
2021-04-01,81,81,17,28750991504114405492319535,28750991.504114405492,30,30,10,21728084341792547181269738,21728084.341792547181,7022907.162321858311,119686603.036251718823
2021-05-01,116,116,15,109230417831445267816539388,109230417.83144527,90,90,12,112170200491819458147803809,112170200.49181946,-2939782.66037419,116746820.375877528823
2021-06-01,130,130,17,110100336426498742847046474,110100336.42649874,21,21,7,46477744751256961233578170,46477744.751256961234,63622591.675241778766,180369412.051119307589
2021-07-01,82,82,18,95734597422901563000754970,95734597.422901563001,13,13,9,16622210352582479301821906,16622210.352582479302,79112387.070319083699,259481799.121438391288
2021-08-01,74,74,14,111168045783210574760930947,111168045.78321057,28,28,9,58806683876927851580530358,58806683.876927851581,52361361.906282718419,311843161.027721109707
2021-09-01,38,38,12,62375452927582384633614562,62375452.927582384634,7,7,3,24532264210340000000000000,24532264.210340000000,37843188.717242384634,349686349.744963494341
2021-10-01,34,34,14,261638333162917888725650348,261638333.16291789,1,1,1,5000000000000000000000000,5000000.000000000000,256638333.162917890000,606324682.907881384341
2021-11-01,37,37,12,632134142946368000000000000,632134142.94636800,3,3,2,9384143946368000000000000,9384143.946368000000,622749999.000000000000,1229074681.907881384341
2021-12-01,24,24,8,571500000000000000000000000,571500000.00000000,0,0,0,0,0E-36,571500000.000000000000000000000000000000000000,1800574681.907881384341000000000000000000000000
2022-01-01,33,33,13,939160397622771974122467374,939160397.62277197,1,1,1,100692921524145724337660762,100692921.524145724338,838467476.098626245662,2639042158.006507630003000000000000000000000000
2022-02-01,5,5,4,214200000000000000000000000,214200000.00000000,0,0,0,0,0E-36,214200000.000000000000000000000000000000000000,2853242158.006507630003000000000000000000000000
2022-03-01,3,3,2,65000000000000000000000000,65000000.000000000000,9,9,6,228146560166391155168340345,228146560.16639116,-163146560.166391160000,2690095597.840116470003000000000000000000000000
2022-04-01,3,3,2,108000000000000000000000000,108000000.00000000,1,1,1,101000000000000000000000000,101000000.00000000,7000000.00000000,2697095597.840116470003000000000000000000000000
2022-05-01,8,8,3,50000000000000000000000000,50000000.000000000000,35,35,11,1320902975810413597781724023,1320902975.81041360,-1270902975.810413600000,1426192622.029702870003000000000000000000000000
2022-06-01,7,7,3,91200000000000000000000000,91200000.000000000000,12,12,5,150805183371376874611820383,150805183.37137687,-59605183.371376870000,1366587438.658326000003000000000000000000000000
2022-07-01,6,6,1,132000000000000000000000000,132000000.00000000,2,2,2,32528511954111020444217661,32528511.954111020444,99471488.045888979556,1466058926.704214979559000000000000000000000000
2022-08-01,4,4,2,80000000000000000000000000,80000000.000000000000,10,4,10,47287895336813113451857513,47287895.336813113452,32712104.663186886548,1498771031.367401866107000000000000000000000000
2022-09-01,1,1,1,100000000000000000000000,100000.000000000000,16,13,9,142805377996099177821454809,142805377.99609918,-142705377.996099180000,1356065653.371302686107000000000000000000000000
2022-10-01,8,8,1,13500000000000000000000000,13500000.000000000000,6,5,4,152743790247515946997208964,152743790.24751595,-139243790.247515950000,1216821863.123786736107000000000000000000000000
2022-11-01,3,3,1,37400000000000000000000000,37400000.000000000000,18,17,5,235994729865002597345182976,235994729.86500260,-198594729.865002600000,1018227133.258784136107000000000000000000000000
2022-12-01,1,1,1,5000000000000000000000000,5000000.000000000000,3,3,2,4834000000000000000000000,4834000.000000000000,166000.000000000000,1018393133.258784136107000000000000000000000000
2023-01-01,1,1,1,5000000000000000000000000,5000000.000000000000,0,0,0,0,0E-36,5000000.000000000000000000000000000000000000,1023393133.258784136107000000000000000000000000
2023-02-01,5,4,2,16500000000000000000000000,16500000.000000000000,1,1,1,40000000000000000000000,40000.000000000000,16460000.000000000000,1039853133.258784136107000000000000000000000000
2023-03-01,2,2,1,15000000000000000000000000,15000000.000000000000,1,1,1,10000000000000000000000000,10000000.000000000000,5000000.000000000000,1044853133.258784136107000000000000000000000000
2023-04-01,2,2,1,20000000000000000000000000,20000000.000000000000,7,6,5,60711723850000000000000000,60711723.850000000000,-40711723.850000000000,1004141409.408784136107000000000000000000000000
2023-05-01,1,1,1,10000000000000000000000000,10000000.000000000000,1,1,1,10000000000000000000000000,10000000.000000000000,0E-12,1004141409.408784136107000000000000000000000000
2023-06-01,1,1,1,10000000000000000000000000,10000000.000000000000,1,1,1,10000000000000000000000000,10000000.000000000000,0E-12,1004141409.408784136107000000000000000000000000
2023-07-01,0,0,0,0,0E-36,3,3,1,191500000000000000000000000,191500000.00000000,-191500000.000000000000000000000000000000000000,812641409.408784136107000000000000000000000000
2023-08-01,0,0,0,0,0E-36,4,4,4,5917628849343493570784291,5917628.849343493571,-5917628.849343493571000000000000000000000000,806723780.559440642536000000000000000000000000
2023-09-01,0,0,0,0,0E-36,2,2,1,135000000000000000000000000,135000000.00000000,-135000000.000000000000000000000000000000000000,671723780.559440642536000000000000000000000000
2023-11-01,0,0,0,0,0E-36,5,5,1,2068045048929671908850529,2068045.048929671909,-2068045.048929671909000000000000000000000000,669655735.510510970627000000000000000000000000
2023-12-01,0,0,0,0,0E-36,3,2,2,20193500000000000000000000,20193500.000000000000,-20193500.000000000000000000000000000000000000,649462235.510510970627000000000000000000000000
2024-04-01,2,2,1,10000000000000000000000000,10000000.000000000000,3,3,3,10027964991368869482167791,10027964.991368869482,-27964.991368869482,649434270.519142101145000000000000000000000000
2024-05-01,2,2,1,8000000000000000000000000,8000000.000000000000,2,2,1,8000000000000000000000000,8000000.000000000000,0E-12,649434270.519142101145000000000000000000000000
2024-06-01,1,1,1,2500000000000000000000000,2500000.000000000000,1,1,1,2500000000000000000000000,2500000.000000000000,0E-12,649434270.519142101145000000000000000000000000
2024-10-01,0,0,0,0,0E-36,1,1,1,832353208189409040641,832.3532081894090406,-832.353208189409040600000000000000000000,649433438.165933911735959400000000000000000000
2025-02-01,0,0,0,0,0E-36,11,11,3,152297129573108983721528617,152297129.57310898,-152297129.573108980000000000000000000000000000,497136308.592824931735959400000000000000000000
2025-03-01,0,0,0,0,0E-36,15,14,5,148479712111503759103693928,148479712.11150376,-148479712.111503760000000000000000000000000000,348656596.481321171735959400000000000000000000
2025-04-01,0,0,0,0,0E-36,16,15,9,28820118862908543030116600,28820118.862908543030,-28820118.862908543030000000000000000000000000,319836477.618412628705959400000000000000000000
2025-05-01,0,0,0,0,0E-36,6,6,2,4895384593120020000000000,4895384.593120020000,-4895384.593120020000000000000000000000000000,314941093.025292608705959400000000000000000000
2025-06-01,0,0,0,0,0E-36,2,2,2,540000000000000000000000,540000.000000000000,-540000.000000000000000000000000000000000000,314401093.025292608705959400000000000000000000
2025-07-01,0,0,0,0,0E-36,3,2,2,15760455037459808905458181,15760455.037459808905,-15760455.037459808905000000000000000000000000,298640637.987832799800959400000000000000000000
2025-08-01,0,0,0,0,0E-36,6,6,1,1706004810631929195125040,1706004.810631929195,-1706004.810631929195000000000000000000000000,296934633.177200870605959400000000000000000000
2025-09-01,0,0,0,0,0E-36,6,6,2,470456356839300000000000,470456.356839300000,-470456.356839300000000000000000000000000000,296464176.820361570605959400000000000000000000
2025-10-01,0,0,0,0,0E-36,5,4,3,4407412875855580657413435,4407412.875855580657,-4407412.875855580657000000000000000000000000,292056763.944505989948959400000000000000000000
2025-11-01,0,0,0,0,0E-36,7,7,4,8574051702588554165297213,8574051.702588554165,-8574051.702588554165000000000000000000000000,283482712.241917435783959400000000000000000000
2025-12-01,0,0,0,0,0E-36,3,3,3,3219175178452932249774656,3219175.178452932250,-3219175.178452932250000000000000000000000000,280263537.063464503533959400000000000000000000
2026-01-01,0,0,0,0,0E-36,4,3,4,4108386570528305447158057,4108386.570528305447,-4108386.570528305447000000000000000000000000,276155150.492936198086959400000000000000000000
2026-02-01,0,0,0,0,0E-36,3,3,3,170966482668542179362975,170966.482668542179,-170966.482668542179000000000000000000000000,275984184.010267655907959400000000000000000000
2026-03-01,0,0,0,0,0E-36,1,1,1,49000000000000000000000,49000.000000000000,-49000.000000000000000000000000000000000000,275935184.010267655907959400000000000000000000
2026-05-01,0,0,0,0,0E-36,1,1,1,87500000000000000000000,87500.000000000000,-87500.000000000000000000000000000000000000,275847684.010267655907959400000000000000000000
2026-06-01,0,0,0,0,0E-36,3,3,2,36277638137667292183260975,36277638.137667292183,-36277638.137667292183000000000000000000000000,239570045.872600363724959400000000000000000000
