month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2020-12-01,248466990.39251668,1473,1473,9683,11288
2021-01-01,901226867.43169018,2239,1584,19716,23816
2021-02-01,367386750.69931949,866,369,7946,9531
2021-03-01,370596286.63415958,759,325,6984,8141
2021-04-01,266295137.13710041,819,400,5322,6263
2021-05-01,594304660.68084415,738,306,7806,10038
2021-06-01,427505044.98070125,796,407,8424,11306
2021-07-01,569560560.63223953,1133,613,11560,14949
2021-08-01,811649261.07510599,1222,576,11007,13287
2021-09-01,566021704.87002950,1120,505,8587,10585
2021-10-01,1220554879.58919051,2183,1350,13837,16690
2021-11-01,2615006561.63851301,10358,8741,38412,44881
2021-12-01,3111855726.93629676,4438,1595,21998,27806
2022-01-01,6033214220.75931269,5170,1709,26009,31973
2022-02-01,2641151235.72005463,3241,1002,16271,19861
2022-03-01,2587247546.86467492,3046,742,17173,21329
2022-04-01,3409900915.89183423,3361,1191,30837,41099
2022-05-01,6088230104.69149537,3187,930,29481,38024
2022-06-01,2852181921.54641186,2525,712,18278,23709
2022-07-01,1679802827.53488176,2361,701,17254,22802
2022-08-01,1755479560.94296041,2656,913,19061,25386
2022-09-01,1632359215.00009128,2706,941,21080,30573
2022-10-01,1384088680.83906898,2736,1035,16337,23661
2022-11-01,2439860010.96537604,2711,935,20320,31238
2022-12-01,732135686.71209965,1910,636,12657,19167
2023-01-01,1171180997.56158286,2248,771,22879,37566
2023-02-01,1229797943.67633420,1937,599,25464,40110
2023-03-01,2410423769.45345206,2206,638,20550,32814
2023-04-01,812782948.75262480,1508,385,12441,19145
2023-05-01,513368244.63440220,1101,245,6849,10279
2023-06-01,1261666091.30073725,1476,420,10760,16754
2023-07-01,1434440688.44585039,1496,448,9944,14943
2023-08-01,1273039923.20890268,1597,444,11580,17823
2023-09-01,453588186.34411305,1358,383,8079,12964
2023-10-01,1068897093.80474582,1760,572,10653,16723
2023-11-01,621432194.94989402,1503,376,10761,15969
2023-12-01,673798405.40134768,1494,367,9142,13693
2024-01-01,997289229.85406069,1607,416,11704,17227
2024-02-01,608681627.96509926,1694,658,9709,15257
2024-03-01,987256653.37454325,1406,346,11140,17960
2024-04-01,1778210687.48398585,1602,520,12954,22756
2024-05-01,889760589.84469186,1353,350,10054,17300
2024-06-01,2065022230.32267599,1186,293,9243,16520
2024-07-01,801183957.00509152,1250,290,12320,22837
2024-08-01,816192627.30258192,1538,477,17612,33088
2024-09-01,457132522.85516413,1108,269,8973,15711
2024-10-01,476472321.59660716,947,177,6641,10547
2024-11-01,1005013304.70649758,1067,219,9465,15643
2024-12-01,908229140.73828981,1115,260,13105,21950
2025-01-01,843209277.83984507,1142,343,9938,16797
2025-02-01,775696482.66832309,1105,273,15103,28251
2025-03-01,695264943.36782542,1366,487,18862,37156
2025-04-01,400473243.00025695,1112,297,15943,29855
2025-05-01,415571223.79502820,1062,236,12657,22614
2025-06-01,226685959.42535854,726,160,7944,14384
2025-07-01,440887257.85303799,845,204,12822,22663
2025-08-01,340253224.33682646,812,208,12321,23359
2025-09-01,185682520.64527250,751,184,11738,22179
2025-10-01,396491959.85036422,760,185,16865,34502
2025-11-01,254170854.51785264,700,164,17681,36587
2025-12-01,125927922.77552689,793,249,14821,32503
2026-01-01,288164047.60574178,897,344,29281,63913
2026-02-01,452979042.86024116,794,233,23933,54511
2026-03-01,198869311.82233861,769,238,16929,37260
2026-04-01,85124663.600042724808,654,162,11148,23778
2026-05-01,63184135.553496491627,718,251,7555,15749
2026-06-01,132050234.65542874,725,200,15109,30634
