month,size_bucket,transfer_count,bucket_volume
2020-12-01,<0.01,18,0.016722539935232773000000000000000000
2020-12-01,0.01-0.1,13,0.74039376039435227300
2020-12-01,0.1-1,32,14.35513345261285385800
2020-12-01,1-10,63,259.91334622392573700000
2020-12-01,10-100,759,39153.4813557392399949
2020-12-01,100-1000,1950,946196.5517732040587366
2020-12-01,1000-10000,4528,19898916.5546838843494384
2020-12-01,10000-100000,3502,109918416.2632339639260451
2020-12-01,100000-1000000,398,85315910.427596375891
2020-12-01,1000000-10000000,16,32348122.088277531522
2021-01-01,<0.01,91,0.030693115969509367000000000000000000
2021-01-01,0.01-0.1,24,1.13841643089873137500
2021-01-01,0.1-1,48,24.75423608109744401600
2021-01-01,1-10,90,352.75384603287407639400
2021-01-01,10-100,478,29404.1627057961415250
2021-01-01,100-1000,1721,865917.7622322134496609
2021-01-01,1000-10000,6468,32045905.3493170067523608
2021-01-01,10000-100000,13199,440346140.1517227016041974
2021-01-01,100000-1000000,1549,318740438.971839572343
2021-01-01,1000000-10000000,63,109198682.356681228026
2021-02-01,<0.01,8,0.001584059615184554000000000000000000
2021-02-01,0.01-0.1,8,0.28027481291664245800
2021-02-01,0.1-1,6,2.71063053986027904000
2021-02-01,1-10,22,83.57850885353122753300
2021-02-01,10-100,75,4451.7245729987845972
2021-02-01,100-1000,349,173392.5855777870224123
2021-02-01,1000-10000,2527,14647067.3997434701262745
2021-02-01,10000-100000,5803,204274740.3823074011513902
2021-02-01,100000-1000000,651,127117661.404148656816
2021-02-01,1000000-10000000,13,21169350.631970914738
2021-03-01,<0.01,14,0.033425358908928020000000000000000000
2021-03-01,0.01-0.1,8,0.39569071247924221200
2021-03-01,0.1-1,15,11.18234608455558370100
2021-03-01,1-10,23,98.76492726681106910000
2021-03-01,10-100,51,3141.7005814573070564
2021-03-01,100-1000,338,163843.3599322226628707
2021-03-01,1000-10000,1799,10190752.8418493971911527
2021-03-01,10000-100000,5162,189216057.9563472411521053
2021-03-01,100000-1000000,696,138131164.687933439398
2021-03-01,1000000-10000000,17,32891215.711126401635
2021-04-01,<0.01,6,0.011217726759892126000000000000000000
2021-04-01,0.01-0.1,6,0.22827335308880269000
2021-04-01,0.1-1,157,24.10142979436130007600
2021-04-01,1-10,23,132.86293447769811660000
2021-04-01,10-100,59,2797.0970746074413384
2021-04-01,100-1000,250,116313.8784159993573741
2021-04-01,1000-10000,1536,7923630.8835934188807098
2021-04-01,10000-100000,3716,144715259.6976958493518496
2021-04-01,100000-1000000,496,97612909.750232063164
2021-04-01,1000000-10000000,11,15924068.626233120302
2021-05-01,<0.01,7,0.012568184509584372000000000000000000
2021-05-01,0.01-0.1,4,0.13400306336400646700
2021-05-01,0.1-1,7,5.49697506546609772200
2021-05-01,1-10,24,92.66538366894820960800
2021-05-01,10-100,77,3607.2202463497316066
2021-05-01,100-1000,352,185351.2969961225255113
2021-05-01,1000-10000,1689,7971292.1663835173891557
2021-05-01,10000-100000,6995,273891325.1930258556364203
2021-05-01,100000-1000000,840,180655909.699652420608
2021-05-01,1000000-10000000,37,101527991.585028678057
2021-05-01,>=10000000,2,30069085.210581223440
2021-06-01,<0.01,12,0.02496028470395598100000000000000
2021-06-01,0.01-0.1,10,0.31284000610285541200
2021-06-01,0.1-1,26,13.56518478550177075300
2021-06-01,1-10,171,549.35773181299211017000
2021-06-01,10-100,229,11753.9088899101936570
2021-06-01,100-1000,1153,562181.8526558417708673
2021-06-01,1000-10000,3272,14391332.7765850543298234
2021-06-01,10000-100000,5797,156590970.5066081696675584
2021-06-01,100000-1000000,587,119732528.250779448661
2021-06-01,1000000-10000000,26,104033350.249096108776
2021-06-01,>=10000000,3,32182364.175369823632
2021-07-01,<0.01,66,0.083570328105198954000000000000000000
2021-07-01,0.01-0.1,28,1.18760178272490640300
2021-07-01,0.1-1,45,20.83569941433929188800
2021-07-01,1-10,144,622.28423846802985200400
2021-07-01,10-100,332,16197.6123424230788687
2021-07-01,100-1000,1454,709013.4871444395699361
2021-07-01,1000-10000,4537,20178149.1258577879914724
2021-07-01,10000-100000,7353,210857404.4288906220294869
2021-07-01,100000-1000000,900,203867141.680554348863
2021-07-01,1000000-10000000,52,109932009.906339916781
2021-07-01,>=10000000,2,24000000.000000000000
2021-08-01,<0.01,33,0.073430634324847294000000000000000000
2021-08-01,0.01-0.1,23,0.81173181845264529600
2021-08-01,0.1-1,48,30.53369497644486932100
2021-08-01,1-10,215,996.79799324665909035200
2021-08-01,10-100,435,17578.8268846862197151
2021-08-01,100-1000,899,433372.8923810242774089
2021-08-01,1000-10000,4524,20061393.7773506455920482
2021-08-01,10000-100000,6003,182574795.1420400484807541
2021-08-01,100000-1000000,969,261170221.894772792294
2021-08-01,1000000-10000000,90,190840261.560161912293
2021-08-01,>=10000000,10,156550608.764664208441
2021-09-01,<0.01,8,0.00837953415996195500000000000000
2021-09-01,0.01-0.1,3,0.13737102102989840300
2021-09-01,0.1-1,46,25.29766304988804790200
2021-09-01,1-10,220,995.75200185909704870000
2021-09-01,10-100,405,14478.2830063181091116
2021-09-01,100-1000,514,246540.5876494332660135
2021-09-01,1000-10000,3090,15077520.9614172734364413
2021-09-01,10000-100000,5064,158225474.0359541601925339
2021-09-01,100000-1000000,1158,297773098.504416040873
2021-09-01,1000000-10000000,49,84683571.302170810090
2021-09-01,>=10000000,1,10000000.000000000000
2021-10-01,<0.01,16,0.037093727078376954000000000000000000
2021-10-01,0.01-0.1,10,0.50242220642160001700
2021-10-01,0.1-1,35,20.59707073074354706500
2021-10-01,1-10,207,976.78929225044392916000
2021-10-01,10-100,432,16615.0112122979288203
2021-10-01,100-1000,838,403190.0540625598305670
2021-10-01,1000-10000,4608,21372702.0607827096992347
2021-10-01,10000-100000,8465,316916701.9620928286711567
2021-10-01,100000-1000000,1941,491864531.352888157513
2021-10-01,1000000-10000000,110,229980141.222273045852
2021-10-01,>=10000000,12,160000000.000000000000
2021-11-01,<0.01,68,0.099392665100622327000000000000000000
2021-11-01,0.01-0.1,93,4.73482931091925343300
2021-11-01,0.1-1,160,72.74132349364318076300
2021-11-01,1-10,348,1533.70652575975378249900
2021-11-01,10-100,731,31380.1721831845436943
2021-11-01,100-1000,3265,1813636.6333247576472972
2021-11-01,1000-10000,16280,74590879.5274189453158956
2021-11-01,10000-100000,20187,627986277.7775703932115720
2021-11-01,100000-1000000,3484,920850976.166685607298
2021-11-01,1000000-10000000,217,439731550.079258897276
2021-11-01,>=10000000,25,550000250.000000000000
2021-12-01,<0.01,23,0.06071741952125792900000000000000
2021-12-01,0.01-0.1,56,1.39058002953809162700
2021-12-01,0.1-1,110,58.92851814057414283200
2021-12-01,1-10,371,1613.52923946380153362400
2021-12-01,10-100,953,41755.4888958154588775
2021-12-01,100-1000,2393,1170951.1602665589289760
2021-12-01,1000-10000,7372,33246655.2490205224368798
2021-12-01,10000-100000,12390,452885932.6054137481076683
2021-12-01,100000-1000000,3765,951643439.857647934883
2021-12-01,1000000-10000000,342,700142288.854262148384
2021-12-01,>=10000000,22,972723029.811734981634
2022-01-01,<0.01,64,0.114319942279318830000000000000000000
2022-01-01,0.01-0.1,38,1.44938945798962324900
2022-01-01,0.1-1,63,31.34455756944230578300
2022-01-01,1-10,225,1065.03052604287211994400
2022-01-01,10-100,598,26958.6153903067647366
2022-01-01,100-1000,1876,968798.0619894587637691
2022-01-01,1000-10000,8415,37354176.8826337459886371
2022-01-01,10000-100000,15070,566643076.4037430815122275
2022-01-01,100000-1000000,4819,1305557168.120850924398
2022-01-01,1000000-10000000,721,1766100340.791960541256
2022-01-01,>=10000000,78,2356562603.943951615354
2022-02-01,<0.01,39,0.0898847814923716300000000000
2022-02-01,0.01-0.1,30,1.30437446914833261400
2022-02-01,0.1-1,65,33.79066749881459858900
2022-02-01,1-10,320,1576.93216898402482070000
2022-02-01,10-100,710,29676.0738563338760706
2022-02-01,100-1000,1566,753758.4222887421984763
2022-02-01,1000-10000,4852,20750428.9916616195424046
2022-02-01,10000-100000,9278,308043100.9551309419547387
2022-02-01,100000-1000000,2500,724508492.530362683235
2022-02-01,1000000-10000000,482,1295263161.968973727683
2022-02-01,>=10000000,15,291801004.660684850043
2022-03-01,<0.01,48,0.08835895972136724800000000000000
2022-03-01,0.01-0.1,32,1.40884996220740736500
2022-03-01,0.1-1,85,45.52489327403642846900
2022-03-01,1-10,398,1805.19175510654221912200
2022-03-01,10-100,727,29727.6551188048286165
2022-03-01,100-1000,1625,800495.1220280586244211
2022-03-01,1000-10000,5900,27874391.5573535971516164
2022-03-01,10000-100000,10160,318745401.5116277117350971
2022-03-01,100000-1000000,2001,553363130.330360010926
2022-03-01,1000000-10000000,318,796624808.943790429064
2022-03-01,>=10000000,33,889807739.530539002174
2022-04-01,<0.01,112,0.154319243824247104000000000000000000
2022-04-01,0.01-0.1,47,1.94869085990683014300
2022-04-01,0.1-1,122,66.50793180561714454300
2022-04-01,1-10,435,1897.06997801458573467300
2022-04-01,10-100,884,38624.1886169755964811
2022-04-01,100-1000,2318,1177376.4270497452461861
2022-04-01,1000-10000,10105,50856958.8063612179337727
2022-04-01,10000-100000,21872,762484264.5994157206120881
2022-04-01,100000-1000000,4821,1184921035.328560131804
2022-04-01,1000000-10000000,355,866397458.978130827852
2022-04-01,>=10000000,16,544023231.882779685133
2022-05-01,<0.01,61,0.062352489823563703000000000000000000
2022-05-01,0.01-0.1,32,1.14977812814514213700
2022-05-01,0.1-1,98,51.59948106505393012400
2022-05-01,1-10,280,1290.92635788740231550400
2022-05-01,10-100,806,36432.7635236637579921
2022-05-01,100-1000,2574,1279604.1996323024733633
2022-05-01,1000-10000,10981,50925994.8322630254226387
2022-05-01,10000-100000,17796,577828852.4408047272895361
2022-05-01,100000-1000000,4603,1248339617.612148038928
2022-05-01,1000000-10000000,702,1879739461.335093449056
2022-05-01,>=10000000,84,2330078797.770060595343
2022-06-01,<0.01,44,0.06809006414093759900000000000000
2022-06-01,0.01-0.1,27,1.26210500804105065600
2022-06-01,0.1-1,63,28.01703871972922323000
2022-06-01,1-10,187,849.94430560984308095900
2022-06-01,10-100,630,29346.0418180580774960
