month,newly_adopted_addresses
2020-12-01,144
2021-01-01,772
2021-02-01,76
2021-03-01,62
2021-04-01,111
2021-05-01,188
2021-06-01,61
2021-07-01,88
2021-08-01,122
2021-09-01,115
2021-10-01,380
2021-11-01,2856
2021-12-01,555
2022-01-01,823
2022-02-01,499
2022-03-01,329
2022-04-01,320
2022-05-01,306
2022-06-01,206
2022-07-01,218
2022-08-01,272
2022-09-01,173
2022-10-01,148
2022-11-01,202
2022-12-01,136
2023-01-01,223
2023-02-01,144
2023-03-01,151
2023-04-01,104
2023-05-01,70
2023-06-01,102
2023-07-01,114
2023-08-01,113
2023-09-01,97
2023-10-01,106
2023-11-01,119
2023-12-01,122
2024-01-01,91
2024-02-01,99
2024-03-01,88
2024-04-01,90
2024-05-01,95
2024-06-01,85
2024-07-01,61
2024-08-01,81
2024-09-01,42
2024-10-01,52
2024-11-01,61
2024-12-01,55
2025-01-01,58
2025-02-01,58
2025-03-01,50
2025-04-01,38
2025-05-01,53
2025-06-01,25
2025-07-01,39
2025-08-01,37
2025-09-01,41
2025-10-01,20
2025-11-01,23
2025-12-01,31
2026-01-01,46
2026-02-01,29
2026-03-01,18
2026-04-01,18
2026-05-01,63
2026-06-01,17
