month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2020-12-01,3654,3645,126529120943470924426704777,126529120.94347092,1237,24,1261
2021-01-01,6749,6723,329860891284787088902790580,329860891.28478709,1886,54,1940
2021-02-01,2477,2477,112699265454113190723131822,112699265.45411319,646,32,678
2021-03-01,2777,2777,144238115933323307877323414,144238115.93332331,550,32,582
2021-04-01,1866,1864,87206836583783127770626207,87206836.583783127771,440,39,479
2021-05-01,2476,2476,161260034340318976941400340,161260034.34031898,454,46,500
2021-06-01,2437,2437,96553374445546876029533851,96553374.445546876030,563,53,616
2021-07-01,3169,3169,128115851456018261809220701,128115851.45601826,813,66,879
2021-08-01,3004,3003,223342198033561138634705496,223342198.03356114,884,72,956
2021-09-01,2227,2225,138895791543952215971117299,138895791.54395222,735,58,793
2021-10-01,4161,4137,252335244353987876452342752,252335244.35398788,1474,62,1536
2021-11-01,14473,14433,527995889761555255319532405,527995889.76155526,8357,141,8498
2021-12-01,7584,7197,511961489484645505186995691,511961489.48464551,3184,103,3287
2022-01-01,8780,8750,925152488397078548145119280,925152488.39707855,3818,128,3946
2022-02-01,4767,4752,448500595998274786563468245,448500595.99827479,2197,119,2316
2022-03-01,4752,4731,561468786226027364392995339,561468786.22602736,2129,106,2235
2022-04-01,8324,8223,707947720932562351106724650,707947720.93256235,2352,144,2496
2022-05-01,7629,7566,1230674790183281070775260306,1230674790.18328107,2277,160,2437
2022-06-01,4999,4945,601572278794075651958387250,601572278.79407565,1697,137,1834
2022-07-01,4045,4006,251201061316946824410499957,251201061.31694682,1552,131,1683
2022-08-01,4753,4687,395789266725832014632469107,395789266.72583201,1745,147,1892
2022-09-01,5431,5374,322116115047785217099109183,322116115.04778522,1787,152,1939
2022-10-01,4530,4482,223397512515252652814328056,223397512.51525265,1862,133,1995
2022-11-01,4467,4428,293054382995593225761934421,293054382.99559323,1690,176,1866
2022-12-01,3337,3321,159102214146708405696920480,159102214.14670841,1123,149,1272
2023-01-01,5262,5225,194454194060515131557133091,194454194.06051513,1341,158,1499
2023-02-01,5142,5132,181185433504090978293593189,181185433.50409098,1122,157,1279
2023-03-01,4439,4429,392770772406379406158970064,392770772.40637941,1375,167,1542
2023-04-01,3441,3433,142159065156167395771242869,142159065.15616740,918,140,1058
2023-05-01,2057,2054,109384936661216455787425111,109384936.66121646,592,112,704
2023-06-01,2899,2879,154016032530991231749758655,154016032.53099123,825,136,961
2023-07-01,2598,2587,116511964446130156817315305,116511964.44613016,854,133,987
2023-08-01,3555,3541,177271356579531292393125798,177271356.57953129,936,138,1074
2023-09-01,2418,2413,85630891596579933059686961,85630891.596579933060,722,125,847
2023-10-01,3271,3264,194871972694355123792605805,194871972.69435512,1035,143,1178
2023-11-01,3217,3211,122952889627348499707536745,122952889.62734850,853,126,979
2023-12-01,2940,2933,117322976542441666213287319,117322976.54244167,871,128,999
2024-01-01,3809,3793,166004341324849206425645561,166004341.32484921,924,145,1069
2024-02-01,2945,2941,120990865031641913115963570,120990865.03164191,1067,127,1194
2024-03-01,3261,3259,179222398247343631105157372,179222398.24734363,814,134,948
2024-04-01,2926,2921,223068976368529048746882373,223068976.36852905,818,130,948
2024-05-01,2451,2444,118894246821381926846316648,118894246.82138193,700,131,831
2024-06-01,2231,2222,107659010298662738567323074,107659010.29866274,630,129,759
2024-07-01,2304,2297,69876041518650143136152347,69876041.518650143136,628,136,764
2024-08-01,2819,2807,85807268811488237676183134,85807268.811488237676,773,150,923
2024-09-01,1822,1822,52497500410384426342803968,52497500.410384426343,546,140,686
2024-10-01,1470,1470,47955039442016422526345348,47955039.442016422526,463,96,559
2024-11-01,2493,2485,93335127460983844541219154,93335127.460983844541,548,120,668
2024-12-01,3338,3329,95380644718307585632416605,95380644.718307585632,542,131,673
2025-01-01,2148,2145,66568182864015239635048886,66568182.864015239635,517,122,639
2025-02-01,1903,1894,46285466537434794863786851,46285466.537434794864,497,115,612
2025-03-01,2134,2128,45035311004883534628730914,45035311.004883534629,589,130,719
2025-04-01,1989,1980,34702831652934094514256352,34702831.652934094514,452,120,572
2025-05-01,1805,1800,31132323780948910844834306,31132323.780948910845,342,95,437
2025-06-01,1014,1007,15494987370049892212859842,15494987.370049892213,254,88,342
2025-07-01,2193,2118,30926508691484447047459317,30926508.691484447047,312,94,406
2025-08-01,1543,1516,19980919764097758473605264,19980919.764097758474,262,91,353
2025-09-01,1684,1660,16449837257463204367517291,16449837.257463204368,239,85,324
2025-10-01,2207,2192,22547862786694296977017642,22547862.786694296977,240,81,321
2025-11-01,1001,999,11628151899504314339629352,11628151.899504314340,176,77,253
2025-12-01,609,578,7330788467957471907546997,7330788.467957471908,198,85,283
2026-01-01,1889,1826,6659858205784576779947322,6659858.205784576780,269,86,355
2026-02-01,533,520,6136710499758781239375432,6136710.499758781239,196,71,267
2026-03-01,610,587,7469921622511141299090636,7469921.622511141299,203,74,277
2026-04-01,486,476,5347849346196602679289931,5347849.346196602679,170,64,234
2026-05-01,805,799,5128200649142785214655190,5128200.649142785215,205,72,277
2026-06-01,1110,1103,7808838074614065385236057,7808838.074614065385,197,81,278
