month,newly_adopted_addresses
2020-12-01,1261
2021-01-01,1403
2021-02-01,294
2021-03-01,257
2021-04-01,170
2021-05-01,219
2021-06-01,342
2021-07-01,512
2021-08-01,493
2021-09-01,360
2021-10-01,1024
2021-11-01,7442
2021-12-01,1348
2022-01-01,1426
2022-02-01,824
2022-03-01,611
2022-04-01,1002
2022-05-01,844
2022-06-01,579
2022-07-01,539
2022-08-01,714
2022-09-01,755
2022-10-01,873
2022-11-01,685
2022-12-01,459
2023-01-01,573
2023-02-01,447
2023-03-01,518
2023-04-01,317
2023-05-01,188
2023-06-01,304
2023-07-01,331
2023-08-01,336
2023-09-01,269
2023-10-01,453
2023-11-01,279
2023-12-01,297
2024-01-01,323
2024-02-01,543
2024-03-01,260
2024-04-01,287
2024-05-01,247
2024-06-01,213
2024-07-01,198
2024-08-01,303
2024-09-01,195
2024-10-01,122
2024-11-01,163
2024-12-01,171
2025-01-01,185
2025-02-01,170
2025-03-01,293
2025-04-01,186
2025-05-01,144
2025-06-01,95
2025-07-01,122
2025-08-01,106
2025-09-01,95
2025-10-01,93
2025-11-01,78
2025-12-01,100
2026-01-01,160
2026-02-01,89
2026-03-01,96
2026-04-01,82
2026-05-01,131
2026-06-01,89
