month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2020-12-01,126529120.94347092,1261,1261,3645,3654
2021-01-01,329860891.28478709,1940,1403,6723,6749
2021-02-01,112699265.45411319,678,294,2477,2477
2021-03-01,144238115.93332331,582,257,2777,2777
2021-04-01,87206836.583783127771,479,170,1864,1866
2021-05-01,161260034.34031898,500,219,2476,2476
2021-06-01,96553374.445546876030,616,342,2437,2437
2021-07-01,128115851.45601826,879,512,3169,3169
2021-08-01,223342198.03356114,956,493,3003,3004
2021-09-01,138895791.54395222,793,360,2225,2227
2021-10-01,252335244.35398788,1536,1024,4137,4161
2021-11-01,527995889.76155526,8498,7442,14433,14473
2021-12-01,511961489.48464551,3287,1348,7197,7584
2022-01-01,925152488.39707855,3946,1426,8750,8780
2022-02-01,448500595.99827479,2316,824,4752,4767
2022-03-01,561468786.22602736,2235,611,4731,4752
2022-04-01,707947720.93256235,2496,1002,8223,8324
2022-05-01,1230674790.18328107,2437,844,7566,7629
2022-06-01,601572278.79407565,1834,579,4945,4999
2022-07-01,251201061.31694682,1683,539,4006,4045
2022-08-01,395789266.72583201,1892,714,4687,4753
2022-09-01,322116115.04778522,1939,755,5374,5431
2022-10-01,223397512.51525265,1995,873,4482,4530
2022-11-01,293054382.99559323,1866,685,4428,4467
2022-12-01,159102214.14670841,1272,459,3321,3337
2023-01-01,194454194.06051513,1499,573,5225,5262
2023-02-01,181185433.50409098,1279,447,5132,5142
2023-03-01,392770772.40637941,1542,518,4429,4439
2023-04-01,142159065.15616740,1058,317,3433,3441
2023-05-01,109384936.66121646,704,188,2054,2057
2023-06-01,154016032.53099123,961,304,2879,2899
2023-07-01,116511964.44613016,987,331,2587,2598
2023-08-01,177271356.57953129,1074,336,3541,3555
2023-09-01,85630891.596579933060,847,269,2413,2418
2023-10-01,194871972.69435512,1178,453,3264,3271
2023-11-01,122952889.62734850,979,279,3211,3217
2023-12-01,117322976.54244167,999,297,2933,2940
2024-01-01,166004341.32484921,1069,323,3793,3809
2024-02-01,120990865.03164191,1194,543,2941,2945
2024-03-01,179222398.24734363,948,260,3259,3261
2024-04-01,223068976.36852905,948,287,2921,2926
2024-05-01,118894246.82138193,831,247,2444,2451
2024-06-01,107659010.29866274,759,213,2222,2231
2024-07-01,69876041.518650143136,764,198,2297,2304
2024-08-01,85807268.811488237676,923,303,2807,2819
2024-09-01,52497500.410384426343,686,195,1822,1822
2024-10-01,47955039.442016422526,559,122,1470,1470
2024-11-01,93335127.460983844541,668,163,2485,2493
2024-12-01,95380644.718307585632,673,171,3329,3338
2025-01-01,66568182.864015239635,639,185,2145,2148
2025-02-01,46285466.537434794864,612,170,1894,1903
2025-03-01,45035311.004883534629,719,293,2128,2134
2025-04-01,34702831.652934094514,572,186,1980,1989
2025-05-01,31132323.780948910845,437,144,1800,1805
2025-06-01,15494987.370049892213,342,95,1007,1014
2025-07-01,30926508.691484447047,406,122,2118,2193
2025-08-01,19980919.764097758474,353,106,1516,1543
2025-09-01,16449837.257463204368,324,95,1660,1684
2025-10-01,22547862.786694296977,321,93,2192,2207
2025-11-01,11628151.899504314340,253,78,999,1001
2025-12-01,7330788.467957471908,283,100,578,609
2026-01-01,6659858.205784576780,355,160,1826,1889
2026-02-01,6136710.499758781239,267,89,520,533
2026-03-01,7469921.622511141299,277,96,587,610
2026-04-01,5347849.346196602679,234,82,476,486
2026-05-01,5128200.649142785215,277,131,799,805
2026-06-01,7808838.074614065385,278,89,1103,1110
