month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2020-12-01,73208189.718472788088,1196,1196,2925,2948
2021-01-01,304270041.89005470,1980,1493,6747,7034
2021-02-01,112753578.79256231,704,337,2451,2463
2021-03-01,123058853.23264248,605,280,2604,2615
2021-04-01,84370000.921607053374,686,368,1853,2004
2021-05-01,149425265.86024000,552,231,2528,2532
2021-06-01,92039440.716899538986,579,323,2484,2489
2021-07-01,120338016.47142799,920,534,3246,3328
2021-08-01,212073919.61497867,995,490,3327,3603
2021-09-01,140520083.04115052,891,427,2807,3068
2021-10-01,299241226.46509142,1800,1191,4636,4895
2021-11-01,580237717.41616837,8588,7370,14923,15492
2021-12-01,561021694.56849407,3607,1448,8009,8514
2022-01-01,1064652484.59862755,4128,1553,8644,8953
2022-02-01,711149563.81080260,2361,816,5000,5326
2022-03-01,385823096.42968462,2233,612,4795,5123
2022-04-01,686632967.13436292,2574,1033,8234,8720
2022-05-01,1052801839.02702543,2279,780,7717,7982
2022-06-01,499723524.33251682,1794,605,4899,5055
2022-07-01,240025402.18639548,1670,538,3831,3954
2022-08-01,368694131.22091755,1930,753,4281,4410
2022-09-01,337186795.00615029,1928,778,4782,4904
2022-10-01,227717789.58189185,2053,910,4104,4253
2022-11-01,305306807.59717037,1801,731,4355,4449
2022-12-01,159229288.52003330,1265,511,3252,3357
2023-01-01,190875325.15798879,1552,631,4941,5096
2023-02-01,182884854.69698125,1294,470,5182,5274
2023-03-01,385499892.04440062,1467,510,4434,4528
2023-04-01,148383490.12012141,1025,323,3435,3555
2023-05-01,113320018.57252878,700,181,2054,2111
2023-06-01,153674248.47815029,971,326,2980,3029
2023-07-01,146760048.14054672,1031,361,2643,2738
2023-08-01,163434400.56748511,1075,351,3282,3335
2023-09-01,87518792.358644004111,854,287,2176,2215
2023-10-01,191375636.08627561,1183,446,3231,3270
2023-11-01,123666796.86052145,960,269,3028,3049
2023-12-01,108208462.10885307,955,270,2733,2774
2024-01-01,149273143.17208071,1078,335,3651,3720
2024-02-01,119333824.36457459,1215,552,2840,2869
2024-03-01,178793397.83406341,920,254,3020,3072
2024-04-01,221577692.72944249,983,297,2904,3007
2024-05-01,116120195.09215903,874,254,2337,2358
2024-06-01,106911627.96376508,738,205,2282,2320
2024-07-01,70754051.961236897817,783,200,2331,2392
2024-08-01,84578390.228825558482,1007,371,3016,3085
2024-09-01,55846996.778286838948,691,192,1664,1699
2024-10-01,45367503.700508793701,616,125,1518,1552
2024-11-01,93195171.430330580510,676,155,2278,2305
2024-12-01,95724140.068377492755,705,201,3243,3288
2025-01-01,63483694.084892573606,685,249,2202,2231
2025-02-01,46444799.692288065689,609,180,2076,2103
2025-03-01,44985234.245671773496,796,372,2174,2200
2025-04-01,35250433.406515998589,611,222,1983,2015
2025-05-01,30926011.761468741576,488,154,1953,1973
2025-06-01,15342367.358420492191,382,103,1166,1192
2025-07-01,30887018.161445068118,399,117,2541,2971
2025-08-01,21462389.548124052501,392,124,1950,2227
2025-09-01,16510747.866904056548,334,96,2053,2409
2025-10-01,25797668.221697559399,357,108,2797,3168
2025-11-01,12196321.487320688876,274,69,2088,2310
2025-12-01,4764741.705682352521,323,122,962,1265
2026-01-01,5827048.269166241874,390,187,1871,2259
2026-02-01,5981928.710451029743,316,105,618,638
2026-03-01,7549335.495775448069,320,120,601,630
2026-04-01,5778153.945251055763,249,95,421,429
2026-05-01,4663695.812994554526,290,133,653,671
2026-06-01,8237189.570909221858,274,88,1263,1319
