month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2020-12-01,1,667300213,97c4adc5d28a86f9470c70dd91dc6cc2f20d2d4d,674,15866743245069930076834774,15866743.245069930077
2020-12-01,2,667282315,fd0a40bc83c5fae4203dec7e5929b446b07d1c76,316,1751117142260394097943688,1751117.142260394098
2020-12-01,3,524087354,7a250d5630b4cf539739df2c5dacb4c659f2488d,54,1793730836352988439675259,1793730.836352988440
2020-12-01,4,667248779,e1573b9d29e2183b1af0e743dc2754979a40d237,37,363433277115015203580966,363433.277115015204
2020-12-01,5,667168491,642a101709e48d986844656f6ec7586bed71bedd,35,1661387065537144262284,1661.3870655371442623
2020-12-01,6,677519721,e069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,34,1204166717139632556165745,1204166.717139632556
2020-12-01,7,546716445,22f9dcf4647084d6c31b2765f6910cd85c178c18,7,168821714434484975700036,168821.714434484976
2020-12-01,8,677728184,3b3ce26239ddc65dc3fd2124d242ad056338eaf1,5,104173427836000000000000,104173.427836000000
2020-12-01,9,666202939,d3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0,4,12,1.2000000000000000000E-17
2020-12-01,10,616036061,74de5d4fcbf63e00296fd95d33236b9794016631,3,6611678977715368241945,6611.6789777153682419
2020-12-01,11,556180691,41303d8aecba4222a414233531f25527c0559ecb,1,99008920700000000000000,99008.920700000000
2020-12-01,12,613993039,79b6c6f8634ea477ed725ec23b7b6fcb41f00e58,1,67519593033343986294700,67519.593033343986
2020-12-01,13,624785311,0000000000007f150bd6f54c40a34d7c3d5e9f56,1,18957905828201017376768,18957.905828201017
2020-12-01,14,535200254,7fe2153de0006d76c85cc04c8ea10bf4546c879e,1,12311853187632243189214,12311.853187632243
2020-12-01,15,657913599,d47140f6ab73f6d6b6675fb1610bb5e9b5d96fe5,1,2998455012000000000000,2998.4550120000000000
2020-12-01,16,672357997,eebec7874f46c4452610a11fa6be0264f7f0557f,1,894817665137400731487,894.8176651374007315
2020-12-01,17,678567957,74f5f570f94bc774323cc5059ad1d0d9c9d1661c,1,20004954589930918112,20.0049545899309181
2021-01-01,1,667300213,97c4adc5d28a86f9470c70dd91dc6cc2f20d2d4d,417,11780690661228014007424124,11780690.661228014007
2021-01-01,2,667282315,fd0a40bc83c5fae4203dec7e5929b446b07d1c76,318,1954190060939319531858174,1954190.060939319532
2021-01-01,3,679594397,ef185df44a1a8e94b3e8ce2a7d1e88fd5f97de90,287,5636004966710357394433198,5636004.966710357394
2021-01-01,4,209499427,d152f549545093347a162dce210e7293f1452150,214,4264815530250351217848625,4264815.530250351218
2021-01-01,5,677519721,e069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,60,1851955579039769581706383,1851955.579039769582
