size_bucket,transfer_count,bucket_volume
<0.01,1319,1.733639251074061392000000000000000000
0.01-0.1,809,34.11337579047092237400
0.1-1,2268,1059.01951101594033234300
1-10,6168,26839.40202071666914978300
10-100,11196,468408.2434438583042429
100-1000,23990,10617842.0142851383799808
1000-10000,69434,323036473.5567471117279274
10000-100000,94761,2989087009.4622376495581664
100000-1000000,18475,4669608760.334920423322
1000000-10000000,1674,3602063312.530855381355
>=10000000,62,1015758857.605459897303
