month,newly_adopted_addresses
2020-12-01,134
2021-01-01,109
2021-02-01,26
2021-03-01,50
2021-04-01,46
2021-05-01,60
2021-06-01,66
2021-07-01,83
2021-08-01,74
2021-09-01,61
2021-10-01,90
2021-11-01,491
2021-12-01,110
2022-01-01,125
2022-02-01,93
2022-03-01,79
2022-04-01,129
2022-05-01,101
2022-06-01,97
2022-07-01,119
2022-08-01,134
2022-09-01,159
2022-10-01,130
2022-11-01,197
2022-12-01,115
2023-01-01,113
2023-02-01,100
2023-03-01,120
2023-04-01,49
2023-05-01,53
2023-06-01,89
2023-07-01,65
2023-08-01,83
2023-09-01,69
2023-10-01,114
2023-11-01,62
2023-12-01,62
2024-01-01,80
2024-02-01,87
2024-03-01,82
2024-04-01,218
2024-05-01,95
2024-06-01,62
2024-07-01,85
2024-08-01,104
2024-09-01,72
2024-10-01,41
2024-11-01,41
2024-12-01,51
2025-01-01,73
2025-02-01,85
2025-03-01,114
2025-04-01,95
2025-05-01,69
2025-06-01,51
2025-07-01,79
2025-08-01,81
2025-09-01,66
2025-10-01,79
2025-11-01,98
2025-12-01,138
2026-01-01,162
2026-02-01,135
2026-03-01,124
2026-04-01,78
2026-05-01,98
2026-06-01,118
