month,user_rank,address_id,address,outgoing_transfer_count,outgoing_transaction_count,raw_outgoing_volume,outgoing_volume
2020-12-01,1,667282315,fd0a40bc83c5fae4203dec7e5929b446b07d1c76,1426,1425,14830455933912324619136282,14830455.933912324619
2020-12-01,2,667300213,97c4adc5d28a86f9470c70dd91dc6cc2f20d2d4d,571,570,7399078946238604894545592,7399078.946238604895
2020-12-01,3,667248779,e1573b9d29e2183b1af0e743dc2754979a40d237,983,983,3193262345325207882263222,3193262.345325207882
2020-12-01,4,677519721,e069cb01d06ba617bcdf789bf2ff0d5e5ca20c71,121,68,3001620571243110940957673,3001620.571243110941
2020-12-01,5,579838077,78a55b9b3bbeffb36a43d9905f654d2769dc55e8,200,200,1896412118625708518712677,1896412.118625708519
2020-12-01,6,453757716,860bd2dba9cd475a61e6d1b45e16c365f6d78f66,255,255,1555515544334325536616800,1555515.544334325537
2020-12-01,7,676971088,fce56ca459ef0eda765eb040d24b4f4707804651,8,8,1245674753456374870420755,1245674.753456374870
2020-12-01,8,289089360,9ed629bc305c5731d43de27cbbe8f77976893c2b,14,14,856154918551022232463763,856154.918551022232
2020-12-01,9,224191,8a53501ad6450330e6f5397af182bfefbc159799,7,7,816345955557189298340336,816345.955557189298
2020-12-01,10,677728184,3b3ce26239ddc65dc3fd2124d242ad056338eaf1,10,10,676632194311000000000000,676632.194311000000
2020-12-01,11,524087354,7a250d5630b4cf539739df2c5dacb4c659f2488d,20,20,609213671477477043045254,609213.671477477043
2020-12-01,12,651382686,4f92e5038e400383d5827681ef9951e7f3beb33d,83,83,608163505570830345152485,608163.505570830345
2020-12-01,13,675145001,0874c27e9561b178cdad3aa02936fd6d0224c145,16,16,576542338484908354654828,576542.338484908355
2020-12-01,14,671103892,ebf2ec5d0c6639d6474497e9df371be89f0c2d2b,4,4,507844225421197880380105,507844.225421197880
2020-12-01,15,642372383,ee6bee92529183d7c92dfa051bda48a7a74f3348,6,6,501212527284000000000000,501212.527284000000
2020-12-01,16,657913599,d47140f6ab73f6d6b6675fb1610bb5e9b5d96fe5,14,7,476913007305852845085929,476913.007305852845
2020-12-01,17,546716445,22f9dcf4647084d6c31b2765f6910cd85c178c18,11,8,451265916108741764861501,451265.916108741765
2020-12-01,18,624603130,7c651d7084b4ba899391d2d4d5d3d47fff823351,169,169,435108233685031423184718,435108.233685031423
2020-12-01,19,595148313,7ee8ab2a8d890c000acc87bf6e22e2ad383e23ce,51,51,428105981727000488183125,428105.981727000488
2020-12-01,20,566851549,eb5d3a91b5e721fa251e03bda2c9578e90f30f84,72,72,422555179569996870000073,422555.179569996870
2020-12-01,21,643675604,fd6231a29661100e9f7e68d37730b040e24cad28,7,7,413668419227545946551248,413668.419227545947
2020-12-01,22,624785311,0000000000007f150bd6f54c40a34d7c3d5e9f56,28,28,387681381967145524693239,387681.381967145525
2020-12-01,23,469131157,a1ae13999df5740b709af82a727980c113a2527f,12,12,343488129964509302552677,343488.129964509303
2020-12-01,24,535174349,e2759ecded268614a6911b3aa302d417efc22cad,8,8,316398087166060198046435,316398.087166060198
2020-12-01,25,613993039,79b6c6f8634ea477ed725ec23b7b6fcb41f00e58,22,22,291237234806172243750166,291237.234806172244
2020-12-01,26,480313455,c586bef4a0992c495cf22e1aeee4e446cecdee0e,5,3,290517595052733634349120,290517.595052733634
2020-12-01,27,519577077,c3037b2a1a9e9268025ff6d45fe7095436446d52,8,3,290517595052733634349120,290517.595052733634
2020-12-01,28,670671836,c930467ee7e682eca73383c1ffafeb02c85a3e15,5,4,264462996603351566664000,264462.996603351567
2020-12-01,29,81990032,53c218ee4b05f817fab41afd2c66fd92550a8888,5,5,245556365495982399288346,245556.365495982399
2020-12-01,30,666202939,d3cf4e98e1e432b3d6ae42ae406a78f2ac8293d0,56,42,237279614385414678845628,237279.614385414679
2020-12-01,31,645484074,673696fd759618bd1937051f46db672940d1129c,14,14,197674771907210325796309,197674.771907210326
2020-12-01,32,128175,ab1348b382eaec3d4a05cb85c999fc205b45292c,4,4,185387336556988298697051,185387.336556988299
2020-12-01,33,318204,d6e371526cdaee04cd8af225d42e37bc14688d9e,3,3,147290147015959862295495,147290.147015959862
2020-12-01,34,556180691,41303d8aecba4222a414233531f25527c0559ecb,3,3,119872852176366817174560,119872.852176366817
2020-12-01,35,340440592,1ce2304369d957fc1f0dd32c983f445e449f4c7a,4,4,111514258412571866523894,111514.258412571867
2020-12-01,36,166242,c6ddf90790b433743bd050c1d1d45f673a3413f4,6,6,91115506479711806656531,91115.506479711807
2020-12-01,37,612286969,00000000000017c75025d397b91d284bbe8fc7f2,8,8,90864859268570699203836,90864.859268570699
2020-12-01,38,57916353,3442bcafff7deaff26caad507b22c38aceb86f81,2,2,76925198452414612430305,76925.198452414612
2020-12-01,39,663079541,1b3006d57d5d9653a4ecaea6cfb0fd72a1537cc9,5,5,70807745259510098758053,70807.745259510099
2020-12-01,40,672357997,eebec7874f46c4452610a11fa6be0264f7f0557f,6,3,66908397995294594594590,66908.397995294595
2020-12-01,41,668868204,00000000cd47aa64daf64f5144b0d7885754374c,1,1,47499230415457071830245,47499.230415457072
2020-12-01,42,514773126,c198708b7de4073ec1e6b34942a84f8ba2e4a014,4,4,46466264422685822151507,46466.264422685822
