size_bucket,transfer_count,bucket_volume
<0.01,2656,4.858158070323651742000000000000000000
0.01-0.1,2542,118.74733662198703764800
0.1-1,6860,3111.91359976856744594100
1-10,23180,111675.63264466973584461700
10-100,103868,5057459.4692172391372585
100-1000,250834,105210953.4497173223918978
1000-10000,349250,1448850671.3624148907341189
10000-100000,280297,8674233851.4545404141319964
100000-1000000,58605,14849318018.551248972114
1000000-10000000,4755,10939181478.570400716518
>=10000000,450,12986394539.939100331773
