month,transfer_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2022-05-01,2,20000000000000,20000000.0,1,1,2
2022-06-01,4,58637383420332,58637383.420332,3,4,5
2022-07-01,5,245564568843,245564.568843,4,4,4
2022-09-01,1,49987503129,49987.503129,1,1,2
2023-01-01,1,198386514,198.386514,1,1,2
2023-11-01,4,9597196425836,9597196.425836,2,3,4
2023-12-01,2,172689766000,172689.766,1,1,2
2024-12-01,1,198386514,198.386514,1,1,2
2025-04-01,2,257313485948,257313.485948,1,1,2
2025-06-01,3,9294729418290,9294729.41829,1,1,2
2025-12-01,66,3732021184,3732.021184,17,25,25
2026-01-01,5,29222319,29.222319,4,5,6
2026-04-01,3,23743407,23.743407,3,3,5
2026-05-01,2,12040020,12.04002,2,1,3
