month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2022-05-01,20000000.000000000000,1,1,2,2
2022-06-01,58637383.420332000000,5,4,4,4
2022-07-01,245564.568843000000,4,2,5,5
2022-09-01,49987.503129000000,2,1,1,1
2023-01-01,198.3865140000000000,2,1,1,1
2023-11-01,9597196.425836000000,4,2,4,4
2023-12-01,172689.766000000000,2,0,2,2
2024-12-01,198.3865140000000000,2,1,1,1
2025-04-01,257313.485948000000,2,1,2,2
2025-06-01,9294729.418290000000,2,0,3,3
2025-12-01,3732.0211840000000000,25,24,60,66
2026-01-01,29.2223190000000000,6,2,3,5
2026-04-01,23.7434070000000000,5,1,3,3
2026-05-01,12.0400200000000000,3,1,2,2
