month,size_bucket,transfer_count,bucket_volume
2022-05-01,>=10000000,2,20000000.0
2022-06-01,100-1000,1,170.923462
2022-06-01,>=10000000,3,58637212.496869996
2022-07-01,10000-100000,5,245564.56884300004
2022-09-01,10000-100000,1,49987.503129
2023-01-01,100-1000,1,198.386514
2023-11-01,100-1000,2,360.209018
2023-11-01,10000-100000,1,84423.719948
2023-11-01,1000000-10000000,1,9512412.49687
2023-12-01,1000-10000,1,7964.383
2023-12-01,100000-1000000,1,164725.383
2024-12-01,100-1000,1,198.386514
2025-04-01,10-100,1,10.0
2025-04-01,100000-1000000,1,257303.485948
2025-06-01,1000-10000,2,19396.40564
2025-06-01,1000000-10000000,1,9275333.01265
2025-12-01,<0.01,1,0.001982
2025-12-01,0.01-0.1,3,0.03
2025-12-01,0.1-1,3,0.9933170000000001
2025-12-01,1-10,23,75.21665100000001
2025-12-01,10-100,21,771.6274139999999
2025-12-01,100-1000,15,2884.1518199999996
2026-01-01,1-10,3,6.879194999999999
2026-01-01,10-100,2,22.343124
2026-04-01,1-10,1,1.713387
2026-04-01,10-100,2,22.03002
2026-05-01,1-10,1,1.01001
2026-05-01,10-100,1,11.03001
