month,newly_adopted_addresses
2022-11-01,14
2023-01-01,19
2023-02-01,2
2023-03-01,16
2023-06-01,4
2023-08-01,586
2023-09-01,1120
2023-10-01,1458
2023-11-01,1762
2023-12-01,4041
2024-01-01,2222
2024-02-01,2641
2024-03-01,3695
2024-04-01,4165
2024-05-01,5184
2024-06-01,7041
2024-07-01,7099
2024-08-01,8275
2024-09-01,7768
2024-10-01,7949
2024-11-01,6792
2024-12-01,7577
2025-01-01,9050
2025-02-01,9568
2025-03-01,11708
2025-04-01,14481
2025-05-01,15436
2025-06-01,13978
2025-07-01,14983
2025-08-01,15839
2025-09-01,18882
2025-10-01,21482
2025-11-01,19887
2025-12-01,25584
2026-01-01,35652
2026-02-01,23437
2026-03-01,25832
2026-04-01,21851
2026-05-01,18311
2026-06-01,16782
