month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2022-11-01,2,2,1,1100337220000,1100337.220000000000,1,1,1,1000000,1.00000000000000000000,1100336.22000000000000000000,1100336.22000000000000000000
2023-01-01,2,2,1,2000000,2.0000000000000000,1,1,1,1000000,1.00000000000000000000,1.00000000000000000000,1100337.22000000000000000000
2023-02-01,1,1,1,26400719690000,26400719.690000000000,1,1,1,25501056910000,25501056.910000000000,899662.780000000000,2000000.00000000000000000000
2023-08-01,16,16,1,42376445450000,42376445.450000000000,5,5,1,5000000,5.0000000000000000,42376440.4500000000000000,44376440.45000000000000000000
2023-09-01,1,1,1,50020100000000,50020100.000000000000,0,0,0,0,0E-24,50020100.000000000000000000000000,94396540.450000000000000000000000
2023-10-01,6,6,1,64560397000000,64560397.000000000000,0,0,0,0,0E-24,64560397.000000000000000000000000,158956937.450000000000000000000000
2023-11-01,0,0,0,0,0E-24,2,2,1,2203869090000,2203869.090000000000,-2203869.090000000000000000000000,156753068.360000000000000000000000
2023-12-01,11,11,1,111318424860000,111318424.8600000000,1,1,1,3539647400000,3539647.400000000000,107778777.460000000000,264531845.820000000000000000000000
2024-01-01,14,14,1,41206386840000,41206386.840000000000,2,2,1,4562991260000,4562991.260000000000,36643395.580000000000,301175241.400000000000000000000000
2024-02-01,3,3,1,15300452790000,15300452.790000000000,2,2,1,12047761070000,12047761.070000000000,3252691.720000000000,304427933.120000000000000000000000
2024-03-01,0,0,0,0,0E-24,10,10,1,115942009490000,115942009.4900000000,-115942009.490000000000000000000000,188485923.630000000000000000000000
2024-04-01,8,8,1,139597178990000,139597178.9900000000,0,0,0,0,0E-24,139597178.990000000000000000000000,328083102.620000000000000000000000
2024-05-01,4,4,1,71019627770000,71019627.770000000000,0,0,0,0,0E-24,71019627.770000000000000000000000,399102730.390000000000000000000000
2024-06-01,7,7,1,53399334880000,53399334.880000000000,4,4,1,28227987310000,28227987.310000000000,25171347.570000000000,424274077.960000000000000000000000
2024-07-01,4,4,1,23191468070000,23191468.070000000000,15,15,1,95439764720000,95439764.720000000000,-72248296.650000000000,352025781.310000000000000000000000
2024-08-01,27,27,1,111814468060000,111814468.0600000000,19,19,1,117501106650000,117501106.6500000000,-5686638.5900000000,346339142.720000000000000000000000
2024-09-01,22,22,1,149199370040000,149199370.0400000000,16,16,1,113987279280000,113987279.2800000000,35212090.7600000000,381551233.480000000000000000000000
2024-10-01,31,31,1,184364652780000,184364652.7800000000,28,28,1,216343519800000,216343519.8000000000,-31978867.0200000000,349572366.460000000000000000000000
2024-11-01,56,56,15,241236893170989,241236893.1709890000,56,56,27,207767584493144,207767584.4931440000,33469308.6778450000,383041675.137845000000000000000000
2024-12-01,38,38,9,268955921194495,268955921.1944950000,56,56,13,324589735146164,324589735.1461640000,-55633813.9516690000,327407861.186176000000000000000000
2025-01-01,66,66,23,246950069248543,246950069.2485430000,83,83,31,240237355663772,240237355.6637720000,6712713.5847710000,334120574.770947000000000000000000
