size_bucket,transfer_count,bucket_volume
<0.01,73075,132.549178000000000000000000
0.01-0.1,27326,720.90930200000000000000
0.1-1,33912,15792.03277600000000000000
1-10,134213,669928.74652200000000000000
10-100,1145236,48228096.5117710000000000
100-1000,859062,285896167.2351960000000000
1000-10000,337801,1061622170.8839440000000000
10000-100000,138754,5873503273.3668700000000000
100000-1000000,147716,43702732695.250109000000
1000000-10000000,23669,64431827823.952892000000
>=10000000,2380,64066548697.107121000000
