month,newly_adopted_addresses
2022-11-01,10
2023-01-01,20
2023-02-01,2
2023-03-01,18
2023-06-01,4
2023-08-01,292
2023-09-01,834
2023-10-01,1167
2023-11-01,1521
2023-12-01,2054
2024-01-01,1879
2024-02-01,2330
2024-03-01,3364
2024-04-01,3689
2024-05-01,4636
2024-06-01,6433
2024-07-01,6542
2024-08-01,7540
2024-09-01,7225
2024-10-01,7216
2024-11-01,6059
2024-12-01,6861
2025-01-01,8140
2025-02-01,8176
2025-03-01,10038
2025-04-01,13234
2025-05-01,14382
2025-06-01,13135
2025-07-01,14092
2025-08-01,14716
2025-09-01,17473
2025-10-01,19634
2025-11-01,18414
2025-12-01,23775
2026-01-01,32643
2026-02-01,20605
2026-03-01,22675
2026-04-01,19196
2026-05-01,15649
2026-06-01,14411
