month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2022-11-01,147.2600000000000000,10,10,13,13
2023-01-01,397.8800000000000000,26,20,33,33
2023-02-01,25000150.810000000000,9,2,10,10
2023-03-01,538.5160000000000000,35,18,35,35
2023-06-01,95050.010000000000,8,4,6,6
2023-07-01,14.3434730000000000,3,0,2,2
2023-08-01,7437921.710413000000,303,292,412,412
2023-09-01,22573712.597429000000,904,834,1669,1669
2023-10-01,72319874.351777000000,1283,1167,3037,3038
2023-11-01,46961856.215792000000,1752,1521,4881,4881
2023-12-01,141817386.4614560000,2377,2054,5211,5484
2024-01-01,164455365.8578470000,2287,1879,5939,5941
2024-02-01,192277041.6051680000,2781,2330,7748,7750
2024-03-01,225236875.3617940000,3884,3364,10026,10026
2024-04-01,170628473.4790070000,4387,3689,13526,13527
2024-05-01,211903103.5899820000,5485,4636,18949,18952
2024-06-01,467506731.8460720000,7370,6433,26624,26624
2024-07-01,657418683.4216610000,7741,6542,29097,29097
2024-08-01,1144314417.4517910000,8867,7540,35445,35460
2024-09-01,463137910.3338850000,8789,7225,31905,31913
2024-10-01,651160205.2960790000,8694,7216,34510,34511
2024-11-01,942135212.6040670000,7865,6059,26637,26637
2024-12-01,1455584941.6828050000,8487,6861,28330,28330
2025-01-01,894817731.8894750000,9914,8140,38590,38596
2025-02-01,1665585867.9895340000,10479,8176,42731,42764
2025-03-01,1652269902.9945720000,12432,10038,70318,70369
2025-04-01,1971920576.8354530000,15983,13234,103303,103401
2025-05-01,1799277341.2245990000,17164,14382,127083,127139
2025-06-01,1724990448.2320420000,15847,13135,101360,101756
2025-07-01,2030893360.8657580000,17333,14092,83813,83989
2025-08-01,1712408748.9223590000,17874,14716,93784,94133
2025-09-01,4640029368.0280200000,20592,17473,95224,95614
2025-10-01,1967769785.8081480000,23424,19634,110078,110494
2025-11-01,4547823873.0017920000,22275,18414,104837,105161
2025-12-01,8194664249.3037740000,27663,23775,129589,130056
2026-01-01,4053444616.2431610000,37750,32643,140172,141313
2026-02-01,3000064861.0681640000,24737,20605,96661,97109
2026-03-01,4956412612.9093540000,27274,22675,111985,112866
2026-04-01,7354591426.8806650000,23676,19196,90139,90768
2026-05-01,3022595382.7824720000,20592,15649,85420,86481
2026-06-01,5807481408.0921190000,18619,14411,69858,70175
