month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2022-11-01,1000087.560000000000,8,8,7,7
2023-01-01,2.0000000000000000,3,1,2,2
2023-02-01,24000196.198000000000,3,0,2,2
2023-06-01,110000.000000000000,3,0,2,2
2023-08-01,44249012.028095000000,290,289,468,473
2023-09-01,54936121.332888000000,400,373,512,523
2023-10-01,65676132.627918000000,499,429,744,780
2023-11-01,15485187.738967000000,437,372,621,649
2023-12-01,142953773.1460700000,2476,2386,797,2739
2024-01-01,114505555.2152410000,717,589,1022,1064
2024-02-01,110187914.0029340000,655,525,1006,1031
2024-03-01,91972802.013749000000,890,707,1291,1341
2024-04-01,201998529.0041170000,1083,901,1378,1417
2024-05-01,105828067.5693450000,1348,1142,1663,1735
2024-06-01,125957682.5473890000,1665,1443,1943,2037
2024-07-01,208304245.4648520000,1787,1572,2190,2380
2024-08-01,396431390.8725520000,1910,1665,2604,2907
2024-09-01,254165904.3461110000,1848,1583,2281,2471
2024-10-01,303130186.4191370000,1925,1673,2409,2526
2024-11-01,228477656.9372100000,1973,1700,2538,2700
2024-12-01,289063243.7759800000,2099,1831,2671,2793
2025-01-01,105826927.4649690000,2554,2304,3184,3333
2025-02-01,447934679.3034820000,3284,2955,5456,5903
2025-03-01,329975512.5810500000,3834,3297,6329,6724
2025-04-01,334453321.3551550000,3416,2843,5399,5689
2025-05-01,321146584.0562080000,3094,2536,4832,5119
2025-06-01,177739033.9575160000,2741,2236,4259,4586
2025-07-01,250908516.8450760000,3012,2462,4491,4812
2025-08-01,208447807.1821760000,3481,2867,5822,6175
2025-09-01,846367972.6354450000,3884,3172,8337,8782
2025-10-01,1084831878.2768260000,4430,3497,8983,9564
2025-11-01,1520421726.3704060000,4009,2949,9075,9844
2025-12-01,2502711966.8398560000,4307,3252,10268,11114
2026-01-01,2504528941.0303510000,9080,7914,18362,19759
2026-02-01,2836484950.1627060000,8693,7325,18120,19665
2026-03-01,2564926546.0459650000,8936,7219,18858,20685
2026-04-01,3126145014.2456290000,7487,5635,15365,16917
2026-05-01,2206136941.8413150000,5498,3678,14020,15232
2026-06-01,1077019192.7111240000,5820,4059,16313,17591
