month,size_bucket,transfer_count,bucket_volume
2022-11-01,1-10,2,12.9980000000000000
2022-11-01,10-100,3,65.0500000000000000
2022-11-01,100000-1000000,2,1000009.512000000000
2023-01-01,1-10,2,2.00000000000000000000
2023-02-01,10-100,1,38.4080000000000000
2023-02-01,>=10000000,1,24000157.790000000000
2023-06-01,10000-100000,1,10000.0000000000000000
2023-06-01,100000-1000000,1,100000.000000000000
2023-08-01,<0.01,98,0.297766000000000000000000
2023-08-01,0.01-0.1,37,0.93963100000000000000
2023-08-01,0.1-1,15,7.56886100000000000000
2023-08-01,1-10,55,272.94121400000000000000
2023-08-01,10-100,156,6454.7244910000000000
2023-08-01,100-1000,81,26490.4383790000000000
2023-08-01,1000-10000,17,65035.7489380000000000
2023-08-01,10000-100000,1,43504.669951000000
2023-08-01,100000-1000000,5,1689965.342322000000
2023-08-01,1000000-10000000,6,7511843.950015000000
2023-08-01,>=10000000,2,34905435.406527000000
2023-09-01,<0.01,4,0.013216000000000000000000
2023-09-01,0.01-0.1,8,0.32377300000000000000
2023-09-01,0.1-1,11,5.84102600000000000000
2023-09-01,1-10,75,436.63357700000000000000
2023-09-01,10-100,169,7073.5360840000000000
2023-09-01,100-1000,122,44686.5693660000000000
2023-09-01,1000-10000,66,252607.9948510000000000
2023-09-01,10000-100000,49,2096978.5690840000000000
2023-09-01,100000-1000000,17,2534334.751911000000
2023-09-01,>=10000000,2,49999997.100000000000
2023-10-01,<0.01,7,0.04720600000000000000
2023-10-01,0.01-0.1,7,0.19135800000000000000
2023-10-01,0.1-1,25,11.23198600000000000000
2023-10-01,1-10,126,537.77030300000000000000
2023-10-01,10-100,237,9643.6475770000000000
2023-10-01,100-1000,185,61793.9086620000000000
2023-10-01,1000-10000,73,254331.8604180000000000
2023-10-01,10000-100000,80,3503179.5528720000000000
2023-10-01,100000-1000000,35,8578589.745745000000
2023-10-01,1000000-10000000,1,7453658.910000000000
2023-10-01,>=10000000,4,45814385.761791000000
2023-11-01,<0.01,2,0.00565600000000000000
2023-11-01,0.01-0.1,5,0.28130300000000000000
2023-11-01,0.1-1,11,4.73825600000000000000
2023-11-01,1-10,69,326.62367600000000000000
2023-11-01,10-100,189,8795.8871830000000000
2023-11-01,100-1000,169,71612.3210870000000000
2023-11-01,1000-10000,123,326879.8065200000000000
2023-11-01,10000-100000,39,1619878.7313280000000000
2023-11-01,100000-1000000,42,13457689.343958000000
2023-12-01,<0.01,1,0.00279400000000000000
2023-12-01,0.01-0.1,7,0.44893800000000000000
2023-12-01,0.1-1,30,10.81099800000000000000
2023-12-01,1-10,55,292.24752700000000000000
2023-12-01,10-100,2133,85953.0262130000000000
2023-12-01,100-1000,247,90488.8691860000000000
2023-12-01,1000-10000,120,375857.0545350000000000
2023-12-01,10000-100000,60,2770205.6088480000000000
2023-12-01,100000-1000000,71,24161928.829312000000
2023-12-01,1000000-10000000,10,30459471.614284000000
2023-12-01,>=10000000,4,85009564.633435000000
2024-01-01,<0.01,1,0.00097700000000000000
2024-01-01,0.01-0.1,13,0.67620100000000000000
2024-01-01,0.1-1,18,7.69151400000000000000
2024-01-01,1-10,84,430.47808900000000000000
2024-01-01,10-100,291,12732.4816680000000000
2024-01-01,100-1000,298,128867.9586650000000000
2024-01-01,1000-10000,207,562634.5824350000000000
2024-01-01,10000-100000,53,1825458.652622000000
2024-01-01,100000-1000000,68,23432527.332536000000
2024-01-01,1000000-10000000,30,77131744.249738000000
2024-01-01,>=10000000,1,11411151.110796000000
2024-02-01,<0.01,2,0.004800000000000000000000
2024-02-01,0.01-0.1,7,0.34249200000000000000
2024-02-01,0.1-1,13,5.92918700000000000000
2024-02-01,1-10,68,357.34925100000000000000
2024-02-01,10-100,206,9615.6428800000000000
2024-02-01,100-1000,283,114749.4805150000000000
2024-02-01,1000-10000,190,718410.1331270000000000
2024-02-01,10000-100000,102,3384403.5429740000000000
2024-02-01,100000-1000000,143,57446255.053119000000
2024-02-01,1000000-10000000,13,27150620.984748000000
2024-02-01,>=10000000,2,21363495.539841000000
2024-03-01,<0.01,3,0.001687000000000000000000
2024-03-01,0.01-0.1,2,0.04207300000000000000
2024-03-01,0.1-1,25,10.66365000000000000000
2024-03-01,1-10,46,241.51999500000000000000
2024-03-01,10-100,199,9671.0523310000000000
2024-03-01,100-1000,368,156519.7078100000000000
2024-03-01,1000-10000,281,1034126.6271970000000000
2024-03-01,10000-100000,236,8651669.7945340000000000
2024-03-01,100000-1000000,170,52021438.658792000000
2024-03-01,1000000-10000000,9,18138703.934001000000
2024-03-01,>=10000000,1,11960420.011679000000
2024-04-01,<0.01,4,0.009508000000000000000000
2024-04-01,0.01-0.1,12,0.58317000000000000000
2024-04-01,0.1-1,31,15.86600600000000000000
2024-04-01,1-10,155,795.50821500000000000000
2024-04-01,10-100,372,14892.1363010000000000
2024-04-01,100-1000,348,135750.8051490000000000
2024-04-01,1000-10000,209,711568.3994890000000000
2024-04-01,10000-100000,131,5153284.8559800000000000
2024-04-01,100000-1000000,132,31564736.169097000000
2024-04-01,1000000-10000000,9,17384275.682050000000
2024-04-01,>=10000000,5,147033208.989152000000
2024-05-01,<0.01,10,0.03623500000000000000
2024-05-01,0.01-0.1,20,1.06853700000000000000
2024-05-01,0.1-1,60,24.07450900000000000000
2024-05-01,1-10,188,917.77009700000000000000
2024-05-01,10-100,512,21839.8227740000000000
2024-05-01,100-1000,455,178446.0084160000000000
2024-05-01,1000-10000,246,866563.4565290000000000
2024-05-01,10000-100000,158,5217701.0740770000000000
2024-05-01,100000-1000000,54,12309626.902056000000
2024-05-01,1000000-10000000,4,16213420.588731000000
2024-05-01,>=10000000,3,71019526.767384000000
2024-06-01,<0.01,3,0.002522000000000000000000
2024-06-01,0.01-0.1,23,1.13430700000000000000
2024-06-01,0.1-1,62,27.18243500000000000000
2024-06-01,1-10,284,1408.99978200000000000000
2024-06-01,10-100,511,21619.1317680000000000
2024-06-01,100-1000,590,236390.6858820000000000
2024-06-01,1000-10000,306,1078508.8930270000000000
2024-06-01,10000-100000,137,4799474.2342200000000000
2024-06-01,100000-1000000,85,23074317.605220000000
2024-06-01,1000000-10000000,15,62392611.250936000000
2024-06-01,>=10000000,3,34353323.427290000000
2024-07-01,<0.01,8,0.03613400000000000000
2024-07-01,0.01-0.1,31,1.49227000000000000000
2024-07-01,0.1-1,68,29.27133700000000000000
2024-07-01,1-10,262,1154.62471400000000000000
2024-07-01,10-100,539,23829.9593890000000000
2024-07-01,100-1000,858,342575.2201470000000000
2024-07-01,1000-10000,297,1097636.4196630000000000
2024-07-01,10000-100000,152,5812795.3728050000000000
2024-07-01,100000-1000000,130,48278538.743372000000
2024-07-01,1000000-10000000,26,79057610.660772000000
2024-07-01,>=10000000,5,73690073.664249000000
2024-08-01,<0.01,4,0.01460200000000000000
2024-08-01,0.01-0.1,28,1.32385900000000000000
2024-08-01,0.1-1,79,40.48779400000000000000
2024-08-01,1-10,332,1604.69491100000000000000
2024-08-01,10-100,647,29034.5247840000000000
2024-08-01,100-1000,754,283778.4108510000000000
2024-08-01,1000-10000,330,1140541.0018540000000000
2024-08-01,10000-100000,182,7909811.2875580000000000
2024-08-01,100000-1000000,507,192715510.043521000000
2024-08-01,1000000-10000000,44,194351069.082818000000
2024-09-01,<0.01,29,0.091792000000000000000000
2024-09-01,0.01-0.1,23,1.06683700000000000000
2024-09-01,0.1-1,81,32.31230600000000000000
2024-09-01,1-10,311,1339.66397800000000000000
2024-09-01,10-100,614,28002.6001540000000000
2024-09-01,100-1000,812,314853.9282530000000000
2024-09-01,1000-10000,276,956021.2412080000000000
2024-09-01,10000-100000,151,6355235.6859300000000000
2024-09-01,100000-1000000,135,58424234.529443000000
2024-09-01,1000000-10000000,35,131487041.396210000000
2024-09-01,>=10000000,3,56599141.830000000000
2024-10-01,<0.01,6,0.01143900000000000000
2024-10-01,0.01-0.1,21,1.04865000000000000000
2024-10-01,0.1-1,87,42.05412200000000000000
2024-10-01,1-10,409,1968.46416800000000000000
2024-10-01,10-100,624,24920.9004750000000000
2024-10-01,100-1000,720,282042.2969380000000000
2024-10-01,1000-10000,337,1215799.8858900000000000
2024-10-01,10000-100000,100,3625294.0752160000000000
2024-10-01,100000-1000000,166,63373381.666627000000
2024-10-01,1000000-10000000,49,149671995.715612000000
2024-10-01,>=10000000,5,84934740.300000000000
2024-11-01,<0.01,5,0.016359000000000000000000
2024-11-01,0.01-0.1,13,0.59735300000000000000
2024-11-01,0.1-1,78,43.26493200000000000000
2024-11-01,1-10,317,1510.49145600000000000000
2024-11-01,10-100,726,30345.2444890000000000
2024-11-01,100-1000,728,265440.1220540000000000
2024-11-01,1000-10000,336,1071618.3437290000000000
2024-11-01,10000-100000,209,8272645.1965960000000000
2024-11-01,100000-1000000,254,84917936.232293000000
