month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2023-08-01,342,286,166922073653,166922.073653000000,42,46,56
2023-09-01,398,313,11754392814413,11754392.814413000000,59,58,70
2023-10-01,467,372,11174049107867,11174049.107867000000,67,66,85
2023-11-01,388,319,10681050407202,10681050.407202000000,82,87,103
2023-12-01,930,703,48659928682906,48659928.682906000000,98,179,203
2024-01-01,1168,853,136678742783755,136678742.7837550000,128,120,156
2024-02-01,1425,883,199150689922285,199150689.9222850000,140,138,170
2024-03-01,1826,1163,200680417418368,200680417.4183680000,146,160,186
2024-04-01,4630,2444,367805265897098,367805265.8970980000,189,168,226
2024-05-01,3378,1901,233058821828142,233058821.8281420000,229,199,263
2024-06-01,3424,1895,228059041359275,228059041.3592750000,208,207,255
2024-07-01,3961,2304,480623847050209,480623847.0502090000,209,202,259
2024-08-01,3789,2436,232333980511349,232333980.5113490000,218,209,272
2024-09-01,2725,1832,168622339274196,168622339.2741960000,184,175,225
2024-10-01,2914,1838,225193812383698,225193812.3836980000,172,151,215
2024-11-01,4091,2573,343905611771287,343905611.7712870000,193,182,242
2024-12-01,3107,1943,361992444233207,361992444.2332070000,176,180,235
2025-01-01,2688,1849,162027817999551,162027817.9995510000,220,192,273
2025-02-01,7652,4788,584370703232565,584370703.2325650000,309,294,387
2025-03-01,10547,6454,558209842656657,558209842.6566570000,377,372,472
2025-04-01,10954,6866,350689013599901,350689013.5999010000,363,365,462
2025-05-01,9276,5968,366200065144851,366200065.1448510000,356,357,457
2025-06-01,8203,5119,162264917269825,162264917.2698250000,346,326,439
2025-07-01,9791,5835,206455211122121,206455211.1221210000,397,380,530
2025-08-01,12932,7723,491948947170490,491948947.1704900000,528,477,679
2025-09-01,19454,13522,2149904914288043,2149904914.2880430000,647,461,782
2025-10-01,29176,16402,2321253316572514,2321253316.5725140000,866,708,1087
2025-11-01,29401,16805,3220924218606658,3220924218.6066580000,825,681,979
2025-12-01,30202,16549,2490186516651760,2490186516.6517600000,1168,774,1361
2026-01-01,39965,21081,5106567859703758,5106567859.7037580000,1354,1205,1929
2026-02-01,53472,25947,6550430347732843,6550430347.7328430000,1742,1228,2042
2026-03-01,63208,26557,8350902142123470,8350902142.1234700000,1969,1206,2280
2026-04-01,54278,23960,10175163046856574,10175163046.8565740000,1780,1694,2475
2026-05-01,41357,19447,6988086387234319,6988086387.2343190000,1713,1785,2585
2026-06-01,44566,20165,6791831292720435,6791831292.7204350000,1531,1728,2392
