month,size_bucket,transfer_count,bucket_volume
2023-08-01,<0.01,83,0.275298000000000000000000
2023-08-01,0.01-0.1,78,2.17020000000000000000
2023-08-01,0.1-1,23,12.35394700000000000000
2023-08-01,1-10,26,100.58433500000000000000
2023-08-01,10-100,44,1860.1499560000000000
2023-08-01,100-1000,60,20573.3570470000000000
2023-08-01,1000-10000,27,100868.5129190000000000
2023-08-01,10000-100000,1,43504.669951000000
2023-09-01,0.01-0.1,1,0.01808200000000000000
2023-09-01,0.1-1,2,1.72266400000000000000
2023-09-01,1-10,18,108.27816200000000000000
2023-09-01,10-100,86,4467.8761840000000000
2023-09-01,100-1000,57,20191.6174880000000000
2023-09-01,1000-10000,92,440381.9081130000000000
2023-09-01,10000-100000,108,4748396.8285860000000000
2023-09-01,100000-1000000,33,5534861.319911000000
2023-09-01,1000000-10000000,1,1005983.245223000000
2023-10-01,<0.01,1,0.000001000000000000000000
2023-10-01,0.1-1,2,0.48047600000000000000
2023-10-01,1-10,24,131.97122800000000000000
2023-10-01,10-100,95,3756.9707880000000000
2023-10-01,100-1000,75,28069.2036600000000000
2023-10-01,1000-10000,109,555947.4303770000000000
2023-10-01,10000-100000,130,4806380.4127190000000000
2023-10-01,100000-1000000,31,5779762.638618000000
2023-11-01,<0.01,2,0.00484000000000000000
2023-11-01,0.1-1,1,0.41788100000000000000
2023-11-01,1-10,14,49.10295900000000000000
2023-11-01,10-100,85,4123.2092880000000000
2023-11-01,100-1000,92,35502.2185620000000000
2023-11-01,1000-10000,84,357904.1368780000000000
2023-11-01,10000-100000,95,4230692.6454760000000000
2023-11-01,100000-1000000,14,3677779.671318000000
2023-11-01,1000000-10000000,1,2374999.000000000000
2023-12-01,0.1-1,5,2.23023800000000000000
2023-12-01,1-10,14,80.5177270000000000
2023-12-01,10-100,231,9852.0480360000000000
2023-12-01,100-1000,169,63789.1508760000000000
2023-12-01,1000-10000,178,543062.2417160000000000
2023-12-01,10000-100000,304,12429006.9643420000000000
2023-12-01,100000-1000000,17,5673228.291115000000
2023-12-01,1000000-10000000,10,17325779.048856000000
2023-12-01,>=10000000,1,12615128.190000000000
2024-01-01,<0.01,3,0.00373400000000000000
2024-01-01,0.1-1,4,2.12295900000000000000
2024-01-01,1-10,18,86.69143300000000000000
2024-01-01,10-100,178,8752.0389020000000000
2024-01-01,100-1000,352,149730.2080700000000000
2024-01-01,1000-10000,304,951074.0584040000000000
2024-01-01,10000-100000,186,7996763.850270000000
2024-01-01,100000-1000000,101,31906412.598749000000
2024-01-01,1000000-10000000,19,63665921.211234000000
2024-01-01,>=10000000,3,32000000.000000000000
2024-02-01,<0.01,14,0.030905000000000000000000
2024-02-01,0.01-0.1,11,0.40996100000000000000
2024-02-01,0.1-1,14,5.53847600000000000000
2024-02-01,1-10,43,168.57298200000000000000
2024-02-01,10-100,155,6318.6778920000000000
2024-02-01,100-1000,255,96031.8860670000000000
2024-02-01,1000-10000,304,1263141.6441540000000000
2024-02-01,10000-100000,371,16344674.3193670000000000
2024-02-01,100000-1000000,211,42588615.900366000000
2024-02-01,1000000-10000000,47,138851732.942115000000
2024-03-01,0.01-0.1,5,0.12940100000000000000
2024-03-01,0.1-1,6,3.20704200000000000000
2024-03-01,1-10,28,152.95622600000000000000
2024-03-01,10-100,91,3656.0946920000000000
2024-03-01,100-1000,223,98827.0871310000000000
2024-03-01,1000-10000,485,2117451.5728490000000000
2024-03-01,10000-100000,645,26746451.8405730000000000
2024-03-01,100000-1000000,298,63929647.324278000000
2024-03-01,1000000-10000000,45,107784227.206176000000
2024-04-01,<0.01,11,0.023287000000000000000000
2024-04-01,0.01-0.1,6,0.35756000000000000000
2024-04-01,0.1-1,41,15.27355600000000000000
2024-04-01,1-10,82,387.07991900000000000000
2024-04-01,10-100,232,10047.7724020000000000
2024-04-01,100-1000,411,193763.0243980000000000
