size_bucket,transfer_count,bucket_volume
<0.01,8028,17.108358000000000000000000
0.01-0.1,6850,280.19825100000000000000
0.1-1,15526,7217.66631700000000000000
1-10,30802,133936.13557200000000000000
10-100,74144,3308853.0409930000000000
100-1000,105402,44080439.0018730000000000
1000-10000,106673,387456370.3054930000000000
10000-100000,82305,3508939576.9272940000000000
100000-1000000,75008,20518760964.724293000000
1000000-10000000,9037,23062173222.159330000000
>=10000000,617,12763097040.937471000000
