month,mint_event_count,mint_transaction_count,unique_mint_recipients,raw_minted_amount,minted_volume,burn_event_count,burn_transaction_count,unique_burn_senders,raw_burned_amount,burned_volume,net_issuance,cumulative_net_issuance
2024-08-01,2,2,1,300000000000000000000,300.0000000000000000,2,2,1,300000000000000000000,300.0000000000000000,0E-16,0E-16
2024-09-01,17,17,1,1356364000000000000000000,1356364.000000000000,5,5,1,336000000000000000000,336.0000000000000000,1356028.0000000000000000,1356028.0000000000000000
2024-10-01,16,16,1,47356254000000000000000000,47356254.000000000000,26,26,1,4140000000000000000000,4140.0000000000000000,47352114.0000000000000000,48708142.0000000000000000
2024-11-01,0,0,0,0,0E-36,11,11,1,48706535450000000000000000,48706535.450000000000,-48706535.450000000000000000000000000000000000,1606.550000000000000000000000000000000000
2024-12-01,11,11,1,57600711000000000000000000,57600711.000000000000,0,0,0,0,0E-36,57600711.000000000000000000000000000000000000,57602317.550000000000000000000000000000000000
2025-01-01,12,12,1,22310315000000000000000000,22310315.000000000000,0,0,0,0,0E-36,22310315.000000000000000000000000000000000000,79912632.550000000000000000000000000000000000
2025-02-01,6,6,1,11925000000000000000000000,11925000.000000000000,0,0,0,0,0E-36,11925000.000000000000000000000000000000000000,91837632.550000000000000000000000000000000000
2025-03-01,9,9,1,107800060000000000000000000,107800060.00000000,3,3,1,93000000000000000000,93.0000000000000000,107799967.0000000000000000,199637599.550000000000000000000000000000000000
2025-04-01,5,5,1,50500005000000000000000000,50500005.000000000000,1,1,1,5000000000000000000,5.0000000000000000,50500000.0000000000000000,250137599.550000000000000000000000000000000000
2025-05-01,5,5,1,1208000000000000000000,1208.0000000000000000,10,10,1,8000625000000000000000000,8000625.000000000000,-7999417.0000000000000000,242138182.550000000000000000000000000000000000
2025-06-01,12,12,1,147200100000000000000000000,147200100.00000000,0,0,0,0,0E-36,147200100.000000000000000000000000000000000000,389338282.550000000000000000000000000000000000
2025-07-01,9,9,1,147500000000000000000000000,147500000.00000000,1,1,1,55000000000000000000,55.0000000000000000,147499945.0000000000000000,536838227.550000000000000000000000000000000000
2025-08-01,8,8,1,100207607000000000000000000,100207607.000000000000,5,5,1,21000350000000000000000000,21000350.000000000000,79207257.000000000000,616045484.550000000000000000000000000000000000
2025-09-01,15,15,1,171078269520000000000000000,171078269.52000000,9,9,1,86332247880002247050972416,86332247.880002247051,84746021.639997752949,700791506.189997752949000000000000000000000000
2025-10-01,14,14,1,167641230060000000000000000,167641230.06000000,7,7,1,63240327000000000000000000,63240327.000000000000,104400903.060000000000,805192409.249997752949000000000000000000000000
2025-11-01,12,12,1,224500000000000000000000000,224500000.00000000,4,4,1,3799998832652478978088212,3799998.832652478978,220700001.167347521022,1025892410.417345273971000000000000000000000000
2025-12-01,7,7,1,87403463680000000000000000,87403463.680000000000,9,9,1,70094949279994191421846358,70094949.279994191422,17308514.400005808578,1043200924.817351082549000000000000000000000000
2026-01-01,6,6,1,70000060000000000000000000,70000060.000000000000,6,6,1,16750235779954645272268752,16750235.779954645272,53249824.220045354728,1096450749.037396437277000000000000000000000000
2026-02-01,10,10,1,164758261000000000000000000,164758261.00000000,13,13,1,22535257201786355183900164,22535257.201786355184,142223003.798213644816,1238673752.835610082093000000000000000000000000
2026-03-01,16,16,2,151955679000000000000000000,151955679.00000000,38,38,3,333135686540000000000000000,333135686.54000000,-181180007.54000000,1057493745.295610082093000000000000000000000000
2026-04-01,55,55,4,524371669830000000000000000,524371669.83000000,90,90,3,390705143070000000000000000,390705143.07000000,133666526.76000000,1191160272.055610082093000000000000000000000000
2026-05-01,81,81,1,298199465310000000000000000,298199465.31000000,103,103,5,404304810220573895754848683,404304810.22057390,-106105344.91057390,1085054927.145036182093000000000000000000000000
2026-06-01,21,21,1,71082176000000000000000000,71082176.000000000000,74,74,4,405066377592664769850000000,405066377.59266477,-333984201.592664770000,751070725.552371412093000000000000000000000000
