month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2024-08-01,400.0000000000000000,3,3,3,3
2024-09-01,3141773.000000000000,8,5,55,55
2024-10-01,56855742.530000000000,25,18,189,189
2024-11-01,51202013.890000000000,21,4,109,109
2024-12-01,131045400.35416807,874,853,1164,1172
2025-01-01,430503493.05510351,778,661,1441,2045
2025-02-01,465800945.91518667,957,749,1840,3360
2025-03-01,720450089.06857627,894,647,2112,3418
2025-04-01,1279277899.45951866,1252,900,4089,6212
2025-05-01,1367120499.92806131,1302,892,4309,6501
2025-06-01,2461819837.35304208,1574,1001,7355,11406
2025-07-01,3238560037.02093259,2690,1804,12216,18091
2025-08-01,3107785489.37747433,2604,1503,11960,19672
2025-09-01,4245724881.77095070,2759,1501,11219,19404
2025-10-01,5423012201.99230290,3265,1746,16857,27325
2025-11-01,4545409404.40174816,4629,2946,17708,27352
2025-12-01,4300998707.85020957,3163,1476,14099,22903
2026-01-01,3477090025.95905703,3288,1488,13014,21119
2026-02-01,4479374427.76384013,3493,1758,14607,22856
2026-03-01,9701962013.45356444,3892,2094,17609,28445
2026-04-01,15495776638.50531389,3869,1682,20828,34528
2026-05-01,11507866427.25391353,3429,1438,17018,28385
2026-06-01,9206687288.61758086,3614,1765,16540,28902
