size_bucket,transfer_count,bucket_volume
<0.01,7088,11.525275719801177001000000000000000000
0.01-0.1,4303,160.50114273522450209200
0.1-1,7255,3276.48178372040347955100
1-10,19314,88494.08788738390018517600
10-100,51087,2134015.3526669240922476
100-1000,51719,19594449.0224746749955498
1000-10000,47776,180755300.8681628803139795
10000-100000,55243,2258795001.8830660530149484
100000-1000000,45330,16496111617.455047572015
1000000-10000000,17132,46271043861.186593885491
>=10000000,1108,20468939450.156443153754
