month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2024-10-01,25229.550000000000,4,4,4,4
2024-11-01,135350.000000000000,4,1,8,8
2024-12-01,16568709.701689494445,796,792,983,984
2025-01-01,40968904.504566756004,474,389,616,621
2025-02-01,70144050.346401774974,358,263,444,444
2025-03-01,239154999.85013766,371,282,592,600
2025-04-01,531988916.17884357,600,435,1320,1357
2025-05-01,610250662.52519575,554,420,1200,1259
2025-06-01,628719292.95292048,633,444,2551,2744
2025-07-01,744362964.85362245,1200,922,4466,4746
2025-08-01,865565002.09051920,1281,875,4010,4590
2025-09-01,1068244347.65125096,1060,664,2646,3303
2025-10-01,1600586418.59562652,1447,933,4461,5040
2025-11-01,1323229099.71738071,2754,2181,7370,8172
2025-12-01,1360408911.85147632,1453,829,5343,6015
2026-01-01,1691673074.28470878,1579,821,5238,5802
2026-02-01,2279870656.17817067,1865,1189,6385,6999
2026-03-01,3529053860.90557819,2255,1514,8013,8287
2026-04-01,5045381345.80797626,1874,1012,9227,9477
2026-05-01,6330229747.15736254,1693,869,8467,8734
2026-06-01,3701700348.85333140,1923,1195,7510,7576
