month,funder_rank,funded_by_id,funded_by_address,newly_funded_addresses,raw_funded_volume,funded_volume
2024-10-01,1,2028093831,b93e3d70ac9cacd51764f09ae0d01b905dc291e1,3,229550000000000000000,229.5500000000000000
2024-11-01,1,2028114372,26c50e673fca05131c9b9f23d213b977d9a34c77,1,20150000000000000000000,20150.000000000000
2024-11-01,2,1098384554,0b5c4a7fcda49e0a8661419bb55b86161a86db2a,1,50000000000000000000,50.0000000000000000
2024-12-01,1,2028093831,b93e3d70ac9cacd51764f09ae0d01b905dc291e1,221,23431690000000000000000,23431.690000000000
2024-12-01,2,2028114372,26c50e673fca05131c9b9f23d213b977d9a34c77,180,20995940000000000000000,20995.940000000000
2024-12-01,3,1065481746,1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,101,7584043365500000000000,7584.0433655000000000
2024-12-01,4,1098384554,0b5c4a7fcda49e0a8661419bb55b86161a86db2a,93,16525620000000000000000,16525.620000000000
2024-12-01,5,1098402678,1440ec793ae50fa046b95bfeca5af475b6003f9e,83,11055420000000000000000,11055.420000000000
2024-12-01,6,1489735160,58b704065b7aff3ed351052f8560019e05925023,26,12263400000000000000000,12263.400000000000
2024-12-01,7,230510657,b8ba36e591facee901ffd3d5d82df491551ad7ef,3,73611613060000000000,73.6116130600000000
2024-12-01,8,386939649,c333e80ef2dec2805f239e3f1e810612d294f771,2,3039491000000000000000000,3039491.000000000000
2024-12-01,9,-43630165,f3391b687474e7d7b60c223c7a26332702d3c3c4,2,450000000000000000000,450.0000000000000000
2024-12-01,10,-137699877,1280dda612c681e96c70642eb85e331fc820e5c9,2,259380000000000000000,259.3800000000000000
2024-12-01,11,1648553634,e146c01102e02344d4b1e59fd74b5054979d13a5,2,200000000000000000000,200.0000000000000000
2024-12-01,12,-137612177,9bb676c4fa71e165b66de0847b8ac90f7898cc6e,2,176780000000000000000,176.7800000000000000
2024-12-01,13,-137689232,57dfbb4bf1e6ef8bf224eb51ed4d1a82e04cf0fa,2,81010000000000000000,81.0100000000000000
2024-12-01,14,390036908,66e092fd00c4e4eb5bd20f5392c1902d738ae7bc,2,60000000000000000000,60.0000000000000000
2024-12-01,15,1902516988,7c64dfb1f69cf65ca0b39673e15ff6d33a6af45d,2,42774944000000000000,42.7749440000000000
2024-12-01,16,-138055852,c6ef56d9f81ccfb0df8421b247b3ec45a0d8a037,2,2000000000000000000,2.0000000000000000
2024-12-01,17,-50719393,15bd35fb388acfc63e02f21bacc6b5768ba70f8b,1,3000000000000000000000000,3000000.000000000000
2024-12-01,18,1533544671,38ccc68de35eb29f09ef832d45fbf6ed563b6a64,1,1000200000000000000000000,1000200.000000000000
2024-12-01,19,1592958619,00d7420cbc5209f66df9cd5456d2836a15851d1b,1,400250000000000000000000,400250.000000000000
2024-12-01,20,-137996994,17373a1351cd130bb145fa3541eb9234024903b6,1,906000000000000000000,906.0000000000000000
2024-12-01,21,-138233533,4506cbb439cfc5102fe0fc87b2ebb5fb04e59a37,1,906000000000000000000,906.0000000000000000
2024-12-01,22,1856791459,c8ac46151c3509073a4df51613f126ed1d63d87f,1,727536860900000000000,727.5368609000000000
2024-12-01,23,-140438784,317830f8a05d068e7dd5f922492102034da85f85,1,591900000000000000000,591.9000000000000000
2024-12-01,24,-150923307,147efe07946f58d8b3a515e867191d62c8902e13,1,452130000000000000000,452.1300000000000000
2024-12-01,25,-137683505,385d7eac116f5745a8159fe6b9f078049d94034c,1,448710000000000000000,448.7100000000000000
2024-12-01,26,-138271779,4b852a6bf60daa5f07b43669e1afa76175f4d2fb,1,393550000000000000000,393.5500000000000000
2024-12-01,27,-146096031,6eaec49b0d634b3bd26328580343004eaefbdac2,1,360300000000000000000,360.3000000000000000
2024-12-01,28,-147452606,65220af95583dfa95c78cb40d79ff92c1369cc2e,1,343446365100000000000,343.4463651000000000
2024-12-01,29,-137682100,7e29546a0c6ad12aee492ac0fe079f90c6b6bb15,1,282770000000000000000,282.7700000000000000
2024-12-01,30,2064903162,1b2ada5ae2e63133b612594cbcf8e51e7f4ac1d5,1,267260000000000000000,267.2600000000000000
2024-12-01,31,-139867159,9c61ea41d0546d5ff39f32f31d1b5617c8308de9,1,262000000000000000000,262.0000000000000000
2024-12-01,32,-137769322,b33067cd60e0b1930f6423daa0c767ce00d142ab,1,223670000000000000000,223.6700000000000000
2024-12-01,33,-137684885,5999c1e04b89f8b398d828dd12207dcbf2b2b048,1,221210000000000000000,221.2100000000000000
2024-12-01,34,-138187014,4d7ca6735a76bbb9758fb4ec54a309506a2d28c7,1,219710000000000000000,219.7100000000000000
2024-12-01,35,-137674226,d461c0dd649397f8a2ccc96414187b391ab912a8,1,210000000000000000000,210.0000000000000000
2024-12-01,36,-141458654,2a09bf60c56617ca7a169cd1c553dd261a703017,1,200000000000000000000,200.0000000000000000
2024-12-01,37,962802819,65cd4a44b9d815f1af6c76df79da249879894e44,1,173970000000000000000,173.9700000000000000
2024-12-01,38,-138676000,8ceb2f6928f1457d4767fff1c57c1dc156c09828,1,129690000000000000000,129.6900000000000000
2024-12-01,39,-136899913,466e893fbc2d2065fa1b997480abc5e8570ccd1f,1,125690000000000000000,125.6900000000000000
2024-12-01,40,-137676512,58c4ded768adb00be26860d5d58ffac949cb8fbe,1,109630000000000000000,109.6300000000000000
2024-12-01,41,-138978350,31a60cd6014980200aca7c258bae1d0e74e51ad4,1,106680000000000000000,106.6800000000000000
2024-12-01,42,-142624761,a662f31a89c7ec2c372ef102602cfa8ec1bad849,1,100470000000000000000,100.4700000000000000
2024-12-01,43,1910356971,ee8df7b47add9d3f7444c365a01cd6e70c80f5a8,1,100000000000000000000,100.0000000000000000
2024-12-01,44,2055775761,3eb568f793df923e6d4d16d36c3bba290c3dbc07,1,100000000000000000000,100.0000000000000000
2024-12-01,45,-137766265,bcbd16d45309faad0a29cac339c4176e2ea2b6f3,1,100000000000000000000,100.0000000000000000
2024-12-01,46,-140959585,25fdd694b06235d509f4508ed5ee7817939e73d7,1,91489336800000000000,91.4893368000000000
2024-12-01,47,-98790315,6751d27cbdfdb89fe78b4f376c57e81064e4bb99,1,88390000000000000000,88.3900000000000000
2024-12-01,48,-138047591,c088406f88c6409b6c5128faba505cda59eb4c6f,1,85530000000000000000,85.5300000000000000
2024-12-01,49,-139368781,a4f970d728f3595f29637daf8f6b92b1ce305adb,1,85150000000000000000,85.1500000000000000
2024-12-01,50,-137998272,120e4a63d72cd128eec5af975f45c08671ba2595,1,84490000000000000000,84.4900000000000000
2024-12-01,51,783948579,0e98af7c6c027846c258fe3387d89ac8deb48528,1,84220000000000000000,84.2200000000000000
2024-12-01,52,-111206259,0fd5e61378f27afd92e9592f736f9aea8e669e2e,1,84000000000000000000,84.0000000000000000
2024-12-01,53,-137717261,85ca08fd6615fd9cd7a85a7f46fd292ee93eee8d,1,84000000000000000000,84.0000000000000000
2024-12-01,54,-137679348,c888ed0e14c9505828f6958c6996aa9aa026d3e7,1,84000000000000000000,84.0000000000000000
2024-12-01,55,1376202093,7ac6f1383281919f776f2ed54964f393c3043c8a,1,84000000000000000000,84.0000000000000000
2024-12-01,56,1772119694,36da3014b0a1d7801106dc11177071622f050b8f,1,84000000000000000000,84.0000000000000000
2024-12-01,57,-137681082,e40ecfc96e4a9d50cd0352b66afb13f88dcd4685,1,81480000000000000000,81.4800000000000000
2024-12-01,58,1994713774,ca1ab623489d690f8f3db2c6b877cfda5f1ed876,1,80570000000000000000,80.5700000000000000
2024-12-01,59,-138184324,e1f991ac9d72fecb14ce811593445448d86d9e26,1,68000000000000000000,68.0000000000000000
2024-12-01,60,-137667325,7246e6c9a3510e668995b62ebafb3a1e95dcc39f,1,61710000000000000000,61.7100000000000000
2024-12-01,61,-138283914,ab363275c847ecd5979c846b713552f515b8b696,1,56575455800000000000,56.5754558000000000
2024-12-01,62,797850625,3d8fc1cffaa110f7a7f9f8bc237b73d54c4abf61,1,50000000000000000000,50.0000000000000000
2024-12-01,63,-147306255,0f0d7aabca7f9895daa63e2159ffb8b7c6bbdefd,1,42350000000000000000,42.3500000000000000
2024-12-01,64,2032015537,77bfd63fa74d4cd881c3c60afe25240bf7c4969a,1,38180000000000000000,38.1800000000000000
2024-12-01,65,-139487924,11efce370f532a6e5144f13f8181b958133d9df1,1,38180000000000000000,38.1800000000000000
2024-12-01,66,-141816343,4ad07ea6bec3ea85abee2992f5a0e9d0bcaeb426,1,37180000000000000000,37.1800000000000000
2024-12-01,67,-153317292,38b06ecc81a80d7959db6107880e97ce0e0ed658,1,26070000000000000000,26.0700000000000000
2024-12-01,68,996421067,338b8a098db2175e79c32e253845dc364181c9ef,1,22790000000000000000,22.7900000000000000
2024-12-01,69,-151436279,9a9ca176c35d2135d122f54b95df34bbbff88868,1,22320000000000000000,22.3200000000000000
2024-12-01,70,1292963442,d6232d19d71e2be7ea9d3a0a33a4b4c7a3993621,1,20000000000000000000,20.0000000000000000
2024-12-01,71,-139106488,a082c92ac4f9484b1eed905723e2b0de97c6646f,1,15230000000000000000,15.2300000000000000
2024-12-01,72,1922925914,6470737d4e8ab51a9577689a2c6d3e1fa3af18c8,1,15230000000000000000,15.2300000000000000
2024-12-01,73,-135517794,997ba5b63240ff93a7050b8f1f2e45ab85a7bf13,1,14200000000000000000,14.2000000000000000
2024-12-01,74,-138911842,118818289fb99804e1fadea098df4d85c0ef5a2d,1,13430000000000000000,13.4300000000000000
2024-12-01,75,-139642729,32a5b42b67c8ae44d8833e3aa664bfe2d7d81985,1,13080000000000000000,13.0800000000000000
2024-12-01,76,2122585778,fb21c491ec51585186a1cfd465a5ff1862cf0256,1,10000000000000000000,10.0000000000000000
2024-12-01,77,2072982771,1f464fb75845a5282f49c9d59bcf825bbf22088f,1,10000000000000000000,10.0000000000000000
2024-12-01,78,-150943966,bbe95e06f955ff69e07db754c08d2c1a0e23af4f,1,9969906806953293000,9.9699068069532930
2024-12-01,79,1051773913,19632207b991d79013e7df1297cd0e0fb50775a2,1,7600000000000000000,7.6000000000000000
2024-12-01,80,729685534,de26a4c2e69df12d98ecd38dc204b5bdf850a80c,1,1002615219308390000,1.00261521930839000000
2024-12-01,81,1519917298,2c668446ff9693836e252dc4baf1e99d7c13dc7b,1,10000000000000000,0.01000000000000000000
2025-01-01,1,1065481746,1c727a55ea3c11b0ab7d3a361fe0f3c47ce6de5d,159,45918519256700000000000,45918.519256700000
2025-01-01,2,2028093831,b93e3d70ac9cacd51764f09ae0d01b905dc291e1,34,3056970000000000000000,3056.9700000000000000
2025-01-01,3,2028114372,26c50e673fca05131c9b9f23d213b977d9a34c77,28,3483400000000000000000,3483.4000000000000000
2025-01-01,4,1098384554,0b5c4a7fcda49e0a8661419bb55b86161a86db2a,12,597410000000000000000,597.4100000000000000
2025-01-01,5,1489735160,58b704065b7aff3ed351052f8560019e05925023,9,1418140000000000000000,1418.1400000000000000
2025-01-01,6,1098402678,1440ec793ae50fa046b95bfeca5af475b6003f9e,9,1141700000000000000000,1141.7000000000000000
2025-01-01,7,-173891708,04ff7d355d769330e20a90a38b448b69146b86f6,3,694560000000000000000,694.5600000000000000
2025-01-01,8,1987417797,db89b138fb624304a192f3aea966b5a96a8ee2e9,3,3000000000000000000,3.0000000000000000
2025-01-01,9,1648553634,e146c01102e02344d4b1e59fd74b5054979d13a5,2,20500000000000000000000,20500.000000000000
2025-01-01,10,-179638199,12ab920fb816480079c598b6f21af39891153ffa,2,269778925340988165572,269.7789253409881656
2025-01-01,11,1407933606,80fe8c38aeee609866d7c1001121557e408e1da8,2,184246686600000000000,184.2466866000000000
2025-01-01,12,980904810,29764bcbc09529b45abbf246d6d12481e6cea468,2,169000000000000000000,169.0000000000000000
2025-01-01,13,2055775761,3eb568f793df923e6d4d16d36c3bba290c3dbc07,2,49000000000000000000,49.0000000000000000
2025-01-01,14,-137770607,0f01673e4db6fb91bd2d727c5f0768a5ecf0e0ed,2,41920000000000000000,41.9200000000000000
2025-01-01,15,1519917298,2c668446ff9693836e252dc4baf1e99d7c13dc7b,2,2300000000000000000,2.3000000000000000
2025-01-01,16,-138055852,c6ef56d9f81ccfb0df8421b247b3ec45a0d8a037,2,2000000000000000000,2.0000000000000000
2025-01-01,17,2087645946,13dda4af1d87c404f611dfc1555ed7074fe9e418,1,100000000000000000000000,100000.000000000000
2025-01-01,18,-139773238,0a8a2da47c97029e72ba7bd3fa45b1cdec99e3fd,1,27903837811300000000000,27903.837811300000
2025-01-01,19,386939649,c333e80ef2dec2805f239e3f1e810612d294f771,1,5002000000000000000000,5002.0000000000000000
2025-01-01,20,-107449334,2e028ea219aca7d655cdfa967fe50caa2899f3ae,1,3309739530288007926725,3309.7395302880079267
2025-01-01,21,1299754027,83f7f762b1345ceb8e26ba231391ac543480b696,1,2400000000000000000000,2400.0000000000000000
2025-01-01,22,-137690841,273ea9c5cd27191fafc52d3becbf07ca41bd524a,1,1960000000000000000000,1960.0000000000000000
2025-01-01,23,-169485350,714ae43b5314bc8e970542ff78e233285554d565,1,1550193646900000000000,1550.1936469000000000
2025-01-01,24,-138065788,18d20150b600ed6240c8cedf050bf594784993aa,1,1500000000000000000000,1500.0000000000000000
2025-01-01,25,-106337674,f861406c43f8aa464f8d35894d306e4e8a6524b3,1,1222435394100000000000,1222.4353941000000000
2025-01-01,26,-189442875,c0554a2526c9a5722a5d14d4ab2e81d2949fe039,1,998507540200000000000,998.5075402000000000
2025-01-01,27,1992620737,6aa9c4906bf76d026e297280ea9bd900bfa448d3,1,994525242600000000000,994.5252426000000000
2025-01-01,28,-185106549,0fb69f022e522c20ccd979584cb79b6ac8afecc3,1,967835754508760194000,967.8357545087601940
2025-01-01,29,-138076182,39fb08886304da15703e6a6db9a938f1855b6c46,1,907110000000000000000,907.1100000000000000
2025-01-01,30,2106404288,ca9eaa2baed244531922b08b54ddcea2fb5422b6,1,837718784371947061317,837.7187843719470613
2025-01-01,31,-138178559,a57c90f42e9183b8c645eacbdc21aa0c70c9815c,1,600930000000000000000,600.9300000000000000
2025-01-01,32,-139362192,8ccd09a789898c111da609cd49a82e8809ba0c79,1,524440000000000000000,524.4400000000000000
2025-01-01,33,-137215320,084d18dd1eed88ec4098f25b8ca6f670408d50c9,1,502150000000000000000,502.1500000000000000
2025-01-01,34,-97976602,3f1b76e17a0eccc90be464309296c8944a8b1177,1,499856840500000000000,499.8568405000000000
2025-01-01,35,798381634,1cd9ecd53328d098b522a71e4e1719d4fcb6a2ca,1,495638100000000000000,495.6381000000000000
2025-01-01,36,-116849054,9a15032e80c6c7281b89c3630f01d4f97cdf61b1,1,472820000000000000000,472.8200000000000000
2025-01-01,37,910806877,9f2950261779a266ba6c98a58174aba65a241e1a,1,452130000000000000000,452.1300000000000000
2025-01-01,38,-131598975,ae2c858d2fed77dfdd91a44e63711481cd5501fe,1,405496005380448441513,405.4960053804484415
2025-01-01,39,-183295229,918fc3ba0ba50c47aedca477dd63a098e45c1372,1,405496005380448441513,405.4960053804484415
2025-01-01,40,2012953913,13aaffade596f947010263f08d0ac513fd88f98b,1,399899199013690100000,399.8991990136901000
2025-01-01,41,980311709,4b8b1dcbcb2b40fa706b9c0dd08ffd790a7b5371,1,298668535000000000000,298.6685350000000000
2025-01-01,42,1107906351,18491056f5fb1a0f82809694f52fa30364ca1aab,1,298668535000000000000,298.6685350000000000
2025-01-01,43,-137661004,d525b06a9114ab14614174f3b2400400e5b93be5,1,280420000000000000000,280.4200000000000000
2025-01-01,44,-138356460,47804969b682695218c479ac0a13673a42418e9b,1,280000000000000000000,280.0000000000000000
2025-01-01,45,-141452723,27c70e6d660fcb5b4114c3fc3a7388ebcb9d6286,1,278000000000000000000,278.0000000000000000
2025-01-01,46,-139867159,9c61ea41d0546d5ff39f32f31d1b5617c8308de9,1,260170000000000000000,260.1700000000000000
2025-01-01,47,1699020412,00c667c45825f93aabbcbc70948e99ed582865af,1,256572687900000000000,256.5726879000000000
