month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2024-09-01,8,8,446280000000000000000000,446280.000000000000,1,2,3
2024-10-01,31,31,2315870000000000000000000,2315870.000000000000,5,2,7
2024-11-01,23,23,667347440000000000000000,667347.440000000000,5,2,7
2024-12-01,57,57,8565053128506600000000000,8565053.128506600000,15,37,52
2025-01-01,217,217,87672272857151406081411241,87672272.857151406081,78,48,126
2025-02-01,406,406,98240568156893397392179273,98240568.156893397392,208,58,266
2025-03-01,479,466,113368463660286888581153137,113368463.66028689,208,62,270
2025-04-01,787,779,236373311074390540724060015,236373311.07439054,295,91,386
2025-05-01,960,958,248851924728842852118978294,248851924.72884285,396,96,492
2025-06-01,1620,1592,481587901611801872285542301,481587901.61180187,529,99,628
2025-07-01,2585,2501,699900928838316442418018078,699900928.83831644,708,138,846
2025-08-01,2442,2337,560935160448659849108816236,560935160.44865985,750,125,875
2025-09-01,2660,2569,753618881931098296752119991,753618881.93109830,972,153,1125
2025-10-01,4149,4080,985658143076025653711929847,985658143.07602565,1136,164,1300
2025-11-01,3284,3265,739118360457863976717835673,739118360.45786398,1111,158,1269
2025-12-01,3019,2885,805883852305811725664276612,805883852.30581173,917,179,1096
2026-01-01,2672,2645,411547798941328817268208424,411547798.94132882,944,186,1130
2026-02-01,3028,2969,554620795016183927582271203,554620795.01618393,902,216,1118
2026-03-01,3370,3321,1166705597576941194417753054,1166705597.57694119,997,215,1212
2026-04-01,4358,4126,2126773208706901357337387878,2126773208.70690136,1135,231,1366
2026-05-01,3324,3165,1217652385200846881845724940,1217652385.20084688,949,270,1219
2026-06-01,3149,3044,871560800869755424266196103,871560800.86975542,845,308,1153
