month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2024-09-01,446280.000000000000,3,3,8,8
2024-10-01,2315870.000000000000,7,5,31,31
2024-11-01,667347.440000000000,7,1,23,23
2024-12-01,8565053.128506600000,52,46,57,57
2025-01-01,87672272.857151406081,126,113,217,217
2025-02-01,98240568.156893397392,266,239,406,406
2025-03-01,113368463.66028689,270,217,466,479
2025-04-01,236373311.07439054,386,314,779,787
2025-05-01,248851924.72884285,492,375,958,960
2025-06-01,481587901.61180187,628,430,1592,1620
2025-07-01,699900928.83831644,846,532,2501,2585
2025-08-01,560935160.44865985,875,531,2337,2442
2025-09-01,753618881.93109830,1125,694,2569,2660
2025-10-01,985658143.07602565,1300,744,4080,4149
2025-11-01,739118360.45786398,1269,626,3265,3284
2025-12-01,805883852.30581173,1096,494,2885,3019
2026-01-01,411547798.94132882,1130,536,2645,2672
2026-02-01,554620795.01618393,1118,506,2969,3028
2026-03-01,1166705597.57694119,1212,582,3321,3370
2026-04-01,2126773208.70690136,1366,582,4126,4358
2026-05-01,1217652385.20084688,1219,523,3165,3324
2026-06-01,871560800.86975542,1153,484,3044,3149
