month,size_bucket,transfer_count,bucket_volume
2024-09-01,100-1000,3,780.0000000000000000
2024-09-01,1000-10000,2,5500.0000000000000000
2024-09-01,100000-1000000,3,440000.000000000000
2024-10-01,10-100,2,70.0000000000000000
2024-10-01,100-1000,5,1115.0000000000000000
2024-10-01,1000-10000,6,27918.0000000000000000
2024-10-01,10000-100000,14,541767.000000000000
2024-10-01,100000-1000000,3,745000.000000000000
2024-10-01,1000000-10000000,1,1000000.000000000000
2024-11-01,100-1000,2,227.0000000000000000
2024-11-01,10000-100000,20,567000.000000000000
2024-11-01,100000-1000000,1,100120.440000000000
2024-12-01,1-10,32,64.71133860000000000000
2024-12-01,10-100,13,447.7271680000000000
2024-12-01,100-1000,4,450.6900000000000000
2024-12-01,1000-10000,3,4000.0000000000000000
2024-12-01,10000-100000,1,10000.0000000000000000
2024-12-01,1000000-10000000,4,8550090.000000000000
2025-01-01,0.01-0.1,11,0.19000000000000000000
2025-01-01,0.1-1,1,0.10000000000000000000
2025-01-01,1-10,24,78.16894389205678690000
2025-01-01,10-100,39,1875.1759447274680387
2025-01-01,100-1000,55,18237.6748039488984951
2025-01-01,1000-10000,16,50677.1695121031193222
2025-01-01,10000-100000,4,119902.1453672107504122
2025-01-01,100000-1000000,35,13002174.832579523788
2025-01-01,1000000-10000000,32,74479327.400000000000
2025-02-01,0.01-0.1,18,0.49000000000000000000
2025-02-01,0.1-1,10,5.25017936913533920000
2025-02-01,1-10,46,210.70917933527964350000
2025-02-01,10-100,133,5020.0243840340780996
2025-02-01,100-1000,91,30300.4702062828858349
2025-02-01,1000-10000,25,65423.5773659880010917
2025-02-01,10000-100000,13,273105.701226842459
2025-02-01,100000-1000000,39,15759767.934351545553
2025-02-01,1000000-10000000,31,82106734.000000000000
2025-03-01,<0.01,15,0.07960000000000000000
2025-03-01,0.01-0.1,12,0.14000000000000000000
2025-03-01,0.1-1,24,11.67019865263311919800
2025-03-01,1-10,67,268.94754276072680750000
2025-03-01,10-100,156,5311.6725311442806042
2025-03-01,100-1000,76,24527.4852061981254233
2025-03-01,1000-10000,28,73456.2896489839169303
2025-03-01,10000-100000,21,650418.5020575092820000
2025-03-01,100000-1000000,47,18088100.440835541630
2025-03-01,1000000-10000000,22,32746726.432666097986
2025-03-01,>=10000000,3,61779642.000000000000
2025-04-01,<0.01,4,0.02416991257329103900
2025-04-01,0.01-0.1,41,0.52000000000000000000
2025-04-01,0.1-1,18,10.64848967782687931400
2025-04-01,1-10,78,346.93173928171704250000
2025-04-01,10-100,202,6318.1193224544479387
2025-04-01,100-1000,119,39753.8999537777968523
2025-04-01,1000-10000,65,207515.6764250847164471
2025-04-01,10000-100000,147,5760554.6117264906470000
2025-04-01,100000-1000000,60,27601827.793709918862
2025-04-01,1000000-10000000,48,146532423.622285081165
2025-04-01,>=10000000,5,56224559.226568860968
2025-05-01,<0.01,2,0.000142566648581203000000
2025-05-01,0.01-0.1,12,0.34173987729257846700
2025-05-01,0.1-1,18,6.80000242868532020500
2025-05-01,1-10,50,204.33342542511553860000
2025-05-01,10-100,239,8574.4426834716811677
2025-05-01,100-1000,155,52168.3885771745851665
2025-05-01,1000-10000,117,519828.0932718870190962
2025-05-01,10000-100000,168,6638663.9700384886924707
2025-05-01,100000-1000000,135,42771400.732191697414
2025-05-01,1000000-10000000,61,168357514.425259186929
2025-05-01,>=10000000,3,30503563.201510648051
2025-06-01,<0.01,5,0.00001100035969177500000000000000
2025-06-01,0.01-0.1,8,0.17072382907651100000
2025-06-01,0.1-1,14,5.41326754554708274900
2025-06-01,1-10,71,322.86627186551018325400
2025-06-01,10-100,197,7544.7781665808143591
2025-06-01,100-1000,202,76712.4293113779788161
2025-06-01,1000-10000,186,778828.9476316823766260
2025-06-01,10000-100000,464,16774005.5952681546642626
2025-06-01,100000-1000000,360,128054012.487602843204
2025-06-01,1000000-10000000,112,320896468.923546992755
2025-06-01,>=10000000,1,15000000.000000000000
2025-07-01,<0.01,15,0.02347437656250484900000000000000
2025-07-01,0.01-0.1,40,0.58314536854805958800
2025-07-01,0.1-1,18,7.75980033392325725300
2025-07-01,1-10,98,453.01468688238402695600
2025-07-01,10-100,305,11008.7134342137379050
2025-07-01,100-1000,265,94532.0193286529132732
2025-07-01,1000-10000,309,1202390.2959382419453870
2025-07-01,10000-100000,824,28659433.6371151339551889
2025-07-01,100000-1000000,538,201101989.019279438765
2025-07-01,1000000-10000000,164,343919657.922003256120
