month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2024-09-01,9,9,446280000000000000000000,446280.000000000000,1,1,2
2024-10-01,39,39,2421519990000000000000000,2421519.990000000000,5,5,10
2024-11-01,21,21,562727000000000000000000,562727.000000000000,4,4,8
2024-12-01,50,43,20562755085268800000000000,20562755.085268800000,28,16,44
2025-01-01,535,356,95838408885010908524762405,95838408.885010908525,36,226,262
2025-02-01,1076,754,111444859904407010798362202,111444859.90440701,32,466,498
2025-03-01,832,662,209982892616763898472860921,209982892.61676390,44,380,424
2025-04-01,1077,924,237643348142899018490521286,237643348.14289902,56,458,514
2025-05-01,1012,972,182910806439096750349018298,182910806.43909675,70,499,569
2025-06-01,1997,1890,484407229645142405584441905,484407229.64514241,95,660,755
2025-07-01,3783,3467,728235163182070161456709469,728235163.18207016,119,1249,1368
2025-08-01,3101,2872,583239650931832530254194543,583239650.93183253,135,994,1129
2025-09-01,3342,3127,776395214254609072175903848,776395214.25460907,151,1185,1336
2025-10-01,5057,4782,999006738533083336235591923,999006738.53308334,159,1444,1603
2025-11-01,4672,4317,810408457310330369569022617,810408457.31033037,183,1653,1836
2025-12-01,3928,3635,791752815481710673489887773,791752815.48171067,223,1168,1391
2026-01-01,3509,3314,424796827962875282999392808,424796827.96287528,207,1224,1431
2026-02-01,3756,3396,598405285092068089600379917,598405285.09206809,202,1262,1464
2026-03-01,4534,4180,1268406541340567922125056880,1268406541.34056792,216,1347,1563
2026-04-01,5731,5073,2286345819745981155737510368,2286345819.74598116,286,1421,1707
2026-05-01,4203,3814,1260711477180439486891913337,1260711477.18043949,296,1128,1424
2026-06-01,4109,3813,684775682814479254960801614,684775682.81447925,361,1091,1452
