month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2024-09-01,446280.000000000000,2,2,9,9
2024-10-01,2421519.990000000000,10,8,39,39
2024-11-01,562727.000000000000,8,2,21,21
2024-12-01,20562755.085268800000,44,32,43,50
2025-01-01,95838408.885010908525,262,247,356,535
2025-02-01,111444859.90440701,498,458,754,1076
2025-03-01,209982892.61676390,424,355,662,832
2025-04-01,237643348.14289902,514,429,924,1077
2025-05-01,182910806.43909675,569,451,972,1012
2025-06-01,484407229.64514241,755,540,1890,1997
2025-07-01,728235163.18207016,1368,1032,3467,3783
2025-08-01,583239650.93183253,1129,732,2872,3101
2025-09-01,776395214.25460907,1336,861,3127,3342
2025-10-01,999006738.53308334,1603,973,4782,5057
2025-11-01,810408457.31033037,1836,1090,4317,4672
2025-12-01,791752815.48171067,1391,713,3635,3928
2026-01-01,424796827.96287528,1431,759,3314,3509
2026-02-01,598405285.09206809,1464,738,3396,3756
2026-03-01,1268406541.34056792,1563,808,4180,4534
2026-04-01,2286345819.74598116,1707,723,5073,5731
2026-05-01,1260711477.18043949,1424,650,3814,4203
2026-06-01,684775682.81447925,1452,673,3813,4109
