month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2025-03-01,18003944.572350000000,19,19,63,63
2025-04-01,52324398.517765817764,538,534,2984,4215
2025-05-01,215775367.61102976,4029,3871,26234,45990
2025-06-01,284256824.11260078,107638,106456,68013,177816
2025-07-01,610140331.32532204,16851,6782,68195,101229
2025-08-01,2678387191.35176507,14907,6414,109852,161923
2025-09-01,3457342898.02442420,36239,19344,131955,190360
2025-10-01,2716554830.89631584,12005,5387,64153,87068
2025-11-01,3153723034.39184714,6467,3219,41994,57563
2025-12-01,5856413921.84587873,11604,8413,50832,66782
2026-01-01,11328190665.83253701,7762,4308,45510,65985
2026-02-01,7196452095.03959681,4958,2212,38283,53717
2026-03-01,4777614848.66600785,3686,1682,22802,32988
2026-04-01,5367535992.80590413,4461,2303,36906,64306
2026-05-01,3323830882.29455956,4005,1449,28303,43444
2026-06-01,8512397561.81129211,3594,1670,27210,40073
