month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2025-03-01,4499593.042350000000,10,10,14,14
2025-04-01,9999427.563114813639,81,80,76,76
2025-05-01,38930683.022605051611,1101,1092,1444,1647
2025-06-01,102667465.98618549,36974,36799,41387,42097
2025-07-01,190909561.98307307,10236,7979,10994,11720
2025-08-01,495656088.51755003,7228,6379,9989,10110
2025-09-01,1542203901.33516254,23862,22003,37209,37798
2025-10-01,1353594285.28879128,8198,5425,18592,18768
2025-11-01,1705380291.62350202,3910,3167,10045,10118
2025-12-01,3344134787.60362787,8515,7320,16526,16589
2026-01-01,5371124791.30404043,4548,3671,12678,12861
2026-02-01,3306092621.93976601,2645,1872,8206,8233
2026-03-01,2579269867.73215154,1884,1317,6415,6483
2026-04-01,2589942076.70677433,2598,1923,7789,8085
2026-05-01,1645225026.49438434,2088,1159,6593,6833
2026-06-01,4213279885.86197406,2005,1302,8240,8299
