size_bucket,transfer_count,bucket_volume
<0.01,1518,1.801851492682780787000000000000000000
0.01-0.1,465,16.75363821344979306100
0.1-1,1298,537.49936307228121260100
1-10,8209,36314.11030293669195487700
10-100,63337,2814694.6884483684527949
100-1000,20553,9881467.4820248204763021
1000-10000,45490,166294591.9251623620199859
10000-100000,28665,1158721122.4408381362604577
100000-1000000,18149,5019688349.616724604486
1000000-10000000,2684,8868066625.607042388809
>=10000000,421,13267406634.079656471695
