month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2025-03-01,4501707.610000000000,11,11,16,16
2025-04-01,15020163.981419779055,117,115,134,135
2025-05-01,27579847.217153912358,2385,2353,5557,5641
2025-06-01,17612186.316076976941,11909,11543,14127,14172
2025-07-01,63497220.320612580856,5809,5353,16932,17084
2025-08-01,195535530.23965615,6276,5626,26168,26361
2025-09-01,285048794.36586154,10866,9442,22918,23113
2025-10-01,137771015.57478760,3318,2707,11420,11451
2025-11-01,272065271.75099238,2309,1843,9851,9861
2025-12-01,245568660.77425240,4847,4410,8801,8830
2026-01-01,565448670.71021401,2621,2018,6743,6856
2026-02-01,898825368.41008737,1815,1321,4736,4882
2026-03-01,581445120.22041892,1237,878,2961,3008
2026-04-01,652540438.45347290,1781,1302,4077,4136
2026-05-01,402384116.38053155,1509,1067,3331,3366
2026-06-01,1084805928.50518403,1215,783,3778,3795
