month,token_volume,unique_addresses,new_addresses,transaction_count,transfer_count
2025-03-01,4500967.610000000000,8,8,19,19
2025-04-01,10053499.390244125151,383,382,453,540
2025-05-01,35701520.061598205710,2871,2813,6121,6473
2025-06-01,39173077.264797369386,81184,80574,6857,84336
2025-07-01,68523976.954923752853,2891,2095,15567,18041
2025-08-01,316601555.63662504,3984,2926,23227,24199
2025-09-01,292612897.38302860,7424,4736,17893,18742
2025-10-01,542259292.61056767,2528,1855,7609,7911
2025-11-01,193461821.21127122,1445,947,5392,5707
2025-12-01,746944222.10009826,4578,4017,8333,8951
2026-01-01,1837522705.88346741,2300,1626,7784,8364
2026-02-01,440895032.50718573,1337,807,4150,4497
2026-03-01,261540518.11323400,1039,640,3400,3593
2026-04-01,958866815.56276207,1439,957,5323,5591
2026-05-01,435533947.56003177,945,490,4722,4999
2026-06-01,927703238.61469975,984,591,4149,4390
