size_bucket,transfer_count,bucket_volume
<0.01,2595,5.006213729711863063000000000000000000
0.01-0.1,3227,141.51261756657767911500
0.1-1,10517,4309.52779011905658178500
1-10,9179,37121.97727835205051954600
10-100,91964,4280796.1649444241914346
100-1000,40804,20487468.0255444765580189
1000-10000,32434,79642063.3253667369220469
10000-100000,6604,283679995.3681818037697102
100000-1000000,6308,1465534369.800168275821
1000000-10000000,751,2764664929.194672550583
>=10000000,129,2493563888.561756932154
