month,transfer_count,transaction_count,raw_volume,token_volume,unique_senders,unique_receivers,active_addresses
2025-03-01,14,14,4501676310000000000000000,4501676.310000000000,6,1,7
2025-04-01,3464,2761,17251307582987099917992387,17251307.582987099918,91,131,137
2025-05-01,32229,17690,113563317309672585559171697,113563317.30967259,573,624,670
2025-06-01,37211,19117,124804094545540943573776492,124804094.54554094,1778,8347,8483
2025-07-01,54384,32705,287209572066712639032480216,287209572.06671264,1157,836,1364
2025-08-01,101253,61130,1670594016957933856998854128,1670594016.95793386,1240,1025,1583
2025-09-01,110707,70686,1337477304940371521299916633,1337477304.94037152,2088,1429,2503
2025-10-01,48938,31766,682930237422169280869660780,682930237.42216928,804,605,959
2025-11-01,31877,19699,982815649806081526647126166,982815649.80608153,581,389,664
2025-12-01,32412,20702,1519766251367900208560412359,1519766251.36790021,913,843,1051
2026-01-01,37904,23281,3554094497934815171925358434,3554094497.93481517,815,672,947
2026-02-01,36105,24991,2550639072182557697611163423,2550639072.18255770,593,477,684
2026-03-01,19904,12502,1355359342600203384059828793,1355359342.60020338,502,443,580
2026-04-01,46494,23352,1166186662082894838001208150,1166186662.08289484,558,524,641
2026-05-01,28246,15905,840687791859611901524101895,840687791.85961190,517,476,609
2026-06-01,23589,13505,2286608508829434271006062830,2286608508.82943427,503,540,665
