month,size_bucket,transfer_count,bucket_volume
2025-03-01,1-10,6,6.31000000000000000000
2025-03-01,10-100,2,20.0000000000000000
2025-03-01,100-1000,1,100.0000000000000000
2025-03-01,1000-10000,2,2000.0000000000000000
2025-03-01,100000-1000000,1,999550.000000000000
2025-03-01,1000000-10000000,2,3500000.000000000000
2025-04-01,<0.01,50,0.184112362187753291000000
2025-04-01,0.01-0.1,46,1.77236338126844417100
2025-04-01,0.1-1,71,37.98209043316242104500
2025-04-01,1-10,282,1034.65249653875372858800
2025-04-01,10-100,224,8446.0179360516319080
2025-04-01,100-1000,724,514849.6916805163632746
2025-04-01,1000-10000,2010,4586531.4913263299666834
2025-04-01,10000-100000,51,790151.7170709102946873
2025-04-01,100000-1000000,4,1360254.073910576288
2025-04-01,1000000-10000000,2,9990000.000000000000
2025-05-01,<0.01,92,0.144072417960066524000000000000000000
2025-05-01,0.01-0.1,306,17.13100771984335116400
2025-05-01,0.1-1,1149,562.74110625507155853100
2025-05-01,1-10,2434,10631.18100983115485904800
2025-05-01,10-100,6814,311960.7784088110327933
2025-05-01,100-1000,13240,5237910.2286257280547496
2025-05-01,1000-10000,7201,20402593.1266138925808582
2025-05-01,10000-100000,884,25554760.5773981303857655
2025-05-01,100000-1000000,100,30239676.631701742021
2025-05-01,1000000-10000000,7,11787002.769728057464
2025-05-01,>=10000000,2,20018202.000000000000
2025-06-01,<0.01,222,0.320104905906389864000000000000000000
2025-06-01,0.01-0.1,577,33.97873223106615144700
2025-06-01,0.1-1,2321,693.44290698829775313200
2025-06-01,1-10,2600,14056.21498243481822502600
2025-06-01,10-100,22431,1027034.5543235888516620
2025-06-01,100-1000,5326,1804349.9701982695434875
2025-06-01,1000-10000,3146,8717924.2041977681290589
2025-06-01,10000-100000,526,12230982.5235330380211915
2025-06-01,100000-1000000,45,10518144.336561718943
2025-06-01,1000000-10000000,12,70490875.000000000000
2025-06-01,>=10000000,2,20000000.000000000000
2025-07-01,<0.01,191,0.317094877695282442000000000000000000
2025-07-01,0.01-0.1,418,19.15843044194586079200
2025-07-01,0.1-1,1960,611.71927289260554643700
2025-07-01,1-10,2134,9725.36148772216648799600
2025-07-01,10-100,8626,408716.0350745362953589
2025-07-01,100-1000,19547,8660285.2233298154331250
2025-07-01,1000-10000,18750,55307470.6144402654730973
2025-07-01,10000-100000,2439,59408369.9933661169428182
2025-07-01,100000-1000000,285,57263430.427180632798
2025-07-01,1000000-10000000,32,86150943.217035337703
2025-07-01,>=10000000,2,20000000.000000000000
2025-08-01,<0.01,386,0.430792427706445512000000000000000000
2025-08-01,0.01-0.1,431,15.53363264765217014200
2025-08-01,0.1-1,791,340.74809332498293071700
2025-08-01,1-10,3068,14699.99284773760957658600
2025-08-01,10-100,12569,596182.7842411083230643
2025-08-01,100-1000,36124,17245807.1583272273944744
2025-08-01,1000-10000,44236,121741742.1220114604404652
2025-08-01,10000-100000,3189,74926607.7362082594409243
2025-08-01,100000-1000000,370,84846074.020962791453
2025-08-01,1000000-10000000,68,186222938.430816871995
2025-08-01,>=10000000,21,1184999608.000000000000
2025-09-01,<0.01,634,0.574429527659789302000000000000000000
2025-09-01,0.01-0.1,415,18.39517797049934515800
2025-09-01,0.1-1,1104,483.79318116604757218300
2025-09-01,1-10,3855,18670.69369479137081514400
2025-09-01,10-100,15415,695275.7160677818410837
